,Dmg/Min,K/D,HS%,Win %,Human K/D,Kills,Assists,Deaths,Kills/Min,Kills/Match,Matches Won,Matches Lost,Damage Dealt,Dmg/Match,Revives,Vehicles Destroyed,Multi Kills,Headshot Kills,Road Kills,Melee Kills,Vehicle Kills,Gadget Kills,Scoped Kills,Hipfire Kills,Human Kills,AI Kills,Top 3 Specialists,name
17,355,5.80,20.8%,71.2%,5.51,"511,676","114,234","88,267",3.21,62.38,"5,838","2,360","56,576,291","6,897.02","18,741","2,219","70,936","89,620","1,204",507,"60,165",0,"370,964","59,738","486,446","25,234","['Mackay', 'Angel', 'Falck']",Quagsie
18,199,4.43,24.0%,64.3%,2.75,"254,441","149,850","57,484",1.75,28.12,"5,819","3,158","28,920,827","3,196.02","54,838","5,093","49,369","51,010",883,"1,984","34,261",0,"160,352","52,489","157,880","96,566","['Falck', 'Rao', 'Angel']",SAT_Viboy
19,175,1.81,20.9%,60.3%,1.04,"183,861","97,468","101,400",1.26,18.98,"5,839","3,835","25,594,545","2,641.88","16,859","7,868","22,556","27,042","2,514","1,460","32,157",0,"99,620","29,613","105,255","78,696","['Mackay', 'Boris', 'Falck']",Roy-is-Dead
20,170,3.27,20.5%,66.8%,2.98,"268,839","111,273","82,278",1.51,30.94,"5,801","2,888","30,299,432","3,486.70","100,506",792,"12,903","52,397",990,310,"10,843",0,"198,219","57,267","244,786","24,059","['Falck', 'Rao', 'Angel']",treble318
21,308,9.87,25.8%,76.4%,5.74,"363,597","115,716","36,849",2.61,47.91,"5,796","1,793","42,881,770","5,650.52","25,609","39,696","93,167","28,442","1,078","1,039","240,926",0,"95,921","14,367","211,595","152,019","['Falck', 'Lis', 'Mackay']",Anakachili
22,142,1.78,18.2%,57.0%,1.51,"165,685","211,883","93,020",1.16,16.30,"5,789","4,361","20,269,631","1,994.26","7,695","1,384","11,958","23,499","2,088","3,473","13,602",0,"107,079","21,945","140,625","25,264","['Blasco', 'Lis', 'Boris']",LuckyShot410
23,96,1.54,22.4%,47.8%,1.46,"114,507","58,755","74,465",0.47,9.09,"6,021","6,570","23,493,082","1,864.23","2,272","33,555","13,326","8,460",515,281,"65,683",0,"33,342","4,376","108,793","5,838","['Lis', 'Casper', 'Sundance']",KB67KB
24,231,6.60,29.1%,71.1%,5.22,"411,315","169,271","62,299",2.40,51.25,"5,707","2,307","39,459,367","4,917.06","278,937","6,090","115,263","87,037","1,251","29,691","103,029",0,"201,888","97,307","325,218","86,114","['Falck', 'Angel', 'Casper']",SAT_Szermina
25,248,7.68,22.1%,90.0%,7.51,"287,007","275,164","37,358",2.14,45.30,"5,700",636,"33,293,426","5,254.64","17,105","2,618","28,975","50,683",802,39,"52,187",0,"189,895","39,957","280,430","6,583","['Mackay', 'Paik', 'Falck']",Multikellogs
26,244,6.67,21.0%,64.9%,6.48,"412,254","106,361","61,805",2.21,47.25,"5,662","3,063","45,557,067","5,221.44","26,453",19,"15,132","86,518",34,663,189,0,"361,948","49,801","400,496","11,758","['Mackay', 'Angel', 'Crawford']",Cyborg JRS
27,180,2.49,16.2%,84.7%,2.38,"176,698","124,812","71,078",1.39,26.37,"5,678","1,022","22,806,732","3,403.99","16,760","2,257","16,892","21,479","2,204",326,"35,932",0,"106,665","26,017","169,009","7,726","['Mackay', 'Paik', 'Crawford']",KRAG_Nerugui
28,368,4.49,16.0%,69.5%,4.26,"414,976","78,502","92,405",3.43,51.63,"5,589","2,446","44,484,506","5,534.96","19,760",185,"28,737","63,171","1,582","1,714","5,178",0,"296,091","98,174","393,415","21,567","['Sundance', 'Blasco', 'Falck']",itzRevanGG
29,159,2.64,18.6%,67.4%,2.54,"166,128","76,617","62,983",1.34,20.02,"5,591","2,706","19,736,219","2,378.14","40,115","2,579","10,385","26,862","1,145","1,343","13,635",0,"102,193","42,115","160,155","5,991","['Mackay', 'Falck', 'Angel']",Boerny_030
30,222,2.74,22.1%,72.0%,2.62,"200,351","55,187","73,036",1.80,25.34,"5,694","2,212","24,726,722","3,127.59","15,742",281,"14,640","37,821",67,141,"3,096",0,"142,304","29,005","191,574","8,777","['Zain', 'Falck', 'Sundance']",Pashtet1349
31,59,0.61,20.8%,49.1%,0.41,"65,335","80,055","106,502",0.32,5.79,"5,540","5,746","12,212,807","1,081.83","7,903","2,813","9,395","9,105","2,361","1,261","12,125",0,"25,274","18,489","44,119","21,343","['Crawford', 'Sundance', 'Irish']",DY3R80LIK4L
32,465,5.97,18.6%,87.2%,5.79,"377,517","58,230","63,192",4.33,59.59,"5,525",810,"40,496,534","6,392.51","3,925",4,"28,069","68,387",7,451,128,0,"295,696","71,984","365,972","11,548","['Mackay', 'Falck', 'Angel']",150IQProner
33,185,3.65,20.1%,64.9%,3.45,"243,483","191,968","66,704",1.37,28.64,"5,516","2,985","32,719,465","3,848.90","98,686","4,243","32,751","26,333","1,082",476,"108,911",0,"102,140","28,716","230,185","13,302","['Falck', 'Paik', 'Angel']",RandaleKati
34,133,1.78,21.4%,55.1%,1.39,"168,235","75,977","94,455",0.88,16.71,"5,547","4,518","25,561,815","2,538.92","19,309","9,230","14,677","24,555","2,130","1,856","40,039",0,"103,720","11,048","131,181","37,157","['Falck', 'Boris', 'Lis']",Azor74_PL
35,200,4.44,19.4%,66.5%,4.19,"196,977","49,310","44,370",1.70,23.18,"5,648","2,826","23,155,146","2,724.78","14,906",18,"5,759","36,701",3,100,286,0,"180,057","8,784","186,058","10,924","['Falck', 'Mackay', 'Paik']",atheneeeeea77
36,149,2.82,13.6%,65.0%,2.58,"205,506","199,821","72,848",1.34,24.42,"5,471","2,946","22,817,233","2,710.85","19,124","1,085","15,038","25,236","1,099",455,"14,556",0,"44,915","140,043","188,269","17,244","['Paik', 'Mackay', 'Falck']",G7-PaVoRoViSki
37,62,1.17,15.5%,52.6%,1.14,"89,906","80,949","76,913",0.43,8.64,"5,469","4,931","12,913,694","1,241.58","24,287",931,"5,832","10,497",794,"1,999","10,299",0,"55,719","11,923","87,683","2,318","['Crawford', 'Zain', 'Irish']",-GIRL-UltraLexi
38,77,0.73,20.5%,47.3%,0.61,"85,221","82,232","117,441",0.46,7.08,"5,694","6,342","14,369,499","1,193.78","13,777","2,649","7,106","11,077","2,915",633,"24,298",0,"51,500","2,597","71,055","14,287","['Lis', 'Blasco', 'Falck']",GiaNt63296
