,Dmg/Min,K/D,HS%,Win %,Human K/D,Kills,Assists,Deaths,Kills/Min,Kills/Match,Matches Won,Matches Lost,Damage Dealt,Dmg/Match,Revives,Vehicles Destroyed,Multi Kills,Headshot Kills,Road Kills,Melee Kills,Vehicle Kills,Gadget Kills,Scoped Kills,Hipfire Kills,Human Kills,AI Kills,Top 3 Specialists,name
16,212,4.02,22.0%,77.0%,3.91,"244,436","106,159","60,833",1.89,30.80,"6,111","1,824","27,457,466","3,459.86","27,275",500,"16,028","51,423",67,"4,063","3,791",0,"183,709","49,728","237,944","6,497","['Mackay', 'Falck', 'Dozer']",TRIP-M0Le
17,216,3.48,19.7%,63.3%,3.13,"244,496","79,741","70,202",1.83,36.49,"4,239","2,462","28,941,444","4,318.97","29,377","1,689","18,658","39,756",98,77,"30,150",0,"182,375","19,933","219,515","24,987","['Mackay', 'Angel', 'Falck']",MMsuperman0216
18,273,2.79,20.2%,60.5%,2.77,"243,834","107,065","87,329",2.21,42.73,"3,452","2,254","30,158,543","5,285.41","9,698","4,507","28,909","39,525",450,905,"27,941",0,"163,489","31,767","241,775","2,091","['Mackay', 'Falck', 'Zain']",Soon_ps
19,172,2.40,10.5%,64.6%,2.14,"243,637","149,658","101,717",1.44,22.10,"7,124","3,899","29,141,280","2,643.20","36,112",634,"13,263","23,950",911,"2,643","6,996",0,"178,490","48,735","217,838","25,884","['Angel', 'Blasco', 'Sundance']",OG_Venom_PR
20,307,3.28,24.7%,72.3%,3.14,"243,536","81,438","74,259",2.57,53.15,"3,315","1,267","29,161,239","6,364.30","20,924","1,117","33,073","52,340",449,"12,626","16,010",0,"146,666","65,655","233,330","10,214","['Dozer', 'Mackay', 'Falck']",no3hills
21,185,3.65,20.1%,64.9%,3.45,"243,564","192,214","66,715",1.37,28.64,"5,519","2,985","32,729,439","3,848.71","98,700","4,243","32,760","26,337","1,082",476,"108,980",0,"102,150","28,718","230,259","13,309","['Falck', 'Paik', 'Angel']",RandaleKati
22,200,3.25,24.6%,68.4%,3.17,"243,440","72,934","74,975",1.56,21.88,"7,614","3,497","31,118,270","2,797.40","17,248","2,747","13,832","55,285",475,287,"12,633",0,"190,978","33,576","237,977","5,491","['Angel', 'Mackay', 'Falck']",Emistic0
23,335,2.63,18.7%,80.2%,2.37,"243,378","69,849","92,693",2.97,39.86,"4,896","1,208","27,440,810","4,494.07","18,081",79,"20,755","42,833",403,"11,851","1,585",0,"186,304","42,402","219,345","24,110","['Falck', 'Mackay', 'Zain']",AT-CITRUS
24,282,11.27,32.4%,78.8%,10.45,"243,042","93,503","21,572",2.31,53.49,"3,581",962,"29,691,338","6,534.19","9,493",474,"35,702","60,162",243,63,"20,223",0,"166,512","19,444","225,342","17,701","['Zain', 'Mackay', 'Angel']",RandyKate
25,258,4.20,10.1%,64.2%,3.90,"243,453","36,729","57,916",2.46,45.87,"3,407","1,900","25,550,481","4,813.58","16,914",2,"7,179","24,542",5,84,15,0,"203,809","39,019","225,922","17,533","['Mackay', 'Falck', 'BF3 Assault']",Xx_-futy-_xX
26,254,5.01,16.4%,75.6%,4.78,"241,333","74,609","48,169",2.22,48.05,"3,799","1,224","27,651,804","5,505.04","21,617",861,"32,079","35,396","1,149","3,963","15,819",0,"186,143","29,087","230,199","11,134","['Mackay', 'Angel', 'Dozer']",iRefuse13
27,279,6.60,19.7%,61.7%,6.39,"240,309","63,619","36,420",1.82,30.10,"4,922","3,061","36,803,946","4,610.29","27,230","40,097","49,992","10,625","9,612",187,"177,784",0,"43,270","10,678","232,765","7,580","['Falck', 'Irish', 'Sundance']",BumAsButters
28,217,5.28,23.5%,74.1%,5.17,"241,759","96,493","45,790",1.75,36.24,"4,940","1,731","30,092,793","4,510.99","22,171","2,631","22,300","45,559",689,129,"40,949",0,"160,254","33,584","236,543","5,224","['Mackay', 'Angel', 'Falck']",thozomas
29,200,3.21,29.7%,69.0%,3.14,"238,694","55,233","74,352",1.70,21.69,"7,596","3,395","27,972,046","2,541.99","28,807",58,"11,330","64,600",15,"2,259","1,300",0,"188,779","28,386","233,607","5,089","['Falck', 'Mackay', 'Angel']",B33R4soangrymax
30,318,6.22,21.8%,72.6%,6.01,"238,559","102,126","38,340",2.55,53.84,"3,216","1,215","29,718,345","6,706.92","17,651","6,332","27,418","38,195",893,925,"50,993",0,"148,149","27,253","230,399","8,170","['Mackay', 'Falck', 'Lis']",LUKYX111
31,384,6.20,23.6%,74.8%,6.07,"237,679","60,418","38,324",3.41,70.49,"2,522",850,"26,779,812","7,941.82","1,731","1,507","35,535","48,238",507,459,"28,916",0,"168,522","35,672","232,614","5,067","['Mackay', 'Falck', 'Lis']",TwitchTV_Enders
32,310,13.20,24.0%,68.1%,10.59,"237,068","83,514","17,954",2.29,58.36,"2,767","1,295","32,056,784","7,891.87","6,631","23,145","66,921","7,502","1,168",52,"205,530",0,"28,652","2,620","190,140","46,955","['Mackay', 'Lis', 'Crawford']",-SL-Kickdown
33,153,5.15,20.9%,57.9%,4.97,"236,822","79,844","45,960",1.40,29.53,"4,647","3,371","25,894,218","3,229.11","71,876",163,"10,252","48,537",58,337,936,0,"188,439","43,512","228,481","8,356","['Falck', 'Casper', 'Paik']",bitcloudrzr
34,322,13.02,18.1%,74.8%,12.30,"236,803","49,702","18,190",2.34,81.32,"2,177",735,"32,602,497","11,195.91","2,916","33,727","59,538","3,466",411,13,"216,996",0,"15,280","3,888","223,773","13,054","['Mackay', 'Irish', 'Angel']",l-BrokenFace-l
35,286,3.48,21.2%,76.7%,3.06,"235,149","61,942","67,596",2.58,44.67,"4,037","1,227","26,061,104","4,950.82","8,465",952,"18,202","46,287",238,297,"14,051",0,"201,654","16,888","206,796","28,362","['Mackay', 'Angel', 'Falck']",cryzzzz1
36,250,4.21,22.9%,72.3%,3.91,"235,605","110,862","55,980",2.14,43.04,"3,959","1,514","27,476,258","5,019.41","34,998","8,627","21,864","41,324",482,93,"43,674",0,"162,144","18,405","218,667","16,955","['Falck', 'Zain', 'Lis']",Chilsung_CiderTA
37,270,3.95,25.8%,81.9%,3.87,"234,519","58,159","59,298",2.35,49.05,"3,914",866,"26,927,658","5,632.22","7,109",524,"22,529","56,135",152,376,"8,920",0,"181,029","36,762","229,357","5,165","['Sundance', 'Mackay', 'Falck']",TTV_fENNZOR
38,388,2.86,17.5%,66.7%,2.73,"233,603","46,848","81,613",3.61,71.03,"2,195","1,094","25,162,365","7,650.46","7,279",24,"35,946","40,579",97,52,467,0,"186,337","45,355","222,867","10,736","['Sundance', 'Mackay', 'Falck']",AliciaFyrenz
39,341,5.14,17.6%,69.5%,4.90,"233,581","56,995","45,471",2.96,59.75,"2,716","1,193","26,914,943","6,885.38","20,942","4,734","26,113","35,806",537,450,"26,228",0,"159,125","44,376","222,684","10,903","['Falck', 'Paik', 'Mackay']",GoldFragGrenade
40,440,20.96,28.7%,70.7%,20.32,"233,516","74,514","11,139",2.65,57.77,"2,856","1,186","38,719,375","9,579.26","4,279","22,589","67,883","7,287",562,843,"206,895",0,"20,278","5,137","226,326","7,203","['Falck', 'Angel', 'Lis']",Tombstone_JNAVIG
41,275,5.94,18.2%,66.4%,5.70,"233,460","101,436","39,315",2.31,49.03,"3,160","1,601","27,823,111","5,842.74","33,576","3,540","26,250","34,307",352,237,"35,189",0,"161,925","26,795","224,219","9,248","['Falck', 'Angel', 'Mackay']",edwwn
42,200,2.82,22.8%,70.9%,2.31,"232,835","152,472","82,705",1.54,35.01,"4,717","1,934","30,178,563","4,537.45","26,598","1,879","22,695","42,257","2,010","1,449","24,562",0,"148,931","36,343","191,076","41,796","['Sundance', 'Paik', 'Falck']",kertel
43,369,7.88,25.2%,87.3%,7.48,"232,763","86,219","29,548",3.17,56.37,"3,603",526,"27,065,838","6,555.06","22,339","2,356","34,475","51,289","1,057",731,"25,752",0,"183,071","20,502","221,025","11,741","['Falck', 'Mackay', 'Angel']",Anime-Conoisseur
44,297,3.55,21.5%,73.7%,3.27,"232,681","71,947","65,562",2.48,35.05,"4,893","1,744","27,801,605","4,187.62","9,812","2,451","24,734","40,861","1,152",490,"29,138",0,"153,689","36,805","214,181","18,522","['Mackay', 'Sundance', 'Zain']",TOX-SweatyKarmA
45,263,3.57,50.9%,68.0%,3.41,"231,837","40,008","64,970",2.32,50.77,"3,104","1,462","26,372,949","5,775.94","9,688",39,"15,678","115,618",80,168,566,0,"188,159","39,164","221,388","10,450","['Mackay', 'Rao', 'Angel']",DieForHerSins
46,139,1.64,16.9%,54.3%,1.28,"231,253","149,034","141,398",0.97,19.92,"6,307","5,300","33,176,918","2,858.11","23,386","4,682","23,404","27,606","5,342",552,"46,063",0,"134,723","28,154","180,331","51,506","['Angel', 'Blasco', 'Paik']",FarKinnell
47,218,3.02,22.0%,64.5%,2.56,"231,141","116,268","76,570",1.57,31.25,"4,769","2,628","31,955,759","4,320.10","23,748","10,989","35,116","27,119","1,441",907,"93,312",0,"93,485","29,723","195,999","35,222","['Crawford', 'Dozer', 'Zain']",pablocc74
48,336,5.18,21.2%,65.5%,5.02,"231,083","49,227","44,628",3.03,54.84,"2,762","1,451","25,588,268","6,072.20","2,889","1,868","13,413","42,743",309,181,"19,464",0,"188,802","12,796","223,862","7,224","['Mackay', 'Rao', 'Boris']",M4A1MA5TER
