,Dmg/Min,K/D,HS%,Win %,Human K/D,Kills,Assists,Deaths,Kills/Min,Kills/Match,Matches Won,Matches Lost,Damage Dealt,Dmg/Match,Revives,Vehicles Destroyed,Multi Kills,Headshot Kills,Road Kills,Melee Kills,Vehicle Kills,Gadget Kills,Scoped Kills,Hipfire Kills,Human Kills,AI Kills,Top 3 Specialists,name
10,135,2.50,21.4%,94.5%,1.97,"103,060","75,787","41,144",1.16,23.63,"4,121",239,"12,064,619","2,766.48","8,982",360,"11,236","19,786",127,"1,852","4,816",0,"81,411","11,074","80,985","22,076","['Irish', 'Mackay', 'Falck']",TW_SAKIBO_
11,197,3.45,20.5%,66.7%,3.18,"174,772","156,759","50,650",1.39,28.30,"4,117","2,055","24,730,677","4,004.97","7,969","11,460","19,947","21,659","1,412",166,"62,320",0,"80,808","25,011","161,270","13,520","['Zain', 'Angel', 'Blasco']",Villain_Astro
12,216,3.57,22.5%,68.1%,3.33,"210,358","61,461","58,893",1.95,34.87,"4,108","1,923","23,368,708","3,873.48","28,512",51,"13,349","45,811",29,614,"1,191",0,"171,141","32,096","196,303","14,055","['Falck', 'Mackay', 'Zain']",EKO-H4uks
13,119,2.15,21.6%,61.5%,2.04,"145,034","48,100","67,559",0.90,21.38,"4,174","2,611","19,228,652","2,833.99","10,407","1,331","5,507","28,637",173,59,"8,559",0,"120,734","12,013","137,936","7,099","['Mackay', 'Falck', 'Angel']",My0g0Ki_-
14,205,9.50,15.5%,52.7%,8.73,"208,284","77,502","21,926",1.37,26.75,"4,104","3,676","31,152,570","4,001.61","1,962","14,933","51,350","2,486",302,81,"188,674",0,"7,362","8,721","191,321","16,975","['Irish', 'Sundance', 'Lis']",ayalanren
15,195,3.01,23.6%,70.9%,2.92,"142,555","59,097","47,285",1.67,24.65,"4,101","1,681","16,600,624","2,871.09","33,904",947,"5,100","29,723",699,545,"10,616",0,"119,293","6,439","138,052","4,506","['Falck', 'Mackay', 'Boris']",pppoopoohed66
16,119,2.14,22.1%,66.7%,2.06,"86,244","44,775","40,308",0.90,14.11,"4,080","2,031","11,438,027","1,871.10","31,254",747,"3,941","17,268",501,516,"6,403",0,"61,997","15,999","82,884","3,364","['Falck', 'Angel', 'Mackay']",stilscratchin
17,170,3.04,20.5%,71.3%,2.96,"114,133","55,784","37,538",1.26,19.96,"4,078","1,641","15,434,566","2,698.82","13,624","3,408","6,251","20,354",44,278,"12,007",0,"71,891","27,195","111,131","3,006","['Mackay', 'Angel', 'Falck']",Prezzbelikeme
18,106,1.40,18.5%,78.7%,1.18,"80,816","81,374","57,836",0.85,15.60,"4,078","1,101","10,052,803","1,941.07","58,013",835,"10,998","12,389",77,86,"13,538",0,"65,596","1,217","68,073","12,743","['Falck', 'Angel', 'Irish']",-SAGA-Miaomiao
19,173,2.05,21.1%,63.0%,1.90,"172,999","42,841","84,189",1.35,26.37,"4,134","2,424","22,175,194","3,380.36","2,460","2,466","10,619","29,613",815,291,"19,233",0,"134,840","5,308","160,261","13,042","['Lis', 'Mackay', 'Falck']",daroadaszi
20,85,1.44,13.4%,56.9%,1.30,"98,819","33,329","68,476",0.61,12.34,"4,552","3,441","13,660,986","1,706.13","7,270","6,228","5,681","8,995","1,130",604,"23,198",0,"43,963","23,297","88,810","10,094","['Boris', 'Mackay', 'Sundance']",Koupe2Cheveux
21,175,2.74,20.7%,63.1%,2.29,"136,150","80,844","49,733",1.27,21.10,"4,074","2,379","18,781,837","2,910.56","13,850","7,903","13,472","21,454",213,"1,094","20,116",0,"83,981","19,749","113,842","22,319","['Mackay', 'Zain', 'Lis']",roger_vilkox
