,name,Kills,Matches_Won,Headshots,WLRatio,Revives,Game,BANGALORE,LOBA,LIFELINE,PATHFINDER,BLOODHOUND,HORIZON,MAD MAGGIE,FUSE,RAMPART,WATTSON,BALLISTIC,SEER,CAUSTIC,VANTAGE,CRYPTO,NEWCASTLE,GIBRALTAR,CATALYST,CONDUIT,REVENANT,VALKYRIE,MIRAGE,OCTANE,ASH,WRAITH
10,Twitch Craqd,44612,4223.0,50592.0,-135.96265292981326,27.0,Apex,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True
11,TwitchDrxpLxve,83085,4218.0,96189.0,,,Apex,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
12,future stepmom,79131,4204.0,35595.0,,18972.0,Apex,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
13,MrStealurKill_TV,110186,4202.0,16688.0,-1288.9570552147238,8.0,Apex,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True
14,PulseCheck,52146,4194.0,1456.0,-117.41321388577828,7206.0,Apex,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
15,FB-FawkesGaming,58593,4184.0,534.0,33.8950097213221,,Apex,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False
16,ArkSupremeTTV,76921,4183.0,78873.0,47.75659321840393,1577.0,Apex,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False
17,EnviousEquation,104504,4180.0,2267.0,-113.92750068138457,1451.0,Apex,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
18,Pvt Cornflake,119990,4179.0,,,113.0,Apex,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False
19,uSpacy,103726,4175.0,153201.0,-100.02395783421179,7075.0,Apex,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
20,Ohp lurks,106983,4174.0,60824.0,36.377897856022315,3674.0,Apex,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
21,XSaltCreepX,57816,4171.0,12782.0,-137.97552100562356,3594.0,Apex,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
22,legend of berry,70125,4170.0,,-114.90768806833837,,Apex,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
23,Lilb FDT,98714,4163.0,84903.0,31.91995092777181,155.0,Apex,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True
24,Versos,55834,4141.0,47028.0,,,Apex,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False
25,EuroLegacyx,79428,4137.0,95415.0,,,Apex,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
26,afroman_TV,81662,4123.0,,84.47039541077648,10335.0,Apex,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
27,genunguyen,42661,4121.0,,,,Apex,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
28,goforth_16,53121,4117.0,33550.0,22.587370384594283,3706.0,Apex,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
29,WtF_iTz_Groot,70260,4116.0,70572.0,63.7546468401487,507.0,Apex,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True
30,KuruptdKilla,51176,4114.0,79005.0,,5071.0,Apex,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False
31,Flamethrower531,93020,4111.0,39983.0,,,Apex,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True
32,jhummel5,63605,4112.0,86656.0,59.68069666182873,7370.0,Apex,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
33,Lostt Storm,57570,4104.0,59644.0,,2045.0,Apex,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
34,filthy_stepper,81994,4102.0,3596.0,59.74366443344014,,Apex,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False
35,nvthis101,66334,4101.0,58205.0,,,Apex,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
36,predhtr,38200,4100.0,,,,Apex,True,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
37,WatermelonGremln,84253,4089.0,,,,Apex,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False
38,Electrxde-TikTok,107041,4078.0,149499.0,100.02452783909736,6681.0,Apex,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
39,IAmBIackHammer,63216,4082.0,40818.0,,,Apex,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True
40,CFG_Phantomz,82154,4069.0,99355.0,116.1575792178133,1430.0,Apex,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
41,jwoolia,56369,4051.0,54932.0,-100.22266204849085,10724.0,Apex,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
42,Zip Rolled U,58406,4049.0,55981.0,,3311.0,Apex,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
43,Ttv_oRakuen,78746,4030.0,105349.0,104.59382299506879,,Apex,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
44,omarm17,49404,4026.0,,,,Apex,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
45,HUHYUNJlN,71375,4022.0,72941.0,-100.0,23.0,Apex,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True
46,CIampur,78490,4020.0,95277.0,45.11784511784512,3371.0,Apex,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
47,JakeTrox,115065,4015.0,,-207.6008273009307,1031.0,Apex,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
48,louway mf,60828,4013.0,54155.0,,8029.0,Apex,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
49,SirSkyDivine,51284,4001.0,1282.0,,,Apex,False,False,False,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False
50,YT-TheRealBigJoe,73545,3975.0,76302.0,-102.08012326656394,5190.0,Apex,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
51,SPOOKIxTANOOKI,35286,3968.0,,,6077.0,Apex,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False
52,Smokn Jay,51756,3953.0,22783.0,,2483.0,Apex,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
53,kyyrim,67431,3951.0,82595.0,,,Apex,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
54,a TTV XpLaZ,69611,3948.0,,-108.64061640066043,6864.0,Apex,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False
55,Bimwofti,54341,3941.0,50016.0,-107.8544061302682,3033.0,Apex,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
56,x nedrad x,73428,3927.0,45219.0,14.88345650938033,6385.0,Apex,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
57,Nubsv,53700,3913.0,58994.0,,,Apex,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True
58,lx kaneki xi,80062,3906.0,91077.0,-105.68181818181819,2311.0,Apex,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
59,wokoufps,62995,3905.0,1150.0,28.947368421052634,,Apex,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True
60,nbn merkn,42957,3902.0,62959.0,,15083.0,Apex,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
61,UNRULYSHOTTA819,61048,3902.0,35204.0,-103.30950489806725,11557.0,Apex,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False
62,Hans_olo_TTV,104799,3902.0,126514.0,-103.30950489806725,,Apex,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
63,SpagettiGod6,82684,3893.0,94888.0,-446.95752009184844,10402.0,Apex,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
64,XoticcccTV,82383,3887.0,59885.0,47.47191011235955,3346.0,Apex,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
65,ItzZeekBoiii-,80368,3875.0,6826.0,,,Apex,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False
66,Soup of Korn,50541,3872.0,22214.0,142.40529606472967,178.0,Apex,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
67,LG_SIayr,74029,3868.0,55206.0,-778.2696177062375,,Apex,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
68,Aric fps,73614,3862.0,96788.0,108.45268183094636,4842.0,Apex,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
69,SlackToast800,70473,3854.0,,15.738963531669867,,Apex,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
70,eclypsify,45810,3850.0,33694.0,-165.59139784946237,,Apex,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
71,stormchemist,40560,3849.0,56468.0,477.54342431761785,,Apex,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True
72,L1LSL3GEND_TV,80644,3845.0,102386.0,,,Apex,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
73,SolidSovereign23,58808,3845.0,42196.0,-101.34422772799157,8502.0,Apex,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
74,ak74ubro,55520,3836.0,207.0,,,Apex,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False
75,iTomyunTV,79576,3825.0,96020.0,,10481.0,Apex,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
76,Sevpha,66344,3814.0,77821.0,,,Apex,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
77,Aim<3,76190,3812.0,104001.0,61.197624016696096,,Apex,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
78,XPrince_VegetaTV,58567,3810.0,16075.0,,,Apex,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False
79,Prada_Pirate,60563,3810.0,89630.0,,5283.0,Apex,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
80,NanTucKziT,46714,3809.0,5507.0,710.6343283582089,746.0,Apex,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True
81,CaptainSlapahoTV,71692,3797.0,79781.0,-100.50291159343567,381.0,Apex,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
82,TheDamnAlva,52967,3796.0,32071.0,,,Apex,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,True
83,SuperChefKhalil,47624,3796.0,23855.0,22.304483224631294,,Apex,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False
84,JorPorCor,84042,3793.0,66060.0,22.07414304836175,4891.0,Apex,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
85,lordxwolves,70894,3779.0,62789.0,33.004366812227076,9.0,Apex,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True
86,thekinettv,90747,3765.0,,,,Apex,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
87,thekineTV,146544,3763.0,,,,Apex,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True
88,DregoPK,65424,3768.0,26870.0,,1309.0,Apex,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
89,amethysttheory,46763,3759.0,77127.0,,17236.0,Apex,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
90,Colt,45721,3758.0,40711.0,,4270.0,Apex,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
91,xBrooklynKnight,57267,3755.0,351.0,,,Apex,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
92,CrypticChalk,65501,3768.0,32148.0,,,Apex,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
93,itsgAIMtime_TTV,51797,3744.0,10882.0,-3227.5862068965516,,Apex,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
94,Fragment42O,51275,3741.0,33323.0,-104.20612813370474,2920.0,Apex,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False
95,nV_AnguishTTV,62225,3735.0,,,,Apex,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
96,tdplebee-,42829,3728.0,60363.0,58.81981697696435,5838.0,Apex,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False
97,paulyzwrld,53994,3720.0,78378.0,-113.76146788990826,6284.0,Apex,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True
98,LuckiestC,47212,3719.0,,,,Apex,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
99,Senor Washed,93215,3717.0,46265.0,-119.86455981941309,8133.0,Apex,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
100,ttv_kingpurp458,48966,3712.0,55161.0,,,Apex,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True
101,baby slothy,55746,3707.0,57662.0,-103.4896705750977,,Apex,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
102,LemonSkynTV,47103,3704.0,84491.0,,5634.0,Apex,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False
103,Wif3Line,63049,3702.0,62889.0,30.58493060145406,9121.0,Apex,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
104,Grizzleay,44087,3700.0,43592.0,212.64367816091956,,Apex,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
105,Splyffyy,54655,3696.0,,-127.44827586206897,,Apex,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True
106,Vurbo Tirgin,68835,3690.0,4230.0,-142.96784192173578,113.0,Apex,False,False,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
107,Ambytionz,63180,3730.0,30469.0,-113.06456501970294,,Apex,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
108,tidalwave13_ttv,65561,3687.0,88693.0,,1733.0,Apex,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
109,kitchn_,54338,3686.0,53935.0,,,Apex,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True
110,TryHuraH,39886,3685.0,,,,Apex,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
111,TheOGKing-,48297,3681.0,60212.0,45.36044362292051,4212.0,Apex,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
112,GoldiloxLaFleur,81009,3673.0,94848.0,-316.6379310344828,3239.0,Apex,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False
113,ishmish-,68357,3673.0,,-313.39590443686006,2713.0,Apex,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
114,UchuujinTv,55557,3654.0,45680.0,28.79659547639688,,Apex,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True
115,Wash3dB0t,74823,3647.0,84864.0,-110.1147342995169,5208.0,Apex,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
116,GoodBoyJJuno,60584,3645.0,70563.0,,12795.0,Apex,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
117,stewiecookie_,69318,3637.0,94612.0,-101.11203780928552,940.0,Apex,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
118,ITzOZZYTtv,80353,3629.0,95969.0,46.6092987413306,,Apex,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
119,i-PearlSwishers,82067,3624.0,104531.0,,,Apex,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
120,GeosEgo,82773,4908.0,,,,Apex,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
121,LilY0gaPants,80254,4904.0,,,,Apex,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
122,i am voudu,95543,4872.0,36896.0,-108.05056553559547,1684.0,Apex,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
123,ExO POMSKYS,111543,4871.0,135856.0,38.48767383059418,5193.0,Apex,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
124,three ttv,98347,4852.0,,105.24945770065075,10.0,Apex,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True
125,Marderic,74387,4831.0,82715.0,-185.59354590856705,7770.0,Apex,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
126,PoTenTiaLFPS,69328,4797.0,75157.0,38.47758081334723,3123.0,Apex,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
127,Lrk_young_goat,167758,4789.0,202511.0,14.897191028711854,10801.0,Apex,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True
128,DroppedEmQuick,65671,4784.0,,,9072.0,Apex,False,True,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
129,Ttv_punstayztru,97405,4775.0,,,25780.0,Apex,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
130,fwehz,69599,4765.0,47366.0,43.85641969627244,5625.0,Apex,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
131,Hoplons,109431,4758.0,972.0,126.84617435350573,4190.0,Apex,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
132,Applzs,59413,4757.0,21.0,,,Apex,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
133,nurvoz,84658,4757.0,43439.0,-192.669096800324,,Apex,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
134,Loki_Beamin,70024,4753.0,15542.0,26.594673231871084,,Apex,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
135,Atomix2112,92193,4747.0,,,,Apex,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
136,Tollis,188103,4741.0,83750.0,69.24200379728347,219.0,Apex,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True
137,Snowmas15,44973,4723.0,,63.378958668813745,,Apex,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True
138,exo throttie,57151,4720.0,58033.0,,9080.0,Apex,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False
139,zenandjuice,40675,4713.0,,,12.0,Apex,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False
140,CV_GibbySitOnYou,62585,4703.0,80502.0,28.055837260633538,11086.0,Apex,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
141,GageGotGame,81039,4702.0,,,,Apex,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
142,TTV Webbita,70273,4695.0,88763.0,,17534.0,Apex,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
143,xjonezymezz,61461,4674.0,47132.0,,,Apex,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False
144,TB AndyHaak,54894,4667.0,304.0,,,Apex,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
145,Tokenergy,77245,4805.0,111749.0,-174.22044960116025,9456.0,Apex,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True
146,ItzDiablos,71404,4659.0,57719.0,2070.6666666666665,,Apex,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True
147,InstinctHits,108086,4650.0,,,,Apex,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True
148,CaIamiti,132241,4643.0,,,,Apex,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
149,Lakevionttv,71601,4642.0,76787.0,,,Apex,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
150,THEEL006,54940,4636.0,,,14001.0,Apex,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
151,Kozcuro,52694,4629.0,50866.0,,,Apex,False,False,False,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
152,ChoppasOut--,70801,4616.0,72275.0,,67.0,Apex,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False
153,blamboozleTV,84393,4603.0,77295.0,,16525.0,Apex,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False
154,Smerk A Berl,66756,4598.0,74661.0,64.28072137564658,7576.0,Apex,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
155,OGPreSsure,60910,4598.0,21758.0,126.98149682408174,20705.0,Apex,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
156,LoudDankPower,84567,4592.0,24036.0,86.12153038259565,,Apex,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
157,Predtrail,88228,4591.0,,,,Apex,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
158,Phillyboi95,52708,4587.0,60833.0,,,Apex,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
159,DesolationFPSTV,75604,4581.0,,,,Apex,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
160,xRYAN1394x,53408,4580.0,65001.0,,187.0,Apex,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
