,name,Kills,Wins,Matches Played,Revives,Headshots,BANGALORE,LOBA,LIFELINE,PATHFINDER,BLOODHOUND,HORIZON,MAD MAGGIE,FUSE,RAMPART,WATTSON,BALLISTIC,SEER,CAUSTIC,VANTAGE,CRYPTO,NEWCASTLE,GIBRALTAR,CATALYST,CONDUIT,REVENANT,VALKYRIE,MIRAGE,OCTANE,ASH,WRAITH
29,WtF_iTz_Groot,70260,4116.0,10572.0,507.0,70572.0,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True
30,KuruptdKilla,51176,4114.0,,5071.0,79005.0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False
31,Flamethrower531,93020,4111.0,,,39983.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True
32,jhummel5,63605,4112.0,11002.0,7370.0,86656.0,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
33,Lostt Storm,57570,4104.0,,2045.0,59644.0,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
34,filthy_stepper,81994,4102.0,10968.0,,3596.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False
35,nvthis101,66334,4101.0,,,58205.0,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
36,predhtr,38200,4100.0,,,,True,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
37,WatermelonGremln,84253,4089.0,,,,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False
38,Electrxde-TikTok,107041,4078.0,8155.0,6681.0,149499.0,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
39,IAmBIackHammer,63216,4082.0,,,40818.0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True
40,CFG_Phantomz,82154,4069.0,7572.0,1430.0,99355.0,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
41,jwoolia,56369,4051.0,9.0,10724.0,54932.0,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
42,Zip Rolled U,58406,4049.0,,3311.0,55981.0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
43,Ttv_oRakuen,78746,4030.0,7883.0,,105349.0,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
44,omarm17,49404,4026.0,,,,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
45,HUHYUNJlN,71375,4022.0,0.0,23.0,72941.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True
46,CIampur,78490,4020.0,12930.0,3371.0,95277.0,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
47,JakeTrox,115065,4015.0,2081.0,1031.0,,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
48,louway mf,60828,4013.0,,8029.0,54155.0,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
49,SirSkyDivine,51284,4001.0,,,1282.0,False,False,False,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False
50,YT-TheRealBigJoe,73545,3975.0,81.0,5190.0,76302.0,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
51,SPOOKIxTANOOKI,35286,3968.0,,6077.0,,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False
52,Smokn Jay,51756,3953.0,,2483.0,22783.0,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
53,kyyrim,67431,3951.0,,,82595.0,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
54,a TTV XpLaZ,69611,3948.0,314.0,6864.0,,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False
55,Bimwofti,54341,3941.0,287.0,3033.0,50016.0,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
56,x nedrad x,73428,3927.0,30312.0,6385.0,45219.0,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
57,Nubsv,53700,3913.0,,,58994.0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True
58,lx kaneki xi,80062,3906.0,210.0,2311.0,91077.0,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
59,wokoufps,62995,3905.0,17395.0,,1150.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True
60,nbn merkn,42957,3902.0,,15083.0,62959.0,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
61,UNRULYSHOTTA819,61048,3902.0,125.0,11557.0,35204.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False
62,Hans_olo_TTV,104799,3902.0,125.0,,126514.0,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
63,SpagettiGod6,82684,3893.0,3022.0,10402.0,94888.0,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
64,XoticcccTV,82383,3887.0,12075.0,3346.0,59885.0,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
65,ItzZeekBoiii-,80368,3875.0,,,6826.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False
66,Soup of Korn,50541,3872.0,6591.0,178.0,22214.0,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
67,LG_SIayr,74029,3868.0,3371.0,,55206.0,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
68,Aric fps,73614,3862.0,7423.0,4842.0,96788.0,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
69,SlackToast800,70473,3854.0,28341.0,,,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
70,eclypsify,45810,3850.0,1525.0,,33694.0,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
71,stormchemist,40560,3849.0,4655.0,,56468.0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True
72,L1LSL3GEND_TV,80644,3845.0,,,102386.0,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
73,SolidSovereign23,58808,3845.0,51.0,8502.0,42196.0,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
74,ak74ubro,55520,3836.0,,,207.0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False
75,iTomyunTV,79576,3825.0,,10481.0,96020.0,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
76,Sevpha,66344,3814.0,,,77821.0,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
77,Aim<3,76190,3812.0,10041.0,,104001.0,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
78,XPrince_VegetaTV,58567,3810.0,,,16075.0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False
79,Prada_Pirate,60563,3810.0,,5283.0,89630.0,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
80,NanTucKziT,46714,3809.0,4345.0,746.0,5507.0,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True
81,CaptainSlapahoTV,71692,3797.0,19.0,381.0,79781.0,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
82,TheDamnAlva,52967,3796.0,,,32071.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,True
83,SuperChefKhalil,47624,3796.0,20815.0,,23855.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False
84,JorPorCor,84042,3793.0,20976.0,4891.0,66060.0,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
85,lordxwolves,70894,3779.0,15229.0,9.0,62789.0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True
86,thekinettv,90747,3765.0,,,,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
87,thekineTV,146544,3763.0,,,,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True
88,DregoPK,65424,3768.0,,1309.0,26870.0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
89,amethysttheory,46763,3759.0,,17236.0,77127.0,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
90,Colt,45721,3758.0,,4270.0,40711.0,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
91,xBrooklynKnight,57267,3755.0,,,351.0,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
92,CrypticChalk,65501,3768.0,,,32148.0,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
93,itsgAIMtime_TTV,51797,3744.0,3628.0,,10882.0,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
94,Fragment42O,51275,3741.0,151.0,2920.0,33323.0,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False
95,nV_AnguishTTV,62225,3735.0,,,,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
96,tdplebee-,42829,3728.0,10066.0,5838.0,60363.0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False
97,paulyzwrld,53994,3720.0,450.0,6284.0,78378.0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True
98,LuckiestC,47212,3719.0,,,,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
99,Senor Washed,93215,3717.0,616.0,8133.0,46265.0,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
100,ttv_kingpurp458,48966,3712.0,,,55161.0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True
101,baby slothy,55746,3707.0,125.0,,57662.0,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
102,LemonSkynTV,47103,3704.0,,5634.0,84491.0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False
103,Wif3Line,63049,3702.0,15806.0,9121.0,62889.0,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
104,Grizzleay,44087,3700.0,5440.0,,43592.0,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
105,Splyffyy,54655,3696.0,796.0,,,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True
106,Vurbo Tirgin,68835,3690.0,1109.0,113.0,4230.0,False,False,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
107,Ambytionz,63180,3730.0,431.0,,30469.0,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
108,tidalwave13_ttv,65561,3687.0,,1733.0,88693.0,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
109,kitchn_,54338,3686.0,,,53935.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True
110,TryHuraH,39886,3685.0,,,,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
111,TheOGKing-,48297,3681.0,11796.0,4212.0,60212.0,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
112,GoldiloxLaFleur,81009,3673.0,2513.0,3239.0,94848.0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False
113,ishmish-,68357,3673.0,2501.0,2713.0,,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
114,UchuujinTv,55557,3654.0,16343.0,,45680.0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True
115,Wash3dB0t,74823,3647.0,335.0,5208.0,84864.0,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
116,GoodBoyJJuno,60584,3645.0,,12795.0,70563.0,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
117,stewiecookie_,69318,3637.0,40.0,940.0,94612.0,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
118,ITzOZZYTtv,80353,3629.0,11415.0,,95969.0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
119,i-PearlSwishers,82067,3624.0,,,104531.0,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
120,GeosEgo,82773,4908.0,,,,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
121,LilY0gaPants,80254,4904.0,,,,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
122,i am voudu,95543,4872.0,363.0,1684.0,36896.0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
123,ExO POMSKYS,111543,4871.0,17527.0,5193.0,135856.0,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
124,three ttv,98347,4852.0,9462.0,10.0,,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True
125,Marderic,74387,4831.0,2228.0,7770.0,82715.0,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
126,PoTenTiaLFPS,69328,4797.0,17264.0,3123.0,75157.0,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
127,Lrk_young_goat,167758,4789.0,36936.0,10801.0,202511.0,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True
128,DroppedEmQuick,65671,4784.0,,9072.0,,False,True,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
129,Ttv_punstayztru,97405,4775.0,,25780.0,,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
130,fwehz,69599,4765.0,15630.0,5625.0,47366.0,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
131,Hoplons,109431,4758.0,8509.0,4190.0,972.0,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
132,Applzs,59413,4757.0,,,21.0,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
133,nurvoz,84658,4757.0,2288.0,,43439.0,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
134,Loki_Beamin,70024,4753.0,22625.0,,15542.0,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
135,Atomix2112,92193,4747.0,,,,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
136,Tollis,188103,4741.0,11588.0,219.0,83750.0,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True
137,Snowmas15,44973,4723.0,12175.0,,,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True
138,exo throttie,57151,4720.0,,9080.0,58033.0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False
139,zenandjuice,40675,4713.0,,12.0,,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False
140,CV_GibbySitOnYou,62585,4703.0,21466.0,11086.0,80502.0,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
141,GageGotGame,81039,4702.0,,,,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
142,TTV Webbita,70273,4695.0,,17534.0,88763.0,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
143,xjonezymezz,61461,4674.0,,,47132.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False
144,TB AndyHaak,54894,4667.0,,,304.0,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
145,Tokenergy,77245,4805.0,2047.0,9456.0,111749.0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True
146,ItzDiablos,71404,4659.0,4884.0,,57719.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True
147,InstinctHits,108086,4650.0,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True
148,CaIamiti,132241,4643.0,,,,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
149,Lakevionttv,71601,4642.0,,,76787.0,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
150,THEEL006,54940,4636.0,,14001.0,,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
151,Kozcuro,52694,4629.0,,,50866.0,False,False,False,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
152,ChoppasOut--,70801,4616.0,,67.0,72275.0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False
153,blamboozleTV,84393,4603.0,,16525.0,77295.0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False
154,Smerk A Berl,66756,4598.0,11751.0,7576.0,74661.0,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
155,OGPreSsure,60910,4598.0,8219.0,20705.0,21758.0,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
156,LoudDankPower,84567,4592.0,9924.0,,24036.0,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
157,Predtrail,88228,4591.0,,,,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
158,Phillyboi95,52708,4587.0,,,60833.0,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
159,DesolationFPSTV,75604,4581.0,,,,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
160,xRYAN1394x,53408,4580.0,,187.0,65001.0,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
161,MrDudzyyTTV,72799,4580.0,4910.0,5313.0,9012.0,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
162,IconicOnTwitch,73789,4700.0,59.0,,53620.0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True
163,xUltra_Gaming,68257,4542.0,236.0,,,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
164,dannymontaie,26478,4534.0,,,33774.0,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
165,Jaackkl,87540,4543.0,1607.0,,,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
166,ImMaggz,83298,4532.0,,,12847.0,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
167,amedactyl,67056,4529.0,,8014.0,55187.0,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
168,Absurdists | Twitch,91156,4494.0,6222.0,3714.0,2024.0,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
169,The_Carnot_Cycle,90916,4497.0,,,72285.0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
170,DoovooPvP,77652,4903.0,0.0,,43659.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True
171,Seven AImighty,66660,4484.0,10280.0,3262.0,53968.0,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
172,otnie,60453,4465.0,7000.0,,,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True
