,name,GENERAL - COMBAT.PVPAccuracy,GENERAL - COMBAT.PVPMeleeKills,GENERAL - COMBAT.PVPBlindKills,GENERAL - COMBAT.PVPPenetrationKills,GENERAL - COMBAT.PVPSuicides,GENERAL - COMBAT.PVPBulletsHit,GENERAL - COMBAT.PVPBulletsFired,GENERAL - COMBAT.PVPRappelBreach,GENERAL - COMBAT.PVPDBNOs,GENERAL.PVPKDRatio,GENERAL.PVPDeaths,GENERAL.PVPHeadshots,GENERAL.PVPMatchesWon,GENERAL.PVPMatchesLost,GENERAL.PVPWLRatio,GENERAL.PVPTimePlayed,GENERAL.PVPMatchesPlayed,GENERAL.PVPTotalXp,GENERAL.PVPKills,GENERAL - TEAM PLAY.PVPDBNOAssists,GENERAL - TEAM PLAY.PVPKillAssists,GENERAL - TEAM PLAY.PVPRevives,GENERAL - TEAM PLAY.PVPHostagesRescued,GENERAL - TEAM PLAY.PVPHostageDefense,GENERAL - TEAM PLAY.PVPReinforcementsDeployed,GENERAL - TEAM PLAY.PVPBarricadesDeployed,GENERAL - TEAM PLAY.PVPGadgetsDestroyed,GENERAL - TEAM PLAY.PVPServerAggression,GENERAL - TEAM PLAY.PVPServerDefender,GENERAL - TEAM PLAY.PVPServersHacked,GENERAL - TEAM PLAY.PVPReviveDenied,CASUAL.CasualTimePlayed,CASUAL.CasualWins,CASUAL.CasualLosses,CASUAL.CasualMatches,CASUAL.CasualDeaths,CASUAL.CasualKills,CASUAL.CasualWLRatio,CASUAL.CasualKDRatio,CASUAL.CasualKillsPerMatch,CASUAL.CasualKillsPerMinute,RANKED.RankedTimePlayed,RANKED.RankedWins,RANKED.RankedLosses,RANKED.RankedMatches,RANKED.RankedDeaths,RANKED.RankedKills,RANKED.RankedWLRatio,RANKED.RankedKDRatio,RANKED.RankedKillsPerMatch,RANKED.RankedKillsPerMinute
10,Kawazexy,41.10,411,45,"2,216",167,"289,852","1,325",0,"13,616",1.03,"81,833","11,149","16,049","8,033",64.2%,"5,796H 6M 46S","25,006","97,042,646","84,393","2,148","12,192","1,058",9,13,"31,131","6,260","30,051",377,252,165,0,"1,450H 53M 51S","4,423","2,726","7,149","22,814","21,134",61.9%,0.93,2.96,0.24,"1,358H 36M 51S","2,093","1,936","4,033","17,675","16,326",51.9%,0.92,4.05,0.20
11,ii30RY,40.10,"1,470",136,"3,998",196,"567,281","196,738",189,"26,277",1.37,"54,383","22,191","16,019","5,793",72.9%,"4,493H 30S","21,971","175,345,794","74,715","4,984","22,173","2,158",69,107,"78,708","7,827","68,421","2,608","2,118","1,058",0,"3,454H 39M 55S","13,113","4,507","17,620","41,400","57,028",74.4%,1.38,3.24,0.28,499H 3M 36S,908,644,"1,552","6,321","7,166",58.5%,1.13,4.62,0.24
12,ZOFIA-,48.30,997,84,"4,021",71,"479,013","44,181",57,"25,716",2.06,"38,531","26,362","16,018","2,625",85.6%,"3,997H 25M 54S","18,708","172,556,653","79,437","4,187","17,792",770,41,40,"48,614","6,240","52,866",152,119,80,0,"3,302H 58M 48S","13,439","2,179","15,618","31,564","64,810",86%,2.05,4.15,0.33,110H 21M 39S,221,91,313,"1,168","1,717",70.6%,1.47,5.49,0.26
13,frostyorb,40.80,"2,181",134,"5,449",317,"503,826","1,738,472",454,"24,022",1.74,"40,262","23,066","15,996","3,568",81.5%,"4,429H 20M 18S","19,629","170,780,073","69,930","6,901","23,598","2,209",389,643,"45,980","10,464","86,957","2,521","2,742","1,627",22,"3,654H 2M 47S","13,594","3,075","16,669","33,227","58,046",81.6%,1.75,3.48,0.26,297H 55M 54S,563,246,809,"2,785","3,879",69.6%,1.39,4.79,0.22
14,lDOLMASTER,56.80,881,91,"3,074",192,"386,289","548,259",20,"17,927",0.93,"76,836","21,167","15,976","16,112",48.8%,"6,798H 23M 44S","32,741","155,000,987","71,561","2,483","10,793","1,383",151,101,"25,961","2,346","39,612",281,216,248,7,"5,219H 13M 43S","11,858","14,229","26,087","56,556","38,021",45.5%,0.67,1.46,0.12,861H 36M 25S,"1,807",865,"2,674","10,590","14,520",67.6%,1.37,5.43,0.28
15,ElGiulio,42.20,"2,055",147,"5,926",234,"689,649","1,308,291",36,"37,569",1.43,"87,195","34,451","15,965","5,582",71%,"7,599H 23M 36S","22,486","226,273,607","125,007","5,937","29,338","2,149",170,215,"52,436","9,069","76,631","1,909",882,794,17,340H 20M 41S,998,650,"1,648","5,465","7,794",60.6%,1.43,4.73,0.38,"6,922H 4M 59S","14,086","4,394","18,587","76,079","108,934",75.8%,1.43,5.86,0.26
16,RAGEnaldo.144Hz,36.30,"1,030",133,"5,920",181,"492,395","844,648",537,"29,620",1.72,"53,820","23,766","15,955","7,336",65.4%,"5,669H 30M 45S","24,385","183,776,583","92,473","4,308","16,898","1,610",71,139,"63,704","16,767","68,522",454,321,340,16,"3,711H 17M 58S","11,312","5,132","16,444","37,837","62,789",68.8%,1.66,3.82,0.28,350H 43M 44S,569,448,"1,017","3,560","4,987",55.9%,1.40,4.90,0.24
17,Duddi,59.60,242,74,"5,090",61,"349,414","42,236",1,"14,270",1.37,"60,598","27,531","15,912","4,856",74.9%,"4,681H 13M 30S","21,252","136,247,640","82,843","2,763","15,285","1,299",12,39,"49,474","1,513","42,498",92,146,38,0,"2,002H 2M 55S","7,842","2,122","9,964","25,749","36,593",78.7%,1.42,3.67,0.30,331H 15M 29S,633,396,"1,029","4,135","4,730",61.5%,1.14,4.60,0.24
18,jokerstar,33.05,"2,451",151,"3,552",337,"602,689","1,010,800",92,"36,235",1.51,"53,038","26,435","15,887","4,960",76.2%,"4,435H 59M 28S","20,848","206,653,814","79,982","5,307","25,443","1,674",201,103,"39,179","2,809","57,599","2,922","1,695","1,202",15,"3,931H 31M 56S","14,409","4,500","18,909","46,745","70,523",76.2%,1.51,3.73,0.30,213H 39M 18S,596,124,720,"1,889","3,844",82.8%,2.03,5.34,0.30
19,MasturNayter,39.81,"1,914",144,"7,007",198,"551,227","1,974,094","1,093","28,525",2.00,"37,612","29,916","15,775","2,882",84.6%,"3,963H 34M 33S","18,657","180,527,718","75,141","6,421","23,061","3,627",323,594,"66,319","11,791","68,225","2,837","2,025","1,729",22,"3,810H 43M 27S","15,430","2,747","18,177","36,106","72,735",84.9%,2.01,4.00,0.32,110H 45M 47S,212,101,313,"1,031","1,637",67.7%,1.59,5.23,0.25
20,TBatist,38.90,947,94,"2,953",78,"343,329","265,840",0,"19,113",1.46,"52,103","19,649","15,736","6,846",68.8%,"5,312H 5M","22,875","145,802,157","75,963","3,719","14,424","1,520",20,15,"61,887","10,007","45,480",76,199,76,0,"2,891H 43M 44S","9,435","3,998","13,433","28,413","42,677",70.2%,1.50,3.18,0.25,"1,195H 11M 18S","1,794","1,545","3,341","12,014","13,224",53.7%,1.10,3.96,0.18
21,Crazyteacher963,25.20,"1,009",108,"2,122",600,"457,372","574,478",60,"27,823",0.82,"98,378","12,498","15,733","15,602",49.2%,"6,900H 51M 43S","31,962","162,192,748","80,805","3,830","23,440","2,084",253,191,"89,377","10,675","66,940",766,896,683,2,"3,825H 2M 10S","9,413","9,297","18,710","55,023","43,565",50.3%,0.79,2.33,0.19,"1,172H 13M 11S","1,828","1,822","3,655","16,133","11,525",50%,0.71,3.15,0.16
22,SOG GUMBALL,10.10,631,127,"2,121",620,"363,282","606,234",211,"29,164",0.64,"95,855","6,401","15,659","16,992",46.7%,"7,087H 15M 48S","33,506","176,943,858","61,164","4,757","26,310","1,411",373,253,"93,533","24,419","68,703","1,822","2,431","1,545",14,"5,695H 24M 32S","13,016","14,245","27,261","78,982","50,480",47.7%,0.64,1.85,0.15,88H 3M 55S,115,158,273,"1,195",483,42.1%,0.40,1.77,0.09
23,Leland1989,39.00,921,153,"4,718",101,"494,145","785,395",273,"24,909",1.21,"67,248","22,944","15,643","13,948",46.5%,"6,819H 37M 22S","33,643","164,389,609","81,451","3,603","16,240","2,186",513,709,"78,483","8,009","63,178","2,173","2,784","1,468",19,"4,342H 36M 44S","11,210","10,206","21,416","50,356","58,530",52.3%,1.16,2.73,0.22,17H 44M 7S,27,29,56,208,223,48.2%,1.07,3.98,0.21
24,lII-Nicassio-lII,44.40,365,92,"2,962",82,"397,568","215,263",132,"21,420",1.91,"47,448","19,244","15,634","6,567",69.3%,"4,666H 45M 57S","22,549","124,123,367","90,514","3,002","13,218","1,397",121,152,"46,276","1,798","29,576",797,922,436,5,"2,603H 5M 41S","8,311","4,567","12,878","30,575","49,186",64.5%,1.61,3.82,0.31,271H 15M,511,340,851,"3,036","3,748",60%,1.23,4.40,0.23
25,Strelnq,38.50,320,40,"1,012",173,"224,206",356,0,"10,573",0.56,"90,700","7,979","15,618","11,364",56.1%,"6,404H 20M 37S","27,848","95,101,288","50,459","1,480","10,805",990,12,2,"38,970","1,295","27,476",20,11,32,0,"2,509H 3M 10S","6,118","5,028","11,146","36,033","21,611",54.9%,0.60,1.94,0.14,338H 25M 27S,596,411,"1,007","4,402","3,716",59.2%,0.84,3.69,0.18
26,lRIGaM0RTiz-vV,41.20,708,117,"3,962",117,"457,857","884,771",148,"21,417",1.19,"73,636","21,826","15,586","7,490",67.3%,"5,557H 45M 4S","23,175","167,681,950","87,475","5,408","22,382","1,952",158,201,"56,900","14,673","56,677","1,543","1,347","1,069",9,"2,750H 19M 44S","8,342","4,409","12,751","33,064","38,187",65.4%,1.15,2.99,0.23,754H 53M 56S,"1,175",974,"2,150","8,692","8,581",54.7%,0.99,3.99,0.19
27,Dfletcher,38.80,860,122,"7,180",140,"508,366","1,310,667",180,"27,590",2.28,"39,027","25,404","15,575","3,058",83.2%,"4,281H 37M 39S","18,710","175,320,086","89,097","5,796","20,419","1,564",216,283,"47,295","10,187","61,278",739,546,554,24,"2,402H 58M 55S","10,179","1,629","11,808","18,534","44,187",86.2%,2.38,3.74,0.31,725H 48M,"1,494",678,"2,172","7,099","12,779",68.8%,1.80,5.88,0.29
28,Oneshotman.,54.80,814,78,"5,849",89,"494,970","592,193",94,"21,368",1.87,"50,445","33,304","15,521","5,434",72.7%,"4,714H 29M 42S","21,350","162,949,323","94,439","3,588","16,491","1,456",424,769,"47,835","5,549","64,038","2,551","1,279","1,144",9,"2,949H 53M 15S","9,845","3,721","13,566","33,335","62,392",72.6%,1.87,4.60,0.35,167H 50M 42S,330,179,509,"1,873","3,254",64.8%,1.74,6.39,0.32
29,Insolint,49.90,"1,838",136,"3,814",287,"469,914","815,219",249,"23,338",1.38,"64,990","27,505","15,508","4,664",76%,"4,633H 4M 8S","20,406","145,564,489","89,839","3,124","18,448","1,778",186,236,"22,976","3,708","41,542","2,677","1,112",656,21,"1,992H 59M 31S","7,802","2,445","10,247","29,574","43,431",76.1%,1.47,4.24,0.36,"1,371H 30M 3S","2,610","1,518","4,130","18,083","18,481",63.2%,1.02,4.47,0.22
30,KEISER,38.90,502,66,"3,056",47,"330,026","217,382",22,"17,066",1.70,"39,277","16,331","15,506","3,151",82.5%,"4,263H 31M 8S","18,788","111,844,141","66,685","2,155","12,302",940,133,227,"34,010","2,034","49,985",670,952,312,6,"2,562H 14M 55S","8,626","2,714","11,340","27,325","42,509",76.1%,1.56,3.75,0.28,81H 8M 37S,157,75,232,985,"1,217",67.7%,1.24,5.25,0.25
