,name,GENERAL - COMBAT.PVPAccuracy,GENERAL - COMBAT.PVPMeleeKills,GENERAL - COMBAT.PVPBlindKills,GENERAL - COMBAT.PVPPenetrationKills,GENERAL - COMBAT.PVPSuicides,GENERAL - COMBAT.PVPBulletsHit,GENERAL - COMBAT.PVPBulletsFired,GENERAL - COMBAT.PVPRappelBreach,GENERAL - COMBAT.PVPDBNOs,GENERAL.PVPKDRatio,GENERAL.PVPDeaths,GENERAL.PVPHeadshots,GENERAL.PVPMatchesWon,GENERAL.PVPMatchesLost,GENERAL.PVPWLRatio,GENERAL.PVPTimePlayed,GENERAL.PVPMatchesPlayed,GENERAL.PVPTotalXp,GENERAL.PVPKills,GENERAL - TEAM PLAY.PVPDBNOAssists,GENERAL - TEAM PLAY.PVPKillAssists,GENERAL - TEAM PLAY.PVPRevives,GENERAL - TEAM PLAY.PVPHostagesRescued,GENERAL - TEAM PLAY.PVPHostageDefense,GENERAL - TEAM PLAY.PVPReinforcementsDeployed,GENERAL - TEAM PLAY.PVPBarricadesDeployed,GENERAL - TEAM PLAY.PVPGadgetsDestroyed,GENERAL - TEAM PLAY.PVPServerAggression,GENERAL - TEAM PLAY.PVPServerDefender,GENERAL - TEAM PLAY.PVPServersHacked,GENERAL - TEAM PLAY.PVPReviveDenied,CASUAL.CasualTimePlayed,CASUAL.CasualWins,CASUAL.CasualLosses,CASUAL.CasualMatches,CASUAL.CasualDeaths,CASUAL.CasualKills,CASUAL.CasualWLRatio,CASUAL.CasualKDRatio,CASUAL.CasualKillsPerMatch,CASUAL.CasualKillsPerMinute,RANKED.RankedTimePlayed,RANKED.RankedWins,RANKED.RankedLosses,RANKED.RankedMatches,RANKED.RankedDeaths,RANKED.RankedKills,RANKED.RankedWLRatio,RANKED.RankedKDRatio,RANKED.RankedKillsPerMatch,RANKED.RankedKillsPerMinute
10,lLennoxI,43.00,"1,404",118,"6,111",223,"660,239","1,970,960",29,"28,948",1.15,"98,264","34,428","15,018","8,545",62.4%,"7,732H 25M 53S","24,064","247,839,363","113,161","5,721","28,693","2,342",70,154,"93,126","19,661","98,005","2,499","2,557","1,036",13,187H 44M,524,340,864,"2,795","3,076",60.6%,1.10,3.56,0.27,"7,486H 18M 55S","14,133","8,070","22,212","92,787","106,478",63.6%,1.15,4.79,0.24
11,mcjones723_AG,24.60,"1,357",164,"2,780",428,"505,838","1,515,531",216,"24,961",0.82,"67,166","11,348","15,017","10,292",52.5%,"8,000H 39M 12S","28,580","197,046,692","55,376","4,898","16,194","2,361",659,282,"83,839","34,289","74,778",766,784,765,18,"5,223H 50M 24S","11,362","7,583","18,945","50,744","41,730",60%,0.82,2.20,0.13,333H 29M 8S,493,416,909,"3,527","2,548",54.2%,0.72,2.80,0.13
12,RELOADED-K9,40.10,"1,142",107,"5,860",206,"677,391","734,881",144,"36,221",1.51,"71,120","29,663","14,989","7,313",66.2%,"5,484H 16M 54S","22,654","211,860,481","107,250","5,005","24,356","2,148",92,138,"57,882","11,655","80,464","1,402","1,603",723,9,"1,932H 3M 46S","7,225","2,998","10,223","24,927","43,362",70.7%,1.74,4.24,0.37,"2,736H 16M 37S","4,897","3,338","8,243","33,530","40,529",59.4%,1.21,4.92,0.25
13,Bolegna.,35.70,581,149,"3,704",153,"492,403","568,505",24,"28,523",1.28,"65,219","19,146","14,935","12,455",52%,"6,198H 41M 17S","28,698","150,006,917","83,246","3,140","15,778","1,734",164,220,"61,620","8,600","45,301",974,"1,230",490,8,"4,241H 40M 31S","10,583","9,089","19,672","47,239","59,428",53.8%,1.26,3.02,0.23,19H 26M 7S,29,28,57,208,292,50.9%,1.40,5.12,0.25
14,nqkqx,55.70,412,91,"3,143",244,"386,734","688,678",56,"17,582",0.75,"85,868","18,653","14,921","18,144",44.8%,"7,779H 59M 56S","33,285","170,785,085","64,116","2,985","13,112","1,566",69,154,"47,628","8,444","37,321",239,253,156,11,"4,439H 39M 24S","8,588","13,019","21,607","49,501","27,512",39.7%,0.56,1.27,0.10,"1,902H 53M 5S","3,280","2,176","5,460","22,749","28,469",60.1%,1.25,5.21,0.25
15,DWEx ROBHOOD,30.00,"1,609",99,"2,799",279,"510,095","339,100",41,"29,777",0.97,"97,674","16,769","14,926","15,346",48.7%,"7,371H 37M 19S","30,624","175,328,863","94,732","4,608","20,867","2,312",153,197,"70,577","18,340","58,628",400,"1,214",301,9,"2,778H 18M 33S","6,692","7,028","13,720","34,296","32,155",48.8%,0.94,2.34,0.19,"4,388H 45M 25S","6,693","6,707","13,424","54,182","53,350",49.9%,0.98,3.97,0.20
16,Putins1Horn,43.70,738,86,"4,793",59,"433,595",386,3,"25,025",1.93,"59,862","25,597","14,909","7,037",67.6%,"5,290H 32M 6S","22,049","153,021,481","115,343","3,680","16,342","1,491",32,37,"53,392","5,076","45,674",810,"1,419",354,0,"2,131H 48M 29S","6,602","3,495","10,097","23,417","41,905",65.4%,1.79,4.15,0.33,751H 39M 45S,"1,237",973,"2,210","8,369","13,407",56%,1.60,6.07,0.30
17,Il713lI-SkyL1ne,41.80,453,80,"4,545",44,"485,078","351,244",26,"23,537",2.78,"26,870","26,270","14,903","2,483",85.5%,"3,537H 14M 43S","17,427","154,959,934","74,620","5,473","16,833","1,252",77,162,"64,413","13,343","47,820","2,012","3,232","1,070",3,"2,790H 51M 20S","12,268","1,808","14,076","19,671","57,533",87.2%,2.92,4.09,0.34,312H 29M 2S,567,336,904,"2,975","5,275",62.7%,1.77,5.84,0.28
18,qZentorix,46.00,"1,615",82,"4,881",151,"523,593","535,441",101,"27,153",1.86,"56,045","26,675","14,899","6,612",67.6%,"4,751H 49M 35S","22,042","164,913,235","104,152","3,825","17,362","1,784",44,81,"55,615","3,377","58,536","2,150","2,396",834,6,"2,627H 3M 39S","8,827","4,135","12,962","32,081","56,238",68.1%,1.75,4.34,0.36,699H 4M 49S,"1,217",924,"2,142","8,307","11,404",56.8%,1.37,5.32,0.27
19,JERRY-TO-97,43.10,"1,063",104,"4,226",154,"386,873","440,482",13,"22,163",1.85,"42,722","22,099","14,877","4,184",76.7%,"4,344H 58M 38S","19,384","137,155,556","78,891","3,562","14,646","2,110",95,105,"39,860","5,860","46,598","1,409","1,474",695,8,"2,452H 58M 29S","8,369","2,978","11,347","26,810","47,466",73.8%,1.77,4.18,0.32,401H 28M 15S,875,549,"1,424","4,196","8,132",61.4%,1.94,5.71,0.34
20,Dzkota,50.50,675,78,"3,929",180,"424,779","423,974",63,"21,757",2.06,"39,986","20,279","14,849","2,863",82.2%,"4,430H 41M 25S","18,074","138,784,116","82,468","3,208","14,478","1,251",138,318,"40,335","6,238","51,862",390,269,194,2,"1,011H 19M 20S","4,383","1,055","5,438","11,072","24,693",80.6%,2.23,4.54,0.41,"1,583H 5M 1S","3,269","1,524","4,799","17,634","23,462",68.1%,1.33,4.89,0.25
21,DannyKiIIa,41.40,981,98,"5,847",237,"651,131","1,431,097",272,"32,012",1.44,"66,474","25,739","14,831","4,207",73.7%,"5,797H 18M 10S","20,127","215,124,139","95,921","6,074","25,356","1,766",102,76,"81,688","4,863","88,095","1,571","1,164",793,12,198H 49M 37S,523,337,860,"2,619","3,797",60.8%,1.45,4.42,0.32,"5,566H 13M 51S","14,034","3,758","17,797","61,985","89,196",78.9%,1.44,5.01,0.27
22,MraznyVilku,46.90,"1,014",128,"3,934",183,"625,507","891,161",581,"31,552",1.15,"95,261","32,683","14,811","10,615",57.2%,"6,763H 12M 5S","25,884","208,839,769","109,533","3,188","21,253","1,657",198,141,"76,797","2,642","62,221","1,454","1,456",828,14,"2,681H 58M 41S","7,074","4,558","11,632","35,791","45,621",60.8%,1.27,3.92,0.28,"2,327H 59M 7S","3,527","3,386","6,914","30,926","29,486",51%,0.95,4.26,0.21
23,OGz_GRUMPYz,31.20,674,126,"4,011",236,"499,894","273,285",10,"23,878",0.96,"77,544","16,671","14,784","11,828",54.7%,"6,129H 1M 47S","27,016","157,360,891","74,521","4,755","20,963","2,359",47,103,"80,740","42,204","52,182","1,642","2,181",792,0,"4,138H 19M 26S","10,363","8,149","18,512","54,049","49,413",56%,0.91,2.67,0.20,375H 37M 44S,613,545,"1,159","4,668","4,060",52.9%,0.87,3.50,0.18
24,kill_th-Devil,16.70,829,42,"1,915",416,"393,388","5,985",0,"17,742",0.73,"77,539","9,162","14,809","14,479",44.8%,"6,662H 57M 6S","33,054","123,531,214","56,899","3,935","16,431","1,174",435,245,"23,444","21,378","53,960",796,726,763,0,"3,434H 7M 50S","8,392","8,759","17,151","44,777","32,598",48.9%,0.73,1.90,0.16,114H 4M 54S,142,233,377,"1,620",770,37.7%,0.48,2.04,0.11
25,jellokello88,34.00,704,160,"3,260",344,"456,829","937,805",176,"26,223",0.94,"74,937","18,864","14,709","9,822",57.5%,"5,807H 7M 10S","25,598","181,075,357","70,582","4,295","22,407","2,498",53,87,"78,505","39,047","71,937","2,249","2,235","1,844",36,"4,598H 10M 33S","12,135","8,176","20,311","62,393","57,382",59.7%,0.92,2.83,0.21,98H 43M 4S,168,153,322,"1,422","1,372",52.2%,0.96,4.26,0.23
