,Level,Kills,Damage,Wins,Headshots,Revives,Season 5 Wins,Season 6 Wins,Season 6 Kills,Season 7 Wins,Season 7 Kills,Season 8 Wins,Season 8 Kills,Season 9 Wins,Top 3 Legends,name,Matches Played,Kills Per Match,Damage Per Match,Season 5 Kills,Finishers,Full Squad Wins,Times Top 3,Season 9 Kills,Season 10 Wins,Season 10 Kills,Season 11 Wins,Season 11 Kills,Season 12 Kills,Season 13 Wins,Season 13 Kills,Season 14 Kills,Season 15 Wins,Season 15 Kills,Season 16 Wins,Season 17 Kills,Pistol Kills,Shotgun Kills,SMG Kills,Sniper Kills,Arena Kills,Winning Kills,AR Kills,LMG Kills,Care Package Kills,Season 12 Wins,Season 14 Wins,Arena Wins,Arena Damage,Kills As Kill Leader,Season 16 Kills,Season 19 Kills,Season 17 Wins,Season 19 Wins,Arena Winstreak,Season 18 Wins,Season 18 Kills,Peak Rank
10,"1,290","82,802","21,275,282","3,575","85,756",,562,217,"3,748",,"4,748",9,"5,627",0,"['Wraith', 'Ballistic', 'Octane']",xA1danx_TTV,"24,978",,,"9,901","1,527",,"4,047",0,0,,97,"2,155",,0,0,,104,"2,915",,,"16,919","10,074","27,777",651,"14,904","1,184.00","13,605",1,2,,,"3,485","5,598,214","15,260",,"1,849",,,,,,
11,"2,350","60,724","12,948,781","3,573","2,310","2,197",10,0,,,180,,"3,696",,"['Loba', 'Lifeline', 'Ash']",x-Katu,817,,,"4,722",,,,"1,850",,,,"1,425",,,,,,,,,"3,872",130,465,,173,,,,,,,8,"15,509",,,,,,,,,
12,"3,374","39,140","12,208,982","3,569","62,350","24,833",,,,547,"5,602",468,"5,361",143,"['Lifeline', 'Caustic']",theiiremiix,,,,,568,"2,193",,"2,019",,,,,,,,,,,,,,,,,950,,,,,,,,,,,,,,,,,
13,"2,673","57,412","13,354,248","3,565",,721,,,,,,,,,"['Pathfinder', 'Horizon', 'Wattson']",TRASHF1NDER,,,,,534,,4,,,,,,,,,181,232,363,289,,,,"5,586",,,,"8,459",,,,9,,,95,"2,853",,,,,,,
14,"2,280","69,076","20,175,559","3,555","76,847",869,329,,,119,"1,415",,,,"['Loba', 'Bloodhound', 'Pathfinder']",nL Simply,"13,155",2.99,801.50,"2,663",134,,"3,566",,26,321,,,,,,"4,007",90,"1,435",35,305,,,,277,,,,,,,278,,,,441,,16,,,,,
15,"1,311","63,268","19,709,588","3,555",,,216,,"3,554",,,41,542,,"['Wraith', 'Horizon', 'Valkyrie']",Stuhni,,,,"4,595",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4,027",,531,,37,43,,,
16,706,"48,793","11,116,773","3,551","50,644",59,,0,0,3,,2,,0,"['Bangalore', 'Octane', 'Pathfinder']",PiDanPiDanii,156,,,34,,,,,0,,,,,,,,,,,1,,,,,,"1,466.00",,,,,,,,"11,281",,,4,,,,,
17,"2,752","85,476","19,991,766","3,548","130,081","15,389",8,35,636,153,"3,038",,,56,"['Lifeline', 'Mirage', 'Ballistic']",OTM TpullinP,"33,632",1.85,,"3,924",,"3,105","6,865","2,489",121,,140,72,,,,"2,456",,"3,687",417,"12,074","5,848","3,537","19,582",,,"1,132.00","24,692",58,,,,,,"9,169","6,897","9,479","1,074",336,,397,"9,778",
18,933,"59,876","7,949,321","3,546","38,899","5,378",89,43,"2,504",213,"2,972",,,,"['Pathfinder', 'Bloodhound', 'Wraith']",TooSickAndNsane,659,,,"2,649",,,,,,,,,,,,,,,,,,237,,,,,181,,0,,,,,852,,,,,,,,
19,"3,038","72,769","9,867,853","3,543","81,992",,583,528,"4,490",595,"5,623",,,203,"['Pathfinder', 'Horizon', 'Bangalore']",Kopachy,"6,552",,,"6,051",680,"3,989",,"2,193",,,136,0,0,,0,,255,"3,231",,"1,891",,,,,2,210.00,,,,,,,,"8,377",,,141,,,,,
20,801,"52,284","15,158,634","3,542",,"4,019",20,256,"2,867",370,"3,633",0,,42,"['Bangalore', 'Wraith', 'Loba']",AbmMeech,,,,230,"1,525",,,567,,,16,229,,,,,,,,,,,11,124,,346.00,,,"7,214",,,,,,,,,,,,,
21,"2,301","87,327","19,583,949","3,541","121,651","6,953",77,160,"2,855",165,"1,535",295,"4,567",315,"['Bangalore', 'Horizon', 'Wraith']",Kixcey,,,,,464,"1,683","2,748","2,803",189,"4,451",247,"5,183","4,107",176,"3,740","4,186",519,"6,367",239,"3,726","1,473","1,502","4,135",357,651,"1,071.00","15,073",681,"5,089",9,,118,"288,576","4,121","3,974",126,74,6,,48,"1,485",
22,"2,753","43,147","10,304,057","3,541",,,369,398,"2,698",,,,,172,"['Caustic', 'Octane', 'Revenant']",xastrox23,380,,,254,194,,,"1,656",,,439,"3,530",,1,,,632,"4,304",,,,,,19,,,,,104,,,,,,,,,,,,,
23,"1,257","46,622","6,061,320","3,537",,219,,,,,848,113,"1,834",324,"['Wraith', 'Lifeline', 'Horizon']",lowkeyvibe,30,,,,36,66,,"3,885",,,,,,2,,,244,"2,747",,,,,,,,,,,,,,,,,,,,,,,,
24,"1,566","49,971","12,385,844","3,530","34,757",,515,,,,"6,350",,,,"['Bangalore', 'Wraith', 'Lifeline']",ERIKSONTHEGOD_,,,,,,,,,,,,,,,,,,,,,,5,"13,179",,,0.00,,,,,,,,35,,,,,,,,
25,"3,124","58,086","15,489,983","3,529",,,,,,40,643,,,232,"['Loba', 'Bloodhound', 'Valkyrie']",AstroMike--,,,,,,,,"1,769",,,,,,,,,,,,"1,857",,,,,26,53.00,,,,,,,,,,"4,140",,12,,,,
26,"1,398","68,855","17,582,356","3,523",,,120,38,"1,090",189,"3,173",201,"2,621",132,"['Bangalore', 'Pathfinder', 'Lifeline']",guiiing,"1,089",,,"2,325",519,"2,507",,"2,558",90,"2,063",2,59,15,,,,,"1,262",42,654,,,"19,641",,761,"1,551.00","23,211",,"2,917",2,15,,,"11,552",706,553,,4,,39,689,
27,"1,931","131,053","32,177,369","3,517","103,881",,,,,,,,,,"['Lifeline', 'Wraith', 'Pathfinder']",TermK47,,,,,,472,,,,,,,,,,,,,,,,,,,,173.00,,,,,,,,"50,086",,,,,,,,"5,584"
28,"2,680","85,281","5,128,754","3,517","58,795",,199,220,733,,,35,,,"['Lifeline', 'Wraith', 'Pathfinder']",triiiagus,"14,477",,,"2,695",842,,,,,,,,,,,,,,,,,,"14,496",,,61.00,,,,,,,,"15,807",,,,,,,,
29,"1,341","47,941","12,476,216","3,513","55,934","5,262",,,,,,165,"3,004",278,"['Octane', 'Lifeline', 'Wraith']",skillfullybroke,119,,,,127,"2,184",,"3,189",,,106,"1,575","1,753",396,"4,360","3,339",190,"1,890",,"2,849",,,,17,57,9.00,98,10,2,121,350,19,,1,,"1,541",276,101,26,147,"1,581",
30,"1,463","52,617","11,086,688","3,513","4,364",,243,,,,,,,0,"['Pathfinder', 'Loba', 'Octane']",WERKz OG,,,,"2,767",,,151,0,,"3,276",,,,,,,500,50,,,,,13,,,,,,,,,,,,,,,,,,,
31,"2,975","45,680","9,862,544","3,512","1,289",,207,95,991,101,"1,085",87,966,93,"['Pathfinder', 'Octane', 'Wraith']",Apex omniman,,,,"1,542",238,"1,819",,734,133,"1,182",32,385,136,36,,,,,,179,,,,,249,1.00,,,,,,63,"52,544",225,,188,20,20,,,,
32,904,"74,392","18,165,140","3,508","71,903","6,023",0,510,"8,358",1,,65,"1,296",172,"['Bloodhound', 'Pathfinder', 'Wraith']",Dingeldorf_,"9,472",,,"4,493",1,"2,294",,"2,906",0,22,92,"1,828",0,52,"1,026",,,,,,"4,189","5,083","12,694",,"2,228",791.00,"7,323",901,"2,432",0,,455,"969,063","8,806",82,,,,,,,
33,"2,178","55,831","15,795,728","3,506","41,101","1,473",280,101,,311,,352,"3,868",246,"['Pathfinder', 'Bloodhound', 'Valkyrie']",iPRODIGY 84,,,,"4,773",932,,27,,31,342,98,971,,,,"3,163",,,45,,,,"3,639",,,,,,,1,226,,,"4,248",514,,,,,,,
34,"2,648","42,710","13,724,368","3,506","81,554","1,940",,,,,,,,,"['Loba', 'Horizon', 'Pathfinder']",NBN Chaotic,"6,074",,,,,"1,302","5,768",,18,217,,10,25,632,"7,363","3,392",481,"4,466",602,"1,281",731,"1,596","3,419",204,532,272.00,"9,740","1,077",,204,334,99,"209,127","1,902","4,555","4,742",120,232,12,108,"1,420",
35,"3,194","77,580",,"3,502","11,872","4,302",620,47,,42,508,,,,"['Pathfinder', 'Lifeline', 'Loba']",Xcute Slays,871,,,"3,628",217,,"2,411",,,136,,,,,,,339,"3,282",,,,,"14,246",,97,0.00,"1,500",121,0,,1,,,"4,837",,,,,,,,
36,"2,662","95,945","24,205,738","3,490","96,624","4,885",1,10,0,0,,,,,"['Horizon', 'Wraith', 'Caustic']",vahvy,"6,343",,,,882,"3,370",,,13,389,175,126,"9,260",,,"13,284",,,0,"14,000","1,765","4,055","24,690",679,,1.00,"10,454",569,"1,490",724,"1,001",,"86,167","22,628",,"5,242",915,,,,"2,941",
37,"2,207","72,278","11,840,618","3,481",724,367,,,,257,"5,665",483,"7,183",,"['Rampart', 'Pathfinder', 'Crypto']",DomIlusion,"3,504",,,,,,,"4,816",32,566,,,"2,729",,,,,,,,,,"5,877",,"1,514",,13,,,146,,,,563,,,,,,,,
38,"1,777","45,988","12,350,762","3,477","63,904","11,774",296,,,,,269,"3,221",124,"['Lifeline', 'Wraith', 'Bangalore']",i got noregs,,,,12,"1,647",,,"1,012",255,,,,,"1,075","6,349",,,,,,,"1,378",11,346,695,5.00,"3,430",,,,,156,,"5,767",,,,,,,,
39,"2,436","30,471","11,385,389","3,476",,,323,353,"2,327",356,,388,29,123,"['Pathfinder', 'Lifeline', 'Caustic']",Pumas4290,46,,,,,,,,311,,148,,,139,,,,,,,,,,,,,,,,65,,,,,,,,,,,,
40,"3,295","54,176","14,954,305","3,473","36,431","9,097",82,9,"2,963",196,"3,992",7,"4,708",1,"['Wattson', 'Lifeline', 'Wraith']",KunoichiBearTV,,,,"2,480","1,739",386,,"4,332",11,"3,370",6,126,,27,,,1,6,0,"1,634",,,,,,,,,26,0,1,,,,"3,092","5,168",5,8,,129,"4,592",
