,Level,Kills,Damage,Wins,Season 5 Wins,Season 5 Kills,Top 3 Legends,name,Season 6 Wins,Season 6 Kills,Season 7 Wins,Season 7 Kills,Season 9 Wins,Season 9 Kills,Season 11 Wins,Season 11 Kills,Season 12 Wins,Season 12 Kills,Season 19 Wins,Winning Kills,Kills As Kill Leader,Headshots,Matches Played,Finishers,Revives,Full Squad Wins,Times Top 3,Shotgun Kills,LMG Kills,Sniper Kills,Care Package Kills,Season 8 Wins,Season 8 Kills,Season 10 Wins,Season 10 Kills,Season 13 Wins,Season 14 Wins,Season 15 Wins,Season 15 Kills,Season 16 Wins,Season 16 Kills,Season 17 Wins,Arena Kills,Arena Wins,Arena Damage,Neutral Airdrops Looted,Pistol Kills,Season 17 Kills,Arena Winstreak,SMG Kills,AR Kills,Kills Per Match,Season 14 Kills,Season 18 Wins,Season 18 Kills,Season 19 Kills,Season 13 Kills,Damage Per Match,Peak Rank
10,"2,236","69,599","14,697,286","4,765",0,,"['Lifeline', 'Pathfinder', 'Wraith']",fwehz,11,,,,,,1,,,,,487.00,"2,844","47,366","15,630",21,"5,625","4,046",,,,98,1,,,,,,,,40,,,,,,,,1,,,"16,112","16,763",,,,,,,,
11,"4,741","109,431","24,605,568","4,758","1,515","14,639","['Pathfinder', 'Horizon', 'Bangalore']",Hoplons,373,,1,10,107,"3,552",,"1,126",,"2,443",,,"1,416",972,"8,509",0,"4,190",,201,"12,844",,0,,75,"1,025",254,"3,130",10,145,255,"1,981",236,"1,181",156,,1,,,,51,26,"2,104",,,214,,,,100,,
12,"1,563","59,413","14,355,450","4,757",,,"['Pathfinder', 'Wraith', 'Lifeline']",Applzs,,,,,,,,,,,,"2,071.00",,21,,,,"3,397","5,704",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,"3,444","84,658","17,558,754","4,757",901,"5,644","['Pathfinder', 'Wraith', 'Horizon']",nurvoz,,,91,"5,152",905,"9,543",60,20,,,,614.00,"10,394","43,439","2,288",536,,662,454,4,"2,004",283,,270,"5,565",337,"3,921",,,,,,,,,,,,,,,"1,985",,,,,,,,,
14,"3,394","70,024","20,339,631","4,753",538,"6,975","['Pathfinder', 'Mirage', 'Bloodhound']",Loki_Beamin,522,"4,846",90,"1,203",177,"2,517",368,"4,154",211,"2,279",,3.00,,"15,542","22,625",,,125,"6,765",,,,,,,239,"3,475",212,263,124,"1,905",211,"2,272",,222,49,"102,648",,,,12,,,1.67,"3,343",,,,"2,776",,
15,"2,186","92,193","23,913,550","4,747",,,"['Pathfinder', 'Valkyrie', 'Lifeline']",Atomix2112,2,,,,,,,,,,,,139,,,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,"4,065","188,103","27,931,368","4,741",830,"11,558","['Vantage', 'Loba', 'Wraith']",Tollis,168,"2,460",386,"7,503",542,"7,541",248,"3,861",,2,227,"2,725.00","61,512","83,750","11,588",273,219,,,"1,569",,484,,71,0,,,114,535,,"11,468",596,"12,500",996,0,0,0,,,"16,452",,"17,827","52,954",2.86,"11,126",,,"5,185",,"1,720.66",
17,"2,197","44,973","9,084,607","4,723",287,,"['Caustic', 'Bangalore', 'Wraith']",Snowmas15,,,234,"2,140",85,,3,0,295,"2,090",,"1,012.00","3,681",,"12,175",813,,"1,859",,,69,,"3,052",,872,,,162,316,161,"1,033",,,,14,2,,,,,,,,,"2,046",,,,"1,099",,
18,"3,464","57,151","16,551,668","4,720",6,"2,657","['Gibraltar', 'Loba', 'Valkyrie']",exo throttie,422,,0,,,,0,,,,,1.00,"2,110","58,033",,672,"9,080","3,222",,"3,628",,,,0,,6,0,,,,,,,,,,,,,,,164,,,,,,,,,
19,"1,965","40,675","9,690,522","4,713",785,"1,669","['Crypto', 'Octane', 'Seer']",zenandjuice,,,69,,280,956,,,,,,,,,,,12,,,,,70,8,7,"4,895",10,70,,,,,,,,,,,,,,230,,,,,,,,,,
20,"3,091","62,585","18,175,184","4,703",228,"2,276","['Gibraltar', 'Pathfinder', 'Lifeline']",CV_GibbySitOnYou,262,"3,050",512,,392,,242,"1,018",212,"1,912",137,"1,001.00","2,398","80,502","21,466","2,313","11,086","3,203","6,073",,"3,094",,"4,712",309,"2,093",344,,428,76,,"3,930",202,"3,615",24,"1,081",644,"379,531",,,,,"9,720","10,698",,,234,"1,391","2,335","5,591",,
21,"2,548","81,039","20,321,886","4,702",,,"['Bangalore', 'Lifeline', 'Octane']",GageGotGame,479,"6,179",,,613,"6,930",21,277,185,"2,011",57,,,,,,,,,,,,,,,,,56,147,83,993,,,,,,,,"2,744",,,,,,,,,"1,083",666,,
22,"3,501","70,273","13,342,941","4,695",510,,"['Lifeline', 'Valkyrie', 'Loba']",TTV Webbita,95,252,122,,0,,197,,,,,,,"88,763",,,"17,534",3,"1,541",,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,
23,"2,801","61,461","16,708,063","4,674",432,"5,869","['Bangalore', 'Newcastle', 'Octane']",xjonezymezz,,,526,"5,426",,,,,,,,,,"47,132",,,,,,,,,"3,880",,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,"2,734","54,894","14,492,720","4,667",140,,"['Pathfinder', 'Gibraltar', 'Bloodhound']",TB AndyHaak,,,149,"1,295",,,,,,,,,,304,,37,,,48,,,,"1,715",,251,,,,,,,,,,,,,,,,,,,,,,,,,,
25,"3,299","77,245","9,172,709","4,805",284,12,"['Wraith', 'Octane', 'Pathfinder']",Tokenergy,420,"2,427",93,728,195,"5,555",111,,27,,,"1,422.00","3,020","111,749","2,047","4,836","9,456","1,979",,,,,"4,959",256,"2,518",205,"3,204",,,,,,,,,,,,,,,,"5,221",,,,,,,,
26,"3,062","71,404","18,338,237","4,659",304,841,"['Wraith', 'Bangalore', 'Octane']",ItzDiablos,199,"2,550",379,"4,693",0,0,364,"4,657",,"4,936",,,"3,418","57,719","4,884",,,"1,036",,,,,,84,998,,,11,,71,"1,751",157,"3,021",32,,,,,,756,,"9,570","6,738",,"2,183",,,,155,,
27,"4,215","108,086","27,683,891","4,650",263,59,"['Octane', 'Wraith', 'Gibraltar']",InstinctHits,51,961,,,203,106,822,210,,,,,"23,217",,,,,,,,,,,446,"10,785",608,115,,,,,,,,"1,270",271,"375,272",,,,,,,,,,,,,,
28,"3,641","132,241","31,970,829","4,643",,,"['Wraith', 'Pathfinder', 'Lifeline']",CaIamiti,,,451,"11,540",,,,,,,,,"34,036",,,,,,,,,,,2,39,,,,,,,,,,,,,,,,,,,,,,,,,,
29,"4,403","71,601","3,486,512","4,642",178,"1,583","['Bloodhound', 'Octane', 'Bangalore']",Lakevionttv,259,"4,567",156,"4,603",808,1,"1,179",157,0,"2,570",,,"1,254","76,787",,,,,,,,,,645,"1,666",474,"6,406",,,,,,,,,,,,,,,"19,498","19,765",,,,,,,,
30,"2,396","54,940","10,286,918","4,636",,,"['Lifeline', 'Caustic', 'Bloodhound']",THEEL006,115,,409,"4,141",706,,633,,,,,,,,,"11,016","14,001",30,,,,820,,,,130,,151,,,,,,,,,,,,,104,,,,"4,321",,,,,,
31,"1,552","52,694","15,154,856","4,629",112,"1,089","['Bloodhound', 'Pathfinder', 'Caustic']",Kozcuro,,,,,,,511,"4,677",,,,,"2,822","50,866",,,,"1,901",,,,727,,135,,,,225,,106,936,435,"3,480",,,,,,,,,,"1,821",,,,,"1,892","1,984",,
32,"2,931","70,801","56,238","4,616","1,052",,"['Octane', 'Pathfinder', 'Valkyrie']",ChoppasOut--,,,,,342,,,,,,,,,"72,275",,0,67,752,"6,566",,,,,563,"6,066",,,,,,,,,,,,,,264,,,"13,914","14,614",,,,,,,,
33,"2,443","84,393","20,957,492","4,603",151,"2,133","['Lifeline', 'Ash', 'Revenant']",blamboozleTV,259,"3,398",299,"3,179",228,"3,355",76,"2,000",351,"3,219",172,,,"77,295",,"1,348","16,525",316,,,,,,296,"4,432",188,"2,076",42,89,455,"4,841",436,"5,562",197,486,113,"190,629",,"1,246","3,643",,"12,796","15,493",,"1,836",63,"3,155","6,584",462,,
34,"3,675","66,756","15,432,784","4,598",261,"2,673","['Bangalore', 'Gibraltar', 'Pathfinder']",Smerk A Berl,633,"6,455",420,,673,"3,728",2,,,,,"1,250.00",208,"74,661","11,751","11,340","7,576","4,191","7,203",,,605,"7,924",0,,211,786,,0,,,,,412,"1,454",444,,,"1,831",,,"16,004","14,701",,,,,,,,
35,"2,504","60,910","17,323,534","4,598",,,"['Lifeline', 'Pathfinder', 'Bloodhound']",OGPreSsure,,,,,,,,,,,,"1,215.00",1,"21,758","8,219",,"20,705","1,401",,"13,993",,,29,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
36,"2,088","84,567","18,696,212","4,592",,,"['Pathfinder', 'Horizon', 'Seer']",LoudDankPower,32,875,22,"2,285",,,,,,,,,,"24,036","9,924",,,76,"3,744",,,,,54,,,,32,359,655,"6,293",223,"1,981",178,,,,,,"1,533",,,,,"3,991",,,,337,,
37,"2,067","88,228","19,672,614","4,591",,,"['Wraith', 'Pathfinder', 'Lifeline']",Predtrail,,,,,,,,,,,,7.00,"25,215",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,"3,409","52,708","14,901,945","4,587",,,"['Bloodhound', 'Crypto', 'Bangalore']",Phillyboi95,264,,460,"5,529",848,"7,094",,,,,,,,"60,833",,502,,"3,450",,,,40,"1,122",690,"7,048",340,"5,772",,,,,,,,,,,,,,,"15,237","17,452",,,,,,,,
39,"3,204","75,604","19,977,728","4,581",386,"6,786","['Bloodhound', 'Revenant', 'Pathfinder']",DesolationFPSTV,683,"8,549",847,"6,531",,,,,194,"2,839",,,,,,,,18,,,,,,137,"1,585",,,,,,,,,,,,,,,,,,,,,,,,,,
40,"2,279","53,408","15,585,704","4,580",259,"2,854","['Lifeline', 'Bangalore', 'Octane']",xRYAN1394x,97,"1,443",6,106,321,"2,450",212,"1,847",189,"1,551",121,,518,"65,001",,,187,236,643,,,35,,,,59,549,284,136,504,"2,974",347,"1,847",1,,,,,,860,,138,,,"1,107",,,"1,580","2,048",,
41,"3,191","72,799","19,723,755","4,580",660,"11,251","['Wraith', 'Horizon', 'Bangalore']",MrDudzyyTTV,0,0,,,588,,,,,,,,,"9,012","4,910",,"5,313","2,187","4,391","7,617","3,060",,,121,,,,,,,,,,,,,,,"6,341",,,"11,500","12,354",,,,,,,,
42,"3,247","73,789","2,180,046","4,700",384,,"['Octane', 'Wraith', 'Pathfinder']",IconicOnTwitch,657,"7,449",534,"6,278",326,"3,780",,,,,,,"6,765","53,620",59,,,"3,896",,,11,,,735,"8,626",,,,,,,,,,291,75,,,,,,,,,,,,,,,
43,"1,848","68,257","18,726,548","4,542",177,"2,656","['Horizon', 'Wraith', 'Lifeline']",xUltra_Gaming,186,414,310,,215,,,,,,,,,,236,,,,,233,,,,403,,,,,,,,,,,,,,,,,,,,3.02,,,,,,873.46,
44,"3,040","26,478","15,297,466","4,534",681,78,"['Bangalore', 'Wraith', 'Pathfinder']",dannymontaie,268,"3,242",76,"10,646",,"3,444",,"2,877",,,,,"6,232","33,774",,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
45,"2,103","87,540","25,748,490","4,543",,,"['Pathfinder', 'Horizon', 'Valkyrie']",Jaackkl,,,,,,,29,,,"2,877",,,,,"1,607",3,,44,393,,,,,,,,,,,,,,"12,562",,,,,,,,,,,,,,,,,,
46,"2,818","83,298","24,819,967","4,532",,,"['Octane', 'Horizon', 'Bangalore']",ImMaggz,,,12,,,,431,,432,,,,,"12,847",,,,,,,,,,0,0,354,,442,433,30,0,53,193,,,,,,,,,,,,"7,146",,,,"5,936",,
47,"3,724","67,056","18,149,605","4,529",122,722,"['Wattson', 'Wraith', 'Pathfinder']",amedactyl,18,93,67,,586,"4,829",410,"3,363",396,"2,333",98,,,"55,187",,"1,877","8,014",,,,,,"1,873",1,,381,"2,963",,,,,295,"2,763",2,,,,"2,743",,25,,,,,,17,250,"1,257",,,
48,"2,138","91,156","21,552,717","4,494",1,53,"['Seer', 'Pathfinder', 'Bangalore']",Absurdists | Twitch,,,142,,5,83,414,,533,,1,,,"2,024","6,222",2,"3,714","2,159","2,965",,"1,091",310,,,,848,"3,857",,,2,17,6,74,,725,3,,,"1,218",,,,603,,,,,22,,,
49,"3,401","90,916","26,762,969","4,497",702,"12,701","['Octane', 'Bloodhound', 'Gibraltar']",The_Carnot_Cycle,430,"8,044",524,"9,826",,"4,835",,,,,,"1,998.00","16,360","72,285",,,,"2,405",,,,,"6,917",432,"7,156",,,,,,,,,,,,,,,,,,,,,,,,,,
50,"2,584","77,652","14,357,437","4,903",,"10,145","['Bangalore', 'Gibraltar', 'Wraith']",DoovooPvP,,,,,,,,,,,,,"25,117","43,659",0,,,"2,715",,,,230,,82,"1,640",,,,,,,,,,,,,,16,,,33,51,0.00,,,,,,,
51,750,"66,660","18,474,762","4,484",294,"3,530","['Pathfinder', 'Caustic', 'Wattson']",Seven AImighty,6,6,649,70,168,"1,005",57,710,,3,,480.00,"3,473","53,968","10,280",419,"3,262","1,246","2,728","4,829",,667,"4,667",100,"1,019",378,"5,284",0,,,,,,,,,,,132,,,"6,162","9,167",,,,,,,,
52,"2,460","60,453","15,556,451","4,465",704,"3,553","['Bangalore', 'Octane', 'Wraith']",otnie,871,"6,440",316,"2,406",,,,,,,,,,,"7,000",,,"1,068",,,,,,,,,,,,,,,,,,,,,,,19,,,,,,,,,,
53,"4,072","197,982","42,186,751","4,459",262,"6,215","['Horizon', 'Pathfinder', 'Bangalore']",MoonPakuYT,231,"5,178",185,"3,331",163,"4,082","1,060","22,222",,"3,365",,24.00,"59,467","228,812","39,304","2,264","3,600",962,74,"24,078",,"1,000",,52,"2,409",185,"4,299",11,,0,"13,195",668,"40,000",,152,,"44,998",,"5,940",,39,"51,118","43,213",,368,,"4,246",,433,,
54,"2,162","36,647","585,190","4,449",56,"1,179","['Lifeline', 'Loba', 'Octane']",lIl Kaos lIl,344,"1,690",624,,635,"3,167",,,,,,,,,154,374,"10,553","3,815",,,,145,,386,"3,037",,,,,,,,,,,,,,,,,,,,,,,,,,
55,"2,047","77,057","12,575,173","4,442",4,"1,408","['Vantage', 'Lifeline', 'Bangalore']",ilhhx,,718,,,,,156,"3,062",68,,148,,"14,636","30,257","11,279","1,004","6,612",,"3,339",,,320,846,,,,,570,402,743,"12,000",515,"8,000",755,320,68,"114,298",,,"12,100",,"14,885","17,550",1.00,100,158,"3,649","3,414","11,569",,
56,"2,940","53,639","15,049,981","4,431",111,,"['Bangalore', 'Valkyrie', 'Lifeline']",Not_yourBangalor,,,,,,,699,"9,183",10,74,,,,"24,863","23,272",,,,"4,160",,,,,,,,,,5,,,,,,,,,,,,,,,,"5,667",,,,,,
57,"2,236","64,115","17,297,985","4,429",240,"4,544","['Bangalore', 'Loba', 'Lifeline']",cieopatraa,30,"5,446",388,"8,678",,"2,346",,,,,,,,"34,294",,69,"4,451",,,,,,,32,"2,834",,502,617,,299,"2,125",391,"3,000",,937,3,,,,,,"26,220",,,"2,294",,,,80,,
58,"3,348","83,891","669,430","4,427",1,,"['Wattson', 'Pathfinder', 'Lifeline']",RatedMforManly,104,,,,134,,57,,59,601,,,93,13,"17,115",,"1,217",30,59,,,95,,,,,,,110,73,701,,,,,,,,122,,,42,,4.46,,,,,,,
59,"1,353","67,248","16,283,163","4,420",,,"['Lifeline', 'Pathfinder', 'Wraith']",dlwatson24,,4,,,,65,,"1,219",,,,"1,736.00","13,047","57,589","10,745",,,"2,688",,"5,347",,,"7,973",2,673,29,426,,74,,,,,,,174,,,"6,595",,,"16,901","11,239",,,,,,,,
60,"3,422","71,129","4,835,853","4,409",334,"2,964","['Wraith', 'Pathfinder', 'Horizon']",PNX_ObsidionTV,,,118,"3,642",,,,,,,,553.00,"1,035",,,314,"1,776","1,234",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,"2,953","66,409","17,315,862","4,407",1,"3,147","['Horizon', 'Pathfinder', 'Bloodhound']",AustinHereTV-,236,"3,468",187,"3,001",361,"4,579",363,"4,917",265,"3,040",,,,"86,052","6,674",5,"1,985",,"2,417",,,,,218,"3,278",462,"5,164",348,4,505,"6,249",241,"2,694",,42,12,"15,952",,,,,,"19,077",,30,,,,"5,146",,
62,"2,441","96,228","21,153,839","4,392",,,"['Horizon', 'Wraith', 'Vantage']",YT-IACEBOOGIE117,,,,,,,,,,,,,,"38,611",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"12,686",,,,,,
63,"3,080","74,838","20,726,452","4,387",231,"3,889","['Lifeline', 'Octane', 'Seer']",CICWO12,245,"4,101",475,"6,647",269,"3,813",,,1,,,,,"24,852","1,821",74,"9,162","1,703",,,,"1,204",,215,"3,237",,,,,,,,,,,,,,,,,"5,129","5,139",3.68,,,,,,,
64,"1,979","82,515","16,743,021","4,386",67,"1,056","['Pathfinder', 'Octane', 'Lifeline']",Ascend Waldo,,,108,"2,058",64,998,277,"1,117",,,,,"1,606",,,3,"2,492",,,,,,,59,"1,067",316,"4,669",,,,,,,,,,,,"1,141",,,,,,,68,826,,,,
65,"1,716","67,992","18,345,620","4,383",,,"['Wraith', 'Valkyrie', 'Loba']",xMagzXO,85,949,76,67,206,"2,078",77,"1,118",240,"3,013",65,,263,"66,094",,,,,2,,,,,,,207,,86,13,86,"1,157",,,39,615,126,"237,260",,,460,,"5,677",,,171,,,"3,112","1,037",,
66,"2,120","66,188","14,943,604","4,373",583,,"['Octane', 'Pathfinder', 'Wraith']",xShotzFired_TTV,,,,,,,,,,,,,,"65,970",2,"3,413",,"3,094",,,,,,,,,,,,,,,,,,,,,,,,"19,708","20,578",,,,,,,,
67,"2,829","93,965","17,594,929","4,364",429,"6,956","['Wraith', 'Wattson', 'Loba']",Undervann,63,"1,488",130,"1,450",253,,,946,,,,,"2,294","3,329",,"1,420",,6,,705,,,2,76,"2,342",,32,,,,,,,,,,,,,,105,8,"3,306",,,,,,,,
68,"6,265","139,139","39,676,497","4,361",186,"2,420","['Wraith', 'Pathfinder', 'Horizon']",SGSolos,833,"13,557",956,"11,529",22,"2,197",846,"8,189",,,,5.00,15,"202,681","2,174",187,985,"3,166","3,425","4,106",121,,,,,,,,,,,,,,,,,,23,,,"34,683","43,664",,,,,,,,
69,"2,372","49,902","14,928,726","4,357",,"3,549","['Mirage', 'Bangalore', 'Bloodhound']",Jaws Gaming,,,663,"5,337",,,,,,,,,,"65,324","11,505",600,"4,886",,,,,,,706,"5,023",,,,,,,,,,,,,,,,,,"19,779",,,,,,,,
70,"2,562","56,222","14,482,855","4,352",661,"7,677","['Bloodhound', 'Wraith', 'Pathfinder']",quepossible,411,46,2,,,,,,,,,"1,578.00","5,678","51,236","11,076","1,396","4,249","1,884","4,656",36,"1,696",,"1,440",133,"1,406",,,,,,,,,,,,,,"2,101",,,"10,133","14,519",,,,,,,,
71,"2,446","105,253","19,808,385","4,351",29,758,"['Wraith', 'Bangalore', 'Wattson']",Sizzifide,38,"1,116",107,"2,961",172,"3,037",1,515,166,"2,561",,11.00,"3,820","84,331",,33,"2,936","1,390","2,542",,,,,26,"1,031",122,"2,303",,,,"1,696",0,633,,0,0,0,,1,,,"10,386","23,546",,,,,,,,
72,"3,723","71,931","4,121,082","4,349",47,"17,434","['Pathfinder', 'Wraith', 'Octane']",Th3 Cogfather,548,"7,799",260,"3,501",,,,,,,,"1,339.00","9,088","52,805","3,227",806,"4,853","3,542","4,827",,"2,342","1,543","5,627",38,630,,,,,,,,,,,,,,,,,"10,337","23,546",,,,,,,,
73,"3,853","84,111","22,493,393","4,341",6,"9,569","['Wattson', 'Wraith', 'Bloodhound']",Titanova-,619,"10,563",625,"11,778",,"8,208",,,79,"1,439",,,"12,216","99,345","29,861","1,049",,,10,"10,002",,,,203,"3,950",0,0,67,190,,,,,,,,,,,,,"21,593","28,719",,"4,251",,,,918,,
74,"1,732","40,316","10,999,684","4,316",6,677,"['Bloodhound', 'Wraith', 'Wattson']",Dadtality,,,,,,,,,,,,,266,"52,033","2,552",3,,480,,,,23,0,,,,,,,,,,,,,,,,,,,,,3.44,,,,,,,
75,"3,614","111,449","31,512,336","4,304",442,"4,610","['Wraith', 'Pathfinder', 'Octane']",niftyAims,,,281,"7,152",,,,,,,,89.00,"2,485","64,075","1,345",775,130,,,,,,32,,,,,,,3,111,,32,,,,,,,,,,,,,,,,,,
76,"3,152","87,076","20,025,225","4,298",,640,"['Fuse', 'Octane', 'Valkyrie']",iiiTzRed,1,,20,"3,543",301,"4,596",227,"3,614",732,100,,"1,591.00","8,235","95,651",300,"1,499",,"1,950",,,,255,37,30,607,,,504,190,574,"8,164",744,"10,000",247,728,175,"5,746",,,"3,564",,"26,758","10,088",,"5,181",,,,"7,755",,
77,"3,416","116,716","28,937,290","4,294",33,866,"['Pathfinder', 'Wraith', 'Loba']",DeathCall_FPSttv,66,,187,"6,400",379,1,,,,,,3.00,122,541,"7,694",,,4,50,,0,,"3,826",41,"1,030",,,,,,,,,,,,,,,97,,,,,,,,,,,
78,"1,946","76,545","20,658,461","4,281",,,"['Ash', 'Bloodhound', 'Bangalore']",Moneyfadez_TTV,,,10,559,251,"4,988",,"5,071",149,"2,218",,,687,"37,640",,,,,,,279,,,24,"1,432",207,"3,903",518,22,,391,594,"9,600",,,,,,,,11,,,,423,20,361,,"8,014",,
