,Level,Kills,Damage,Matches Played,Kills As Kill Leader,Headshots,Finishers,Full Squad Wins,Times Top 3,Shotgun Kills,SMG Kills,AR Kills,Season 5 Wins,Season 5 Kills,Season 6 Wins,Season 6 Kills,Season 7 Kills,Season 8 Wins,Season 8 Kills,Season 9 Wins,Season 10 Wins,Season 11 Wins,Season 11 Kills,Season 14 Wins,Season 15 Wins,Season 15 Kills,Season 16 Wins,Season 16 Kills,Season 17 Wins,Season 17 Kills,Arena Kills,Wins,Top 3 Legends,name,Season 19 Wins,Season 19 Kills,Winning Kills,Revives,Pistol Kills,LMG Kills,Sniper Kills,Care Package Kills,Season 7 Wins,Season 9 Kills,Season 10 Kills,Season 12 Wins,Season 12 Kills,Season 13 Wins,Season 13 Kills,Season 14 Kills,Arena Wins,Arena Damage,Season 18 Wins,Season 18 Kills,Kills Per Match
29,"3,150","166,053","37,363,266","21,104","51,184","166,838","4,569","1,864","2,431","10,386","56,863","43,087",358,"3,151",165,"2,873",6,,,188,97,15,274,,"1,129","22,422","1,017","25,000",777,"15,000","2,622","9,344","['Wraith', 'Octane', 'Pathfinder']",aces kunai,,,309.00,"11,655","7,883",,445,"4,534",20,"1,891","1,436",591,110,527,"12,010",,468,"311,878",1,22,0.00
30,"5,315","159,042","39,738,512","26,071","30,589","173,341",30,"7,407","8,966",,"34,193","55,156",811,"12,002",710,"9,591","11,898",10,"17,662",1,774,35,1,267,44,"1,171",,,25,,348,"9,196","['Octane', 'Bangalore', 'Gibraltar']",Dabs_are_better,,"6,043","3,863.00","15,623","1,995","8,963","1,297","19,090",335,"6,941","13,427",91,"1,339",,,"5,340",75,"123,089",,"6,051",
31,"3,131","140,885","29,927,057",90,"32,067","155,660",,14,,,"58,097",,134,"4,652",10,"6,355","3,280",2,"5,322",5,346,,"5,199",670,857,"10,671",951,"12,163",810,"10,617",,"9,038","['Wraith', 'Octane', 'Lifeline']",xl SleepyBoi,"1,023","21,384",,,,,"1,195",,350,"5,543","6,306",,"8,767",42,,"10,173",,,544,"7,003",2.98
32,"3,178","114,621","29,359,664",,"4,155","145,109",916,,,,,"32,124",,,,,12,,,0,1,907,"11,350",0,767,"9,350","1,074","11,993","1,114","12,391",,"8,987","['Horizon', 'Bloodhound', 'Octane']",TanjirosFlame,,"4,824",,"9,494",,,,,0,,,834,100,784,100,,,,,,
33,"4,672","112,996","21,635,207",,"42,570","99,914","1,567",,,,"34,682","37,182",10,"9,343",,,"9,365",750,"2,828",153,,,,,"1,302","20,000",434,"10,000",460,"20,000",406,"8,710","['Horizon', 'Pathfinder', 'Lifeline']",cziggyy,,,,,,,426,,786,"2,129",,,,,,"11,000",77,,,,
34,"2,849","101,391","23,065,213","27,642","6,180","104,464","3,146","1,962","2,195",,,,450,"6,175",181,"2,115",,406,"4,681",,686,"1,485","11,874",,"1,085","10,177",972,"8,632",610,"5,575",,"8,575","['Lifeline', 'Mirage', 'Bangalore']",Rican54,496,"8,817",,"26,747",,,,,,,"8,005",285,"2,825",327,"3,294",,,,158,"1,748",
35,"4,578","106,543","28,323,309","18,324",,"145,519","1,146","3,304","11,006",10,"38,584","25,325",374,931,646,"5,760","5,533",,,"1,178",,969,"10,454",,281,"3,391",,,,,0,"8,314","['Bangalore', 'Bloodhound', 'Wraith']",Lavadius,,,4.00,,1,,2,,"1,052","5,092",,,,,,,0,0,,,
36,"4,619","106,758","27,685,874",,"15,506","153,590","4,537","7,015","7,580",,"20,124","15,634","1,050",,687,,,754,,,,,,,,,,,,,,"8,223","['Pathfinder', 'Octane', 'Bloodhound']",vandysteen,,,"3,006.00","10,810","17,479",,"1,001","2,573",685,,,,,,,,106,,,,
37,"3,305","151,210","42,370,657","6,301","3,824","145,983","3,395",,29,"3,138",45,"10,004",139,"1,923",222,"6,699","6,804",1,"6,916",51,237,2,49,839,10,"3,373",,"12,051",,"7,007",,"8,133","['Rampart', 'Pathfinder', 'Wraith']",oopsxxxxxxsorry,,"9,997",1.00,"18,088","2,017","6,039",849,"1,615",40,"7,597","8,694",634,"1,359",720,"11,506","10,487",,,,,
38,916,"117,450","24,114,750","20,698","22,296","120,992",3,"4,834",,2,"18,420",,228,"3,387",140,"1,935","4,770",456,"4,775",662,164,98,"1,330",,,,,,,,"3,666","8,032","['Pathfinder', 'Horizon', 'Wraith']",Natrdays,,,"1,378.00",27,"7,519",,,"17,068",401,"6,527","1,642",153,"2,690",450,"4,031",,879,"762,860",,,
39,"6,009","117,952","29,956,675",,,"131,508","4,405",55,"9,937",,"24,862","44,112",150,45,250,"6,666",100,"1,111","10,555",911,"1,141",788,100,,,,,,"1,000","10,000",13,"7,999","['Wraith', 'Loba', 'Lifeline']",Queennicctv,,,"1,972.00","12,448",,"10,856",,"10,081",757,"9,455","9,987",544,"6,655",531,90,"4,996",,,,,
40,"5,072","159,606","37,073,251","18,615","5,763","69,251",23,,"8,712",,"16,396","50,409","1,742","23,361",140,"2,754","14,098",8,"11,571","1,919",852,597,"10,073",,,,,,,,26,"7,997","['Loba', 'Wraith', 'Pathfinder']",xLilscrappy,,,11.00,,"3,673","2,793",407,3,,300,"17,784",,"3,265",,,,11,"5,447",,,
41,"4,212","110,197","31,030,787","12,793","3,082","125,350",515,735,,,"25,735","25,677","1,009","9,231",695,"4,037",,,,,230,,,,,,520,"5,581",,"4,555",184,"7,955","['Pathfinder', 'Bloodhound', 'Bangalore']",Dub_Lyfe,,,,920,,"1,458",,,105,,"2,214",,,,,,55,"86,372",,,
