,Level,Kills,Damage,Matches Played,Kills As Kill Leader,Headshots,Finishers,Full Squad Wins,Sniper Kills,Season 5 Wins,Season 5 Kills,Season 6 Wins,Season 6 Kills,Season 7 Wins,Season 7 Kills,Season 11 Wins,Season 11 Kills,Season 12 Wins,Season 12 Kills,Arena Kills,Arena Wins,Wins,Top 3 Legends,name,Season 19 Wins,Season 19 Kills,Winning Kills,Revives,Times Top 3,Pistol Kills,Shotgun Kills,SMG Kills,AR Kills,Care Package Kills,Season 10 Kills,Season 14 Wins,Season 14 Kills,Kills Per Match,LMG Kills,Season 9 Wins,Season 9 Kills,Season 15 Wins,Season 15 Kills,Season 16 Wins,Season 16 Kills,Season 17 Kills,Season 8 Kills,Season 10 Wins,Season 8 Wins,Season 13 Wins,Season 13 Kills,Season 17 Wins,Season 18 Wins,Season 18 Kills,Arena Damage,Damage Per Match
10,"2,199","44,612","11,431,119","1,117","1,450","50,592",581,"2,023",,278,11,392,"2,963",620,"5,116",20,,166,,,,"4,223","['Wraith', 'Octane', 'Pathfinder']",Twitch Craqd,,,,27,"1,721",,,,,"2,978",,,,,,266,,194,139,162,"1,487",,"2,221",165,137,,,,,,,
11,"1,879","83,085","16,846,122",,,"96,189",,,,4,,,,95,"2,482",,,296,50,"2,466",494,"4,218","['Horizon', 'Wraith', 'Bangalore']",TwitchDrxpLxve,,"1,657",,,,,,,,,,470,"9,232",,,73,"3,426",355,"8,018",761,"11,000","22,233",,,,297,"5,212","1,103",,"1,435","970,644",
12,"3,628","79,131","19,428,602",,457,"35,595","17,252","1,673",,480,,,,190,,,,,,,1,"4,204","['Lifeline', 'Wraith', 'Loba']",future stepmom,,,74.00,"18,972",928,159,,,,0,,,,,,4,,,,,,,,,,,,,,,,
13,"3,020","110,186","20,905,819","3,876","4,387","16,688","2,797",660,,129,"1,090",,,483,"2,152",169,"2,388",47,469,,,"4,202","['Valkyrie', 'Wraith', 'Pathfinder']",MrStealurKill_TV,98,,21.00,8,114,"1,795",,,,,"2,126",228,"2,913",,,"1,121","13,729",205,"2,593",,,381,,375,54,,,18,285,"3,285",,
14,"2,254","52,146","8,784,828",622,18,"1,456","1,348","2,414",,541,"5,083",79,25,518,962,,,,,,,"4,194","['Bangalore', 'Wraith', 'Wattson']",PulseCheck,,,"1,516.00","7,206",,,,,,"5,362",620,,,,,,33,,,1,,,432,63,,,,13,,,,
15,"3,234","58,593","16,704,075","16,528",20,534,86,,,,40,,,697,"8,718",,,,,,,"4,184","['Gibraltar', 'Caustic', 'Mirage']",FB-FawkesGaming,,,14.00,,"5,007",,,,,,,,,1.30,,,,,,,,,,,888,,,,,,,
16,"1,238","76,921","18,771,414","12,942","16,688","78,873","3,047","1,672",335,,,,,,,984,"15,560",809,"12,586","3,891",623,"4,183","['Ash', 'Crypto', 'Horizon']",ArkSupremeTTV,,,685.00,"1,577",,"3,656","9,983","16,053","18,480","3,888","5,610",638,"10,909",,"3,463",175,"4,195",77,"2,945",,,,"1,475",312,,641,115,,,,"1,055,854",
17,"3,928","104,504","28,978,580",511,"6,484","2,267",102,69,62,237,"1,278",,956,152,"3,527",44,"3,217",54,"1,043",,,"4,180","['Pathfinder', 'Gibraltar', 'Bangalore']",EnviousEquation,26,"1,199",,"1,451",,,,49,,,,97,"2,727",,,,,,,,,987,,23,,30,,32,,,,
18,"3,866","119,990","7,721,078",,,,"2,984",,,919,"15,924",,"7,098",372,"9,693",,,,,,,"4,179","['Revenant', 'Octane', 'Pathfinder']",Pvt Cornflake,,,,113,,,,,"18,913",,,,,,12,,,,,,71,"7,281",,,,,,615,,,,
19,"4,256","103,726","25,604,853",1,"3,720","153,201","1,232","2,721",514,77,651,,"1,062",15,"1,563",,"6,528",538,,589,1,"4,175","['Loba', 'Pathfinder', 'Wraith']",uSpacy,,,,"7,075",798,"2,909","4,065","24,698","26,799",17,"7,893",,,21.00,"1,133",814,"10,220",57,403,,,,"8,186",514,529,,754,,,,,
