,Level,Kills,Damage,Matches Played,Kills Per Match,Winning Kills,Kills As Kill Leader,Headshots,Finishers,Revives,Full Squad Wins,Times Top 3,Pistol Kills,SMG Kills,AR Kills,Sniper Kills,Care Package Kills,Season 5 Wins,Season 5 Kills,Season 6 Wins,Season 6 Kills,Season 7 Wins,Season 7 Kills,Wins,Top 3 Legends,name,Season 9 Wins,Season 9 Kills,Season 11 Kills,Season 13 Wins,Season 13 Kills,Season 16 Wins,Season 16 Kills,Arena Kills,Arena Wins,Season 19 Wins,Season 19 Kills,Season 11 Wins,Season 14 Wins,Season 17 Wins,Season 17 Kills,Season 18 Wins,Season 18 Kills,Arena Damage,LMG Kills,Season 8 Wins,Season 10 Wins,Season 10 Kills,Arena Winstreak,Season 8 Kills,Season 12 Wins,Season 12 Kills,Season 15 Wins,Season 15 Kills,Shotgun Kills,Season 14 Kills,Neutral Airdrops Looted,Damage Per Match,Peak Rank
23,"2,893","78,746","12,353,007","7,883",3.72,,130,"105,349",0,,21,"1,653",,,107,,,131,,485,"6,598",702,"7,481","4,030","['Valkyrie', 'Pathfinder', 'Horizon']",Ttv_oRakuen,307,,"9,253",,,,,181,48,,,577,,,,,,"55,497",,362,405,,,,,,,,,,,,
24,"1,846","49,404","13,741,964",,,,,,,,,,,,,,,2,,,,,,"4,026","['Lifeline', 'Horizon', 'Gibraltar']",omarm17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,"1,632","71,375","3,819,059",0,0.00,783.00,"18,161","72,941",591,23,"1,647","2,099","2,008","13,840","8,338",8,"2,561",0,,0,,0,,"4,022","['Valkyrie', 'Bangalore', 'Wraith']",HUHYUNJlN,5,75,40,3,45,13,318,,5,,,121,"1,111",,0,,,,"3,136",,305,60,,,363,50,399,"14,000","4,860",100,,0.00,
26,"1,084","78,490","18,624,368","12,930",3.50,359.00,"18,747","95,277","2,389","3,371","1,714",,666,"23,168","15,518",19,420,4,"1,110",2,"5,664",676,"8,749","4,020","['Wraith', 'Horizon', 'Bangalore']",CIampur,113,38,"2,284",0,3,103,"1,452",554,108,,,20,,,,,,"111,984",559,76,293,"4,120",42,"1,096",0,0,7,16,"4,308",18,,,
27,"2,045","115,065","13,526,598","2,081",,361.00,"15,273",,607,"1,031",,157,,,,,"4,075",,,41,709,,,"4,015","['Pathfinder', 'Octane', 'Gibraltar']",JakeTrox,,,,1,,298,"3,373","6,385","1,579",,,,,414,"11,111",,,"965,332",,,285,"2,552",,,,,,,,,,,
28,"3,385","60,828","18,483,233",,,,"2,685","54,155",308,"8,029",,31,693,115,"16,694",,,306,"5,054",318,"5,232",267,"3,439","4,013","['Wattson', 'Lifeline', 'Octane']",louway mf,813,100,"8,099",,"1,569",,,,,,,519,,,"3,745",,,,,,228,"3,205",,,70,942,,,,,,,
29,"1,467","51,284","9,087,743",,,,"3,077","1,282",272,,"1,592",,,,,41,406,20,240,,,192,"2,072","4,001","['Pathfinder', 'Vantage', 'Caustic']",SirSkyDivine,45,702,"1,456",,,,,38,7,,,143,134,106,"1,100",136,755,,,,,,,,399,"4,041",667,"6,667",,777,,,
30,"1,711","73,545","18,087,772",81,,259.00,"17,957","76,302",899,"5,190","1,482",,"4,100","15,151","12,853",275,156,,0,,"1,872",88,916,"3,975","['Lifeline', 'Bangalore', 'Wraith']",YT-TheRealBigJoe,135,"2,273",,,,,,"1,257",263,18,288,,,,,,,"563,224",0,136,11,270,,"2,609",11,280,13,281,"1,115",,,,
31,"1,609","35,286","11,798,865",,,,,,,"6,077","2,639",,,,,"2,297",,,,,,,,"3,968","['Lifeline', 'Conduit', 'Mirage']",SPOOKIxTANOOKI,531,"4,077",,,,,,,,,,,,,,,,,,,8,"5,183",,,,,,,,,,,
32,"2,434","51,756","14,457,029",,,,"1,130","22,783","3,764","2,483",537,,,"1,707",,,,599,"4,605",453,"4,117",391,"6,845","3,953","['Lifeline', 'Wraith', 'Horizon']",Smokn Jay,27,543,726,350,40,135,"1,912","2,161",519,191,"3,842",27,65,18,287,34,688,"903,764",,9,,,,"1,328",122,"1,172",171,"2,433",1,948,,,
33,"2,823","67,431","16,619,244",,,,"1,183","82,595","3,941",,"2,977",,,"25,593","20,983",294,,460,,101,"1,354",,,"3,951","['Bangalore', 'Wraith', 'Pathfinder']",kyyrim,492,"7,923",,18,"3,278",,,,338,,,,161,,,,,"34,506",5,70,,114,,,4,,,157,"3,402","1,274",,,
34,"3,218","69,611","15,014,540",314,1.19,976.00,"2,762",,"5,219","6,864","2,949","6,508",,,"10,251","2,229","3,274",46,,,,,,"3,948","['Octane', 'Fuse', 'Valkyrie']",a TTV XpLaZ,,,"1,694",,,75,"3,358",511,492,,,,,,,,,"201,657","5,560",1,,,26,"5,941",,"2,113",,,"9,499",,,346.89,
35,"2,417","54,341","9,458,875",287,,,"4,098","50,016","1,675","3,033","3,328",,"4,814",,,,"2,203",248,"3,874",227,"2,739",473,"4,631","3,941","['Bangalore', 'Wraith', 'Lifeline']",Bimwofti,307,,"1,991",1,15,500,"2,445",,,,,334,133,140,140,,,,,194,480,"4,404",,20,137,,144,"1,613","1,040",,,,
36,"2,446","73,428","7,065,581","30,312",2.06,"1,017.00","6,628","45,219",510,"6,385","1,895","1,326","4,545","8,955","10,568","1,232","2,905",30,,,363,38,"2,951","3,927","['Wraith', 'Lifeline', 'Pathfinder']",x nedrad x,,,69,,,,,"1,231",124,,,6,,,,,,"638,332",,27,,,15,,3,47,,,"3,510",,,6.17,
37,"2,213","53,700","11,013,302",,,396.00,"10,725","58,994",,,"3,462",,,"11,264","10,785",114,,2,,370,,339,"2,973","3,913","['Pathfinder', 'Gibraltar', 'Wraith']",Nubsv,258,"2,615",,,,43,725,"3,110",634,,,,,,,,,"1,095,498",,"1,201",,,,"9,183",,,409,"6,063",,,,,
38,"2,489","80,062","19,635,271",210,,221.00,"4,765","91,077",25,"2,311","2,107",,,"15,441","23,837",1,14,8,"5,039",363,"6,039",0,"4,662","3,906","['Wraith', 'Pathfinder', 'Horizon']",lx kaneki xi,,"5,458",1,361,"5,291",66,"4,602",445,8,,,2,,231,"6,374",119,"2,197","15,086",,90,1,"3,706",,"5,520",0,,123,"4,746",,"2,970",,,
39,"3,512","62,995","15,812,741","17,395",,,"1,520","1,150",,,,,"1,286",,,,,279,"4,372",20,"3,515",444,"5,048","3,905","['Octane', 'Wraith', 'Bangalore']",wokoufps,,"3,437",,295,"4,399",,,10,,,,,,74,"5,050",,,,,420,0,"1,692",,"5,149",,,,,,,,,
40,769,"42,957",,,,,,"62,959",,"15,083",,188,,,,,,,,329,"3,635",268,,"3,902","['Lifeline', 'Pathfinder', 'Bloodhound']",nbn merkn,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,,,
41,"3,568","61,048","18,182,966",125,,40.00,"1,873","35,204","3,119","11,557",88,,"6,214","13,212",,,,0,100,,,609,"7,816","3,902","['Mirage', 'Valkyrie', 'Bangalore']",UNRULYSHOTTA819,,,,0,,,,,,,,,0,,,,,,,,19,,,,10,226,,,,,,,
42,"3,110","104,799","20,706,131",125,,,,"126,514",,,,,,,,,,159,212,88,,838,"12,351","3,902","['Horizon', 'Pathfinder', 'Gibraltar']",Hans_olo_TTV,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,8,,,,
43,"2,880","82,684","18,295,527","3,022",,0.00,42,"94,888","2,080","10,402","1,693",,508,"3,621",,99,,,36,7,116,119,48,"3,893","['Lifeline', 'Horizon', 'Wraith']",SpagettiGod6,,,596,,,367,"4,117","3,231",702,467,"15,062",53,,375,"10,064",,,"885,135",375,,,11,,,,,"1,259","12,522",921,,,,
44,"3,559","82,383","10,029,190","12,075",,29.00,"12,872","59,885","1,431","3,346","1,030",86,,"11,342","13,451",618,19,14,"4,068",208,"5,673",61,"6,092","3,887","['Pathfinder', 'Wraith', 'Horizon']",XoticcccTV,335,"5,669","3,418",,9,,,"2,341",533,6,60,131,,50,770,,,"836,309",20,17,145,"2,288",,"1,343",39,456,,,,,,,
45,"3,299","80,368","18,581,689",,,,"4,235","6,826",,,,,,,,,,370,654,,,,,"3,875","['Bangalore', 'Gibraltar', 'Crypto']",ItzZeekBoiii-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,"2,674","50,541","10,990,346","6,591",,514.00,,"22,214",,178,,"2,199",,,,,,283,,,,479,"4,230","3,872","['Wraith', 'Bangalore', 'Lifeline']",Soup of Korn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,"1,247","74,029","19,349,442","3,371",3.90,55.00,332,"55,206",552,,,"1,013","5,169",,,18,,77,,26,,465,"2,217","3,868","['Pathfinder', 'Wraith', 'Horizon']",LG_SIayr,21,"4,842",788,,,,,,,,,,,,,,,,,,32,,,,,,,,"5,812",,,,
48,"2,627","73,614","18,132,649","7,423",,1.00,"14,440","96,788",117,"4,842",7,11,,"21,843","22,585",,"8,678",276,"6,322",,"4,613",201,"5,859","3,862","['Bangalore', 'Ash', 'Horizon']",Aric fps,,,,,,,,509,,,,408,592,,,,,,39,,,,,,,,,,,,,,
49,"2,770","70,473","20,867,795","28,341",2.44,,,,,,,"7,417",0,,,,,188,"3,017",412,"6,546",295,,"3,854","['Bangalore', 'Bloodhound', 'Octane']",SlackToast800,,,,96,,,,,,,,,,,,,,,,482,,,,,,,,,,,,732.71,
50,"1,646","45,810","7,156,117","1,525",,,,"33,694",,,"1,264",686,"1,745",,"11,258",961,,229,"1,475",230,"4,152",333,"3,483","3,850","['Lifeline', 'Valkyrie', 'Bangalore']",eclypsify,242,"2,297",,,,,,,,,,,,,,,,,,407,,,,"4,081",,,,,"1,972",,,,
51,"2,165","40,560","13,354,361","4,655",,,,"56,468",282,,"2,526",,,"12,556","13,205",,,55,,235,,204,,"3,849","['Loba', 'Wraith', 'Conduit']",stormchemist,104,,"3,641",4,,360,"3,018",,,,,401,59,199,"1,746",,,,53,56,,,,462,130,,862,"7,245",,,,,
52,"2,899","80,644","22,192,099",,,121.00,,"102,386",,,272,,,"27,405",,,25,84,"1,857",129,,340,"4,488","3,845","['Loba', 'Wraith', 'Lifeline']",L1LSL3GEND_TV,304,"5,485","8,026",224,"3,543",157,"2,817",,,,,368,181,413,"8,877",,,,,480,270,"4,875",,"8,352",297,"4,493",60,830,,"3,008",,,
53,"3,109","58,808","16,043,663",51,,"1,106.00",60,"42,196",,"8,502","2,443","3,287",,"11,730","8,660",,"5,361",823,337,346,"6,170",146,"6,370","3,845","['Lifeline', 'Valkyrie', 'Horizon']",SolidSovereign23,330,"4,862","1,801",,,,,232,,,,120,1,0,0,,,,34,392,58,"1,808",,"5,787",73,647,,0,"7,872",,,,
54,"2,251","55,520","13,949,395",,,,,207,40,,,,,,,,,,,,,18,,"3,836","['Revenant', 'Octane', 'Bloodhound']",ak74ubro,,,,,,,0,,,,,,,,"2,425",,0,,,,827,141,,,,,,,,,,,
55,"2,673","79,576","23,606,764",,,,,"96,020",,"10,481",,,"5,667","21,499","17,898",811,,,,,,,,"3,825","['Bloodhound', 'Pathfinder', 'Octane']",iTomyunTV,,,"5,545",,"2,868",659,"10,269","1,966",387,743,"9,945",6,,432,"7,024",21,"1,168","837,265",,,,,,,0,0,747,"12,066","5,101","4,758",,,
56,"2,890","66,344","12,847,915",,,,,"77,821",,,"2,403","2,169",,,,1,,409,"3,041",1,,,,"3,814","['Wattson', 'Wraith', 'Horizon']",Sevpha,,,,,,,,,,,"2,964",,,,"3,796",13,"1,907",,,,,,,,,,,,,,,,
57,"2,658","76,190","20,632,924","10,041",,,"11,020","104,001",,,,,,"27,631","18,116",,,136,"4,629",,"5,505",,"6,457","3,812","['Wraith', 'Horizon', 'Pathfinder']",Aim<3,501,"5,065",,,,,,,,,,,168,,,,,"235,410",,,411,,,,,,,,,"2,926",,,
58,"3,467","58,567","9,807,902",,,52.00,,"16,075",,,"1,185",,,,,,,,,,,509,"5,519","3,810","['Valkyrie', 'Revenant', 'Pathfinder']",XPrince_VegetaTV,188,,"5,329",,0,,,"1,946",338,,,411,1,,,,,"787,123",,330,1,,12,,,,,0,,24,,,
59,"2,841","60,563","15,173,065",,,"1,109.00",167,"89,630","1,062","5,283","3,188","5,197","6,199","12,832","10,912",10,"3,684",91,123,201,"3,140",90,"1,393","3,810","['Pathfinder', 'Horizon', 'Wraith']",Prada_Pirate,9,"8,070",681,0,,282,"2,934","1,480",361,,,540,,66,"1,255",43,827,"634,365","2,388",305,540,"5,288",,"4,082",,,103,"1,162","6,113",,,,
60,"2,916","46,714","7,383,082","4,345",2.10,,"2,060","5,507",94,746,"1,592",,,,"6,254",,,537,"4,833",484,"2,247",562,"3,831","3,809","['Pathfinder', 'Wraith', 'Caustic']",NanTucKziT,131,"2,451",,99,"1,166",,,,,,,,,,,,,,,384,28,296,,"3,064",,,,308,,,,,
61,"3,041","71,692","16,406,929",19,,,"1,357","79,781","4,667",381,"2,366",,533,,,,"7,070",666,"8,033",130,"2,449",586,"5,317","3,797","['Pathfinder', 'Octane', 'Horizon']",CaptainSlapahoTV,420,"1,359",,,,,,"1,653",,,,,,,,,,,,181,,,,"2,249",,,,,383,,,,
62,"2,225","52,967","18,367,803",,,7.00,,"32,071","1,375",,57,"1,575",,24,47,,165,269,"2,745",11,,,,"3,796","['Ash', 'Wraith', 'Revenant']",TheDamnAlva,,,,,,,,,,,,,,,,,,,,,,,,,303,"4,854",,,,,,,
63,"1,923","47,624","13,991,156","20,815",,,,"23,855",,,349,"5,766",,,,,"2,831",,,164,"2,883",326,"3,193","3,796","['Bangalore', 'Mirage', 'Octane']",SuperChefKhalil,4,"3,668",,,,,,,,,,,,,,,,,,576,,,,"3,647",,,,,,,,,
64,"2,819","84,042","21,224,678","20,976",,"1,077.00","11,943","66,060","1,649","4,891","2,100","4,483",,,,,,,,,,,,"3,793","['Wraith', 'Loba', 'Pathfinder']",JorPorCor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,"2,882","70,894","19,669,465","15,229",,4.00,"19,395","62,789",794,9,"2,435","5,303","1,897","9,724","39,243","1,247",0,82,"21,437",506,"5,774",48,,"3,779","['Octane', 'Wraith', 'Pathfinder']",lordxwolves,0,0,,,,,,,14,,,,,,,,,,,142,110,,,,,,,,,,,,
66,"1,942","90,747","26,406,696",,,,,,4,,,"1,014",,,,,7,,,,,,,"3,765","['Gibraltar', 'Horizon', 'Lifeline']",thekinettv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,"5,168","146,544","27,919,190",,,,,,276,,,,,,,,,34,,,,,,"3,763","['Gibraltar', 'Wraith', 'Horizon']",thekineTV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,"3,724","65,424","21,380,256",,,,"4,526","26,870",,"1,309",,"1,434","3,595",,199,33,"4,412",,,36,1,,,"3,768","['Pathfinder', 'Octane', 'Gibraltar']",DregoPK,,,6,,,0,0,,,,,0,,,,,,,,,,,,,,,,,"5,168",,,,
69,"1,639","46,763","15,020,858",,,,,"77,127",,"17,236","2,846","7,637","1,424","6,574","31,412",,"1,524",,"1,828",249,"2,337",295,"3,033","3,759","['Lifeline', 'Loba', 'Revenant']",amethysttheory,271,"4,916","4,379",,,,,,,,,295,,,,,,,"2,114",218,319,"4,030",,"3,151",221,"3,050",,,"1,070",,,,
70,"1,334","45,721","252,205",,,,,"40,711",766,"4,270","3,057","4,585","7,475",,286,686,,,,,,,,"3,758","['Wraith', 'Pathfinder', 'Wattson']",Colt,,,,,,,,,,,,,,,,,,,,,,,,129,,,,,"5,857",,,,
71,"1,844","57,267","1,367,694",,,,21,351,"9,561",,,,10,,,,,359,"4,203",219,"3,480",,"4,633","3,755","['Bangalore', 'Gibraltar', 'Fuse']",xBrooklynKnight,,,,,,,,,,,,,,,,,,,59,,,,,,,,,,,,,,
72,"2,360","65,501","20,034,449",,,467.00,539,"32,148","1,006",,,15,,,,,,95,"2,204",,,,,"3,768","['Wraith', 'Horizon', 'Bangalore']",CrypticChalk,,,,,,0,,,,,,,,0,,,,,,,,,,,,,,,,,,,
73,"2,352","51,797","12,770,217","3,628",,62.00,,"10,882",7,,,330,"5,341",,,,,152,"1,306",,,227,,"3,744","['Pathfinder', 'Wraith', 'Horizon']",itsgAIMtime_TTV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,"1,176","51,275","14,445,708",151,,,,"33,323",,"2,920","1,702",64,,,"6,106",,,,,,,163,"1,271","3,741","['Gibraltar', 'Caustic', 'Loba']",Fragment42O,359,"2,162",,280,"3,027",,,,,,,,,,,,,,,"1,063",,,,"12,002",398,"4,378",,,"5,640",,,,
75,"1,742","62,225","10,248,190",,,,180,,"1,958",,62,,,,,,,16,780,,,38,690,"3,735","['Valkyrie', 'Horizon', 'Lifeline']",nV_AnguishTTV,,,133,,"2,029",,"3,834",,,304,,7,,412,"5,149",355,"2,346",,,163,,,,,237,"3,782",,,,,,,
76,"2,222","42,829","11,644,943","10,066",,,,"60,363","1,002","5,838","2,828",,,"8,153","5,517",,,23,553,101,"2,267",16,"5,376","3,728","['Lifeline', 'Crypto', 'Gibraltar']",tdplebee-,"1,340","10,967","2,164",,,226,"3,169","2,154",441,,,148,,,,,,"725,462",,16,71,981,,"6,641",2,37,,,"5,757",,,,
77,"2,581","53,994","15,161,398",450,,535.00,"2,299","78,378",518,"6,284","1,835","2,624","4,131","17,196","19,961",751,"4,987",528,"6,909",429,"5,803",439,264,"3,720","['Octane', 'Wraith', 'Pathfinder']",paulyzwrld,,,,58,908,426,"4,788",89,,90,"2,634",,145,,,,,,717,,,,,,,,137,"1,763","5,090","2,392",,,
78,"2,541","47,212","13,784,383",,,,,,,,,,,,,,"2,959",151,335,91,,56,"1,991","3,719","['Wattson', 'Loba', 'Wraith']",LuckiestC,234,812,,,,168,"1,713",,,,,,,208,"1,988",,,,,150,577,50,,17,81,872,127,"2,009",,,,,
79,"3,169","93,215","3,131,158",616,,"1,479.00",,"46,265","4,001","8,133","1,880",191,,"36,665",,523,"5,031",59,"8,448",0,"1,915",410,"8,106","3,717","['Bangalore', 'Wattson', 'Wraith']",Senor Washed,,,,,,,0,257,201,,751,,,,,,,730,,,,,,,,,,,"3,451",,,,
80,"3,722","48,966","13,618,206",,,,"3,035","55,161",,,"3,234","3,241","1,206","4,337","7,052",,"2,117",,,,,328,"2,337","3,712","['Valkyrie', 'Wraith', 'Bloodhound']",ttv_kingpurp458,"1,064","10,988",,,,380,"3,831",166,531,,,263,,,,,,,,,460,,,,,,,,"2,830",,,,
81,"3,450","55,746","15,167,696",125,1.31,,"1,046","57,662",964,,27,,,,,26,"1,114",318,"4,649",241,"3,162",527,32,"3,707","['Pathfinder', 'Wraith', 'Lifeline']",baby slothy,137,"1,605",100,,,,,,,,,685,,,,,,,,332,108,"1,051",,"4,289",,638,,,,,,,
82,"3,028","47,103","145,580",,,"1,612.00",,"84,491",341,"5,634","3,213",214,,"5,186","13,403",855,,166,"1,067",237,341,155,,"3,704","['Octane', 'Valkyrie', 'Pathfinder']",LemonSkynTV,402,"3,898",,237,169,,,,,,,509,,,,,,,,333,444,"4,497",,,153,"1,624",,,,,,,
83,"1,692","63,049","16,122,249","15,806",,,,"62,889",6,"9,121","1,252",,,"20,780","12,148",,,54,492,,,,0,"3,702","['Lifeline', 'Wraith', 'Bangalore']",Wif3Line,243,,"3,131",62,,,,215,51,,,,389,324,"4,280",,,"102,178","1,464",2,60,,,0,,,262,"3,247","4,685","5,804",,,
