,Level,Kills,Damage,Matches Played,Kills As Kill Leader,Headshots,Finishers,Revives,Full Squad Wins,SMG Kills,AR Kills,Sniper Kills,Care Package Kills,Season 5 Wins,Season 6 Wins,Season 8 Wins,Season 8 Kills,Season 12 Wins,Season 12 Kills,Wins,Top 3 Legends,name,Winning Kills,Times Top 3,Pistol Kills,LMG Kills,Season 5 Kills,Season 6 Kills,Season 7 Wins,Season 7 Kills,Season 9 Wins,Season 9 Kills,Season 10 Wins,Season 10 Kills,Season 11 Wins,Season 11 Kills,Season 13 Wins,Season 13 Kills,Season 14 Wins,Arena Kills,Shotgun Kills,Season 15 Kills,Season 16 Wins,Season 16 Kills,Season 19 Wins,Season 19 Kills,Season 15 Wins,Season 17 Wins,Season 17 Kills,Kills Per Match,Season 14 Kills,Arena Wins,Arena Damage,Season 18 Wins,Arena Winstreak,Season 18 Kills,Damage Per Match,Neutral Airdrops Looted,Peak Rank
10,"3,381","93,376","16,578,059",,"11,732","108,961","2,458","2,117","3,936","23,495","22,278",,,1,,329,"5,771",917,454,"6,096","['Horizon', 'Octane', 'Pathfinder']",Pooksiitv,,,,844,17,,194,"4,903",255,"4,377",418,"5,185",700,"8,310",529,"5,985",820,795,,"6,274",211,718,95,"3,319",522,,,,"10,933",,"110,208",145,,,,,
11,"4,110","86,019","19,633,678",,,"65,922",3,,,"10,277","5,435",,"2,730",692,647,329,"3,649",152,"1,616","6,092","['Loba', 'Horizon', 'Wattson']",Kvboom,,,,,"9,861","7,566",578,"7,010",,,583,"6,182",179,"1,815",,,,,,,,,,,,,,,,,,,,,,,
12,"3,754","83,834","20,580,774",,"7,853","85,932","10,695","2,137","2,670",,"15,157",358,"2,273",,,,,399,"5,029","6,073","['Valkyrie', 'Gibraltar', 'Wraith']",Walshz,"1,135.00",,,"5,053",405,,217,,636,"7,727",175,"2,484",120,"1,689",344,"3,302",,"10,000",,"4,316",,,,,528,,"1,548",,"3,946",847,,,20,,,,
13,"3,258","66,561","20,544,194",,,"71,122","2,027",,"2,339",,,,0,10,99,,,94,589,"6,073","['Wattson', 'Bloodhound', 'Octane']",Unfeathers,"2,010.00",,"6,520",,"7,628",30,303,634,153,"2,678","1,054","10,388",207,1,,0,,,,,,,,,,,,,,,,,,,,,
14,"3,743","51,836","14,421,228",,,,,,"2,172",,,,,242,630,664,"1,094",,,"6,068","['Horizon', 'Lifeline', 'Valkyrie']",DaughterOfThorTV,,,,,"2,735","4,019",894,"5,464",432,,89,,,,,,,,,,,,,,,,,,,,,,,,,,
15,"3,328","99,283","26,821,259",,,"118,502",35,,"1,041","16,473","13,546",,,224,,,,8,187,"6,060","['Wraith', 'Bangalore', 'Octane']",@jayzilla_,,,,,,,399,,386,"4,991",46,,548,"7,240",,"2,373",242,173,,"1,312",454,"5,952",45,"1,138",,126,"2,653",,"3,068",,,59,,"1,205",,,
16,"5,709","118,875","23,330,957","28,157",263,"125,659","2,472","9,720","6,729","19,710",,,"5,585",2,105,44,"18,698",299,"6,250","5,976","['Pathfinder', 'Bangalore', 'Mad Maggie']",TTV_EasyHaon,,,"9,955","2,337",0,"5,447",69,"14,257",949,"11,304",39,782,,"7,639",33,114,156,"3,265","7,436",,2,"3,415",,,,133,"2,911",2.55,"3,139","1,016",,,,,,,
17,"4,033","89,314","25,126,234","8,124","11,685","86,387",922,,"4,164",,"16,399",172,,661,257,555,71,207,"2,790","5,971","['Horizon', 'Pathfinder', 'Loba']",rpsychic,,,,,"6,876","3,104",465,"5,264",637,"7,796",859,"10,620",276,"4,044",174,"3,330",,"9,092",69,,,,4,57,60,,,4.50,,"1,458","3,391,734",,,,"1,545.81",,
18,"1,946","85,209","1,964,100",722,,"100,096",,"5,703","3,319","17,296","16,257",,"3,249",555,0,,,421,"6,450","5,966","['Pathfinder', 'Horizon', 'Gibraltar']",icetheassassin,"1,791.00",,,"2,877","6,116",,3,,543,"5,994",348,"4,584",433,"6,527",0,"5,719",511,,,,,,,,,,,,"7,760",,,,,,,,
19,"4,105","88,056","12,754,159","13,135","7,111","134,343",,"4,590","4,628",,,80,,620,334,155,"1,558",0,,"5,946","['Horizon', 'Octane', 'Valkyrie']",Qwaig,,"5,602",4,,"6,688","1,990",643,"6,522",141,"1,530",748,"8,448",2,1,296,,0,434,1,,,,,,,,,2.84,"5,023",,,,,,,,
20,"3,639","115,433","28,213,840",,"7,289",,,,,"7,953",,37,,,493,459,"7,884",,,"5,943","['Horizon', 'Pathfinder', 'Bloodhound']",Riddle_FFX,666.00,,,,,"9,350",862,"12,918",577,"11,053",,,,,468,"7,906",,,"4,631","7,395",,"8,165",,,394,,,,,,,,,,,,
21,"3,506","62,832",,,,,"13,765",,,,,,,,,,,,,"5,932","['Loba', 'Wattson', 'Lifeline']",oForeignDoll,,,,,,,,,,,,,,,,,,"1,580",,,,,,,,,,,,,,,,,,,
22,"3,288","81,072","13,873,394","12,670",47,"38,549",413,,"4,382","9,143","2,586",,"1,339",113,223,,,,3,"5,906","['Octane', 'Pathfinder', 'Valkyrie']",FREAKIOG,,,,,"1,359",751,335,3,469,"2,896",128,"1,046",245,613,,10,45,,,"2,291",,141,,,311,387,734,3.76,208,,,,,9,,,
23,"1,305","80,632","22,122,998",,243,"55,222",2,252,"3,004",,,,,73,78,,,,,"5,885","['Horizon', 'Wraith', 'Revenant']",freeksho,557.00,,,,563,799,777,"8,285",79,732,82,918,,,,,,226,,,,,,,,,,,,60,,,,,,,
24,"3,220","90,937","25,221,454","5,444","13,686","120,003",17,,,"30,076","17,202",,,,,16,347,,,"5,851","['Horizon', 'Wraith', 'Bangalore']",Shinsxi,,7,"6,845",357,,,1,"1,529",0,,502,"5,656",3,,263,"3,701",763,"9,812",,"3,245",142,"18,054",8,314,211,657,"11,274",3.88,105,"1,865","3,411,851",,54,"4,825",,,
25,"4,382","131,733","27,415,813",11,656,"57,244","3,487","2,999","9,195","27,595","26,966",632,313,588,362,,,115,"1,352","5,858","['Wraith', 'Horizon', 'Octane']",Nagozuki,,"3,990","1,263","1,658","4,921",874,95,883,4,,,,1,,,0,,,"11,544",,618,"6,880",,,,,,,,1,,,,,,,
26,"4,394","71,699","18,913,230",1,,,,,,,,914,,"1,010",209,"2,121","13,275",,,"5,839","['Wraith', 'Fuse', 'Bloodhound']",rhino claps,,,,11,"9,327","1,464",106,,74,,39,59,,,,,,"1,525",,,,,,,,,,,,16,,,,,,,
27,"3,673","56,743",,,,"82,922",,,,,,,,,,,,,,"5,827","['Loba', 'Crypto', 'Octane']",swerveski,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,"3,075","79,180","19,757,436",,"2,578","11,190",7,,13,"4,649",,,,167,247,141,,,,"5,778","['Wraith', 'Horizon', 'Pathfinder']",rMattD,405.00,,,,0,,"1,051","11,464",364,,,,,,,,,,2,,,,,,,,,,,,,,,,,,
29,"4,667","152,601","16,779,219","2,107","19,483","74,937",167,"8,210",,,,519,,666,760,786,"9,574",66,"1,238","5,772","['Lifeline', 'Bangalore', 'Horizon']",Overstays,"1,582.00",,,,,"11,271",731,"11,519",352,"7,018",139,"2,956",230,"5,049",136,"3,495",99,6,,"5,680",223,"3,617",402,"8,457",256,651,"9,847",,"1,817",2,,63,,"1,288",,,
30,"1,972","79,731","14,965,944",,"3,704","62,158",195,710,,"13,103","10,937",0,,368,,52,582,,,"5,764","['Wraith', 'Valkyrie', 'Lifeline']",moonvy,214.00,"1,501","3,642",,"4,318",,1,10,54,,0,,,,313,"3,886",8,"1,470",243,"3,921",211,"1,925",,,389,293,"2,275",,"3,400",150,"310,991",,,,,,
31,"4,088","81,468","19,157,023",,,"94,043","1,122","4,624","2,367","18,574","10,172","1,089","7,453","1,021",,,,,,"5,760","['Crypto', 'Wraith', 'Horizon']",Playanudie_TV,683.00,"3,793","1,030",381,"9,603",,140,"1,532",,,,,116,"3,218",,,,,"2,317",,,,,,,120,"1,765",,,,,,,,,,
32,"1,934","84,183","6,469,887","9,957","11,783","43,223","1,059","4,191","3,588","6,105","9,123",538,"2,285",292,152,161,"3,014",,,"5,756","['Loba', 'Pathfinder', 'Wraith']",EradicateMMR,556.00,"2,694","2,731","1,362","4,207","3,537",350,"3,930",74,623,,"1,187",41,374,,,,,"4,723","3,736",787,"10,001",,,400,,,,,,,,,,,,
33,"3,379","82,464","20,949,882",,"8,584","100,456","1,429","8,900","5,351","19,790","28,448","1,942",464,0,,,,,6,"5,745","['Gibraltar', 'Wraith', 'Bangalore']",XBR3,"1,585.00","4,842","3,785",,710,"3,038",,801,,"1,434",,,,,,,,,"5,470",,,,,,,,,,,,"114,020",,,,,,
34,"2,597","69,049","548,946",,,"91,734",,"18,324","4,082",,,,,,226,,,,,"5,776","['Lifeline', 'Gibraltar', 'Wraith']",xStLouisDomo,,,,,,,,,,,,,,,,,,,,,549,,,,,,,,,,,,,,,,
35,"4,803","140,691","32,126,039","3,277","27,259","132,436",309,126,,"33,538","4,735","1,110",,181,,447,"7,775",,"8,169","5,705","['Fuse', 'Revenant', 'Pathfinder']",PredX-Hanma,67.00,5,"9,517",,"4,514",898,47,"2,638",777,"9,176",288,"9,433",,"11,707",,"8,446",,,,"3,196",,"3,478",,"1,310",,,"2,316",,"3,732",,,,,,,,
36,"1,886","79,061","19,052,671","10,331","6,089","25,172",110,"3,333","1,328","4,690","13,104","1,585","2,457",287,311,,,,,"5,703","['Wraith', 'Horizon', 'Bloodhound']",Even Skeavin,795.00,"2,383",924,"3,082","4,278","3,062",248,,261,,,,,,79,,7,671,"1,943",,,,,35,399,,,3.26,125,144,,,51,,,,
37,"2,274","90,738","19,612,991","17,199","22,666","81,392",149,776,804,"14,507","13,213",,473,4,,,,,,"5,679","['Pathfinder', 'Octane', 'Wraith']",val3nt1nnn,,"3,095",105,,"5,154",,503,"6,445",,,,,,,,,,725,"10,085",,,,,,,,,,,497,"194,491",,,"1,443",,,
38,"2,907","100,049","3,965,942",,,,,,,,31,,,,,,,803,120,"5,671","['Valkyrie', 'Octane', 'Bangalore']",iTzBulletBaby,,,,,,,,,,"7,078",,"6,925",9,135,782,120,0,,,"20,869",538,"8,379",,,"1,297",,,,"10,238",,,,,,,,
39,"3,753","64,368","17,367,001",589,"4,364","76,981",634,"5,787","3,750","13,633","17,492",572,"6,870",3,"1,031",,,,,"5,659","['Gibraltar', 'Bangalore', 'Bloodhound']",badclout,"1,012.00","5,642","1,018","2,586",,949,0,,0,,4,,0,,,,,,"4,292",,,,,,,,,,,,,,,,,,
40,"4,009","98,366","28,945,654",,"1,816","2,724",,,129,,,,133,155,6,4,,5,139,"5,650","['Lifeline', 'Wraith', 'Horizon']",Agnetus,,,,,,57,392,"5,998",,,,,,152,,,,,,,,,,,,,,,,,0,,,,,22,
41,"2,623","23,290","7,960,665","14,111","20,580","96,256","2,317","11,546","3,761","18,337","32,429","7,278","4,901",435,393,0,,,,"5,641","['Mirage', 'Bloodhound', 'Revenant']",Bamboozling you,"2,461.00","7,599","5,868","7,811","3,270","7,222",,847,202,"3,961",,,,,,,,,"7,501",,,,,,,,,,,,,,,,,,"6,665"
42,"1,035","77,078","17,433,115","4,767","5,802","51,770","1,185","3,116","4,237","9,017","7,205",,"4,320",453,450,101,"3,657",59,614,"5,632","['Bloodhound', 'Loba', 'Bangalore']",Slumpy-STW,103.00,,,,"5,672","4,732",417,"3,194",606,"6,306",309,"3,214",324,"5,514",21,,253,,"1,105",439,,,,,11,131,"1,867",,"3,075",,,,,,,,
43,"2,418","66,528","17,080,894","3,063","3,817","29,026","1,031","3,593","4,845","8,061","6,048","3,404",151,0,11,8,92,,,"5,629","['Pathfinder', 'Bangalore', 'Lifeline']",kevinxxzx_ttv,"1,603.00","1,749","1,680","2,901",,,64,774,10,153,,,,,,,,,"3,116",,,,,,,,,,,,,,,,,,
44,"3,011","86,766","20,397,820","13,835","20,420","104,304","3,140","6,375","4,107","26,932","27,637",558,40,1,0,385,"6,285",908,130,"5,620","['Horizon', 'Octane', 'Pathfinder']",nqrks on tiktok,"2,450.00","6,385","4,508","6,292",313,,62,"1,442",887,305,28,"5,922",859,"9,191",339,50,,"15,332","7,188","7,146",,"4,705",,,334,666,"12,640",2.55,"3,977","4,207","4,754,461",79,,"1,453",,,0
45,"2,240","55,589","9,782,883",,,"28,597",0,"11,264",,,,,,0,1,0,0,922,"4,688","5,569","['Wraith', 'Loba', 'Lifeline']",danoskrrrt,0.00,,,,,,238,"3,650",461,"4,388",322,,,,,,,,,"2,840",,30,103,"1,644",266,,,,,,,,,,,,
46,"3,435","116,231","24,988,384","7,030","10,048","83,696",,0,118,,,,,,,,,,,"5,492","['Wraith', 'Valkyrie', 'Horizon']",Brianking89-,,"1,236",,,,,1,,,,,,10,,,,,,,,,,11,302,,,,,,,,,,,,,
47,"1,985","65,179","3,164,437",,680,"86,099","1,004","9,793","3,980","13,746","20,347",,"5,002",356,85,610,"8,870",60,758,"5,483","['Wattson', 'Wraith', 'Lifeline']",Tabby2Freshh,442.00,,,892,"3,569","1,349",442,"5,522",533,"6,371",231,"2,858",163,"2,676",295,"2,387",162,239,,"3,812",261,"2,773",236,"3,914",525,548,"6,486",,"1,004",52,"83,723",,,,,,
48,"4,263","81,102","23,488,048",,"10,054","117,239",,"3,103","3,509","24,805","21,192",4,,246,306,294,"4,345",448,"3,579","5,478","['Loba', 'Wraith', 'Horizon']",Hirudescent,,,,,"2,511","4,760",451,"6,796",683,"8,443",515,"7,147",608,"8,496",357,54,214,88,"6,788","1,144",207,"2,858",,,111,,,,"3,266",33,,,,,,,
49,"1,904","94,124","24,687,772",,"8,731","70,116",,,,,,,,,,39,738,,,"5,450","['Wraith', 'Octane', 'Pathfinder']",AweiRe,,,,,436,27,161,"3,149",2,256,3,,0,,,,,"1,196",,,27,492,100,443,,,,,14,387,,,,,,,
50,"3,803","58,534","15,569,014","3,913",,,,,,,,,,624,251,,,,,"5,410","['Pathfinder', 'Octane', 'Bangalore']",weird_philosophy,,,,,223,664,91,,562,,484,,273,,,,,,,"1,456",,,,,81,,,,,,,,,,,,
51,"3,110","77,596","19,471,775",,"15,631","84,963",,,"4,433",,,,,95,386,47,,149,"2,013","5,399","['Pathfinder', 'Horizon', 'Octane']",STEPFlNDER,,,,,1,"2,484",468,"4,096",586,"3,812",41,,209,"2,322",293,,,"2,363",,934,,,,,,,,,,267,,,,,,,
52,"3,933","91,963","22,280,874","20,436","12,590","122,635","2,014","13,448","2,261","22,675","16,291",828,,,38,437,"5,645",,,"5,380","['Lifeline', 'Pathfinder', 'Gibraltar']",Henney47,,"2,877","6,594",130,"3,260","1,715",281,"5,645",756,"9,690",,,277,"4,795",30,,132,,"8,017",,,,,,,,,,"3,676",,,,,,,,
53,"3,242","64,802","637,228",,48,"57,900","2,251","5,296","3,935",55,54,2,,665,514,,,,,"5,372","['Wraith', 'Wattson', 'Pathfinder']",Pcassoo,,"6,496","7,682",512,,,652,,1,,,,,,,,,,"2,712",,,,,,,,,,,,,,88,,,,
54,"1,398","91,897","17,705,963","13,802","13,701","95,704",876,648,,,,,,0,,5,,,,"5,367","['Wraith', 'Pathfinder', 'Horizon']",sageee_o,5.00,"5,027",,,0,17,1,,0,,105,"1,216",,,15,269,,251,,"1,007",,,,,,,,,"1,632",5,"118,415",,80,,,,
55,"4,384","72,203","15,715,242",,"2,493",,,521,"3,537","10,050","7,606",,,639,470,522,"5,659",65,"1,079","5,363","['Loba', 'Wraith', 'Pathfinder']",GRAYSON Jiller,591.00,,,,"8,320","5,048",518,"4,772",378,"4,439",678,"5,806",326,"4,318",112,524,,,,151,200,"1,553",25,378,149,119,"1,252",,,,,11,,490,,,
56,331,764,"198,807",,,153,,106,,,,,,,,,,,,,"['Bloodhound', 'Octane', 'Gibraltar']",savior,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,"4,447","75,654","18,564,742","8,014","4,155","106,773",87,"2,667","2,608",,"10,482",,,515,164,283,"3,182",779,"8,184","5,353","['Wraith', 'Valkyrie', 'Pathfinder']",rVxidz,,,"1,588",,,,34,,359,"3,876",0,0,572,"6,515",395,"1,909",,"1,099","3,714",682,161,"1,358",9,97,82,59,621,,,237,"431,508",24,,296,,,
