,Level,Kills,Damage,Wins,Kills As Kill Leader,Headshots,Finishers,Full Squad Wins,Times Top 3,Season 5 Wins,Season 6 Wins,Season 6 Kills,Season 7 Wins,Season 7 Kills,Season 10 Wins,Season 10 Kills,Season 11 Wins,Season 11 Kills,Season 15 Kills,Arena Wins,Top 3 Legends,name,Season 19 Wins,Season 19 Kills,Matches Played,Revives,SMG Kills,AR Kills,LMG Kills,Sniper Kills,Care Package Kills,Season 5 Kills,Season 9 Wins,Season 12 Wins,Season 12 Kills,Season 13 Wins,Season 13 Kills,Season 15 Wins,Season 16 Wins,Season 17 Wins,Season 18 Wins,Arena Kills,Arena Damage,Arena Winstreak,Pistol Kills,Season 8 Kills,Season 9 Kills,Winning Kills,Shotgun Kills,Season 8 Wins,Season 14 Wins,Season 16 Kills,Season 17 Kills,Peak Rank,Kills Per Match,Season 14 Kills,Damage Per Match,Season 18 Kills
16,"2,532","46,191","8,441,035","3,237",,,42,,,189,,,212,529,,,,,,,"['Pathfinder', 'Octane', 'Loba']",Kobrah_fb,,,826,69,,,"1,535",,"1,595","1,462",,,,,,,,,,878,,,"1,902","5,356",,,178,690,,,,,3.58,,,
17,"2,373","58,359","14,704,377","3,235","4,741","40,935","6,036","1,381","3,314",378,12,"2,884",255,"5,310",80,"1,607",,"3,206",,,"['Wraith', 'Pathfinder', 'Bangalore']",illusivewraith,,,,"4,214","10,832","6,199",579,527,"1,284",482,,83,"1,734",38,669,,,,,,"27,523",,"7,098",,,691.00,"7,022",,,,,,,,,
18,"1,936","59,909","18,203,178","3,231",,,,,,,,934,,,,,,,,,"['Horizon', 'Valkyrie', 'Wraith']",Awons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,"1,768","54,335","11,190,200","3,231","1,034","73,682",670,"1,123","1,803",,,,,,624,"8,092",518,"6,819",,39,"['Loba', 'Rampart', 'Octane']",Rayshwnn,,"10,862",,,"22,820","18,119",,,"3,085",,124,0,456,,"1,658",,533,685,,189,"69,358",,,,"2,043",,,,0,"6,909","10,431",,,,,
20,"2,879","65,798","16,667,526","3,230","8,464","64,505","1,945",453,,98,140,"3,178",330,"5,157",,,109,"1,474",,,"['Horizon', 'Octane', 'Wraith']",Anxzyatee,,,"11,301",,"11,531","13,394",,499,,"2,430",424,,,,,,,,,"2,193",,,74,"3,732","5,909",,,192,,,"3,701",,,,,
21,"1,629","45,274","10,567,314","3,226",731,"31,548",,"1,276",,0,0,,1,39,540,70,"1,111","10,615",,,"['Loba', 'Lifeline', 'Wraith']",YooKarter,,,,,"14,136",,"3,049",,320,10,8,543,"4,716",,,,0,0,,,,,,30,202,,"1,012",2,0,,0,,,,,
22,"1,301","35,998","8,798,279","3,224","5,786",,,985,"2,063",,199,"2,370",,,103,737,26,275,,,"['Wraith', 'Horizon', 'Ash']",mozambiquethere,,,"7,025",,,,,,,,290,,,,,,,,,,,,,,"2,316",,,,,,,,,,,
23,"2,629","67,999","20,442,407","3,219","10,524","55,700",389,,282,233,204,881,326,"3,693",237,,247,"4,462",,170,"['Lifeline', 'Valkyrie', 'Bloodhound']",GregisWashedUp,,,985,"9,044","23,794","11,153",,"3,023",,"1,751",378,3,75,57,,,,,,962,"394,184",,,,"1,430",993.00,"1,135",114,0,,,,,0,,
24,"2,613","74,032","12,087,462","3,204","9,920","55,493",652,,"3,392",581,,,15,,,,,,,,"['Wraith', 'Pathfinder', 'Horizon']",YoNelsonn,,,,,,,,655,,"7,093",,,,,,,,,,,,99,,,,,,,,,,,,,,
25,803,"22,130","6,101,895","3,203",,,,"2,218","3,402",179,421,,,,,,,,,,"['Bangalore', 'Lifeline', 'Horizon']",titanium il,,,"5,022",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,"1,754","53,986","14,579,584","3,220",3,,,,,8,,,,,,,25,3,,,"['Valkyrie', 'Octane', 'Bloodhound']",Awkwardtechbro,,,,,,,,,,121,235,,,67,,,,52,,,,,,,"3,662",,,,,,,,,,,
27,"1,160","35,666","10,757,830","3,197",394,"9,838",360,"1,521","1,191",130,415,"3,543",147,"1,502",119,"1,118",61,484,,,"['Crypto', 'Lifeline', 'Valkyrie']",A Lethal Legacy,,,,"4,291",,363,307,5,0,"1,304",84,,,155,"1,568",,2,118,,,,,,332,538,,,38,,37,862,,,,,
28,"1,714","63,809","14,194,077","3,194","13,969","62,922",956,"1,252",,,,,13,,,,,,114,,"['Wraith', 'Horizon', 'Bangalore']",PingMeATurbo,9,160,"15,254","3,189","20,008","15,408",,6,,"7,135",,,,,,2,57,105,,,,,,210,,45.00,,,,"1,488","1,479",,,,,65
29,"2,242","47,284","11,607,067","3,189",,"56,913",3,"2,430",,527,,,,,,,,,,,"['Wraith', 'Octane', 'Bloodhound']",ohp ghost,,,,,,"21,393",,,,"9,895",,,,,,,,,,,,,,220,,1.00,,,,,,,,,,
30,"2,377","47,080","11,577,653","3,186",,"51,243",58,"1,955","4,604",765,372,"3,881",187,"1,875",251,"3,425",,,,,"['Bangalore', 'Pathfinder', 'Lifeline']",ANTMANx-,,,"14,796",,"11,797","10,150",,,,"7,715",,,,,,,,,,,,,,,,852.00,"2,607",,,,,,,,,
31,"1,344","66,516","1,232,176","3,191","14,367",,,,79,,94,,129,,2,,,,,,"['Octane', 'Wraith', 'Horizon']",Shawnfleee_TV,,,"1,222",,,,,,,,,,,,,,,,,,,,,,,29.00,,,,,,,2.20,,531.93,
32,"1,919","71,694","18,050,716","3,182","1,973",331,,852,,15,21,,,,,,,0,,,"['Octane', 'Pathfinder', 'Bangalore']",Mrgrizzly_TTV,,,,"2,199",36,,,,,,0,,0,,,,,,,,,,,,,,"3,619",0,,,,,,,,
33,"1,469","58,976","13,296,113","3,180","23,509","60,214","1,199","1,337","4,171",116,33,692,122,"1,911",281,"3,548",285,"6,157","1,127",,"['Bangalore', 'Pathfinder', 'Revenant']",Youies,,"2,221","12,195","3,905","16,910","23,490","4,987",352,"2,827","2,303",408,270,"4,878",116,"1,682",54,64,107,23,,,,"2,934","3,242","4,960","1,791.00","4,237",173,57,"1,144","1,578",,,825,,"1,352"
34,"2,204","64,605","13,872,665","3,176","13,260","57,739",666,"1,603",,108,19,,1,,1,,3,,,106,"['Wraith', 'Bangalore', 'Valkyrie']",saylurmoon,,,"6,933",,"17,429","13,097",3,558,69,"2,036",4,,,1,,,,,,510,,,"8,047",,,"1,339.00","1,566",4,,,,,,,,
35,"2,577","33,145","86,406","3,174","1,366","25,157",,155,,78,99,,3,,269,"2,343",20,265,,,"['Wraith', 'Valkyrie', 'Pathfinder']",ZachSoYoked,,,,,,,,,,"5,199",474,,,,,,,,,,,,,"1,743","3,019",,,59,,,,,,,,
36,"2,319","90,915","17,839,603","3,168","8,453","84,197","1,589",490,,5,321,"3,926",341,"2,884",,133,70,"1,420","6,929",19,"['Wraith', 'Bloodhound', 'Horizon']",Aryuh,,"9,350",,836,864,26,4,,15,"2,482",5,40,"2,862",6,70,445,694,6,,85,"34,699",,112,"2,040","2,047",9.00,,,69,"10,060","4,629",,,741,,"2,729"
37,"1,999","57,849","14,686,392","3,168","1,343",,,,,427,25,1,,,,,,,,,"['Lifeline', 'Octane', 'Wattson']",Uvids,,,675,254,248,,,,,"7,152",,,,,,,,,,,,,,,,13.00,,,,,,,2.45,,,
38,"2,244","48,493","15,757,439","3,166",,,,,,0,0,,0,"5,002",1,"4,679",,"3,478","1,965",,"['Horizon', 'Pathfinder', 'Valkyrie']",Str8OffDaRip,2,80,,,,,,,"3,250",,283,10,"1,918",,,26,,,,12,,,,"7,265","3,634",,,547,0,,,,,,,
39,"2,277","57,114","13,461,417","3,165",,"28,280",,"1,406",20,917,"1,259","11,466",,,,,,,,,"['Bangalore', 'Pathfinder', 'Wraith']",Mediciinal,,,,,,,,,,"12,923",,,,,,,,,,,,,,,,,,,,,,,,,,
40,"2,545","55,675","16,911,902","3,168",1,"80,184",568,329,"3,764",,16,,,,11,"3,342",12,90,"5,691",,"['Gibraltar', 'Horizon', 'Pathfinder']",Himburten,18,263,,"3,106",,,,,"1,189",,168,228,"2,177",101,"1,300",237,121,76,11,,,,,"1,812","1,927",422.00,"1,721",114,,"1,973","1,161",,,"3,496",,222
41,"4,272","86,102","24,315,231","3,164","1,196","111,149","3,529","1,792",,446,61,"5,337",527,"7,696",,,173,"2,609",,,"['Pathfinder', 'Horizon', 'Bangalore']",LaCajuns_,36,"1,079",,,"9,119","9,798",,"2,543","3,615","6,834",714,72,769,,"1,462",,,,,,,,,"6,742","8,642",452.00,"9,077",355,,,,,,8,,
42,"2,779","49,034","486,530","3,159",,"58,954",,,,181,633,"6,337",840,"6,853",307,"3,056",,,,,"['Octane', 'Wraith', 'Pathfinder']",OGDreezy2x,,,,"3,140",,,,,,"2,094",,,,,,,,,,,,12,,"5,122",,,,415,,,,,,,,
43,"2,378","45,448","13,183,290","3,156",,,44,,,,,,157,"3,238",165,"2,302",176,"2,969","7,430",31,"['Loba', 'Pathfinder', 'Octane']",Gamer4283,,,,"1,686",,,,,,,151,138,"3,443",282,50,"1,000",231,343,,"2,788","1,205,259",30,,"1,483","2,297",,,92,420,"1,365",823,,,50,,
44,"1,411","110,099","28,862,398","3,149",48,"92,746",651,54,,278,86,,84,"1,523",77,"3,583",55,,,4,"['Octane', 'Pathfinder', 'Wraith']",FBkaingaming,,,,135,"9,248","13,411",,,,"2,113",1,,,,,,,41,,14,,,,"3,405","3,061",644.00,,,,,"1,384",,,,,
45,"1,610","33,219","1,072,682","3,140",,,85,,47,512,210,"1,699",282,126,26,196,,,,,"['Mirage', 'Octane', 'Loba']",mr-spice-fb_,,,,,"7,423","7,766",,,,"3,474",406,,,,,,,,,,,,,"1,441",114,,,187,,,,,,,,
46,"1,209","46,488","12,078,330","3,137","3,912","46,818",668,,"4,081",,,,,,14,,,,,385,"['Pathfinder', 'Mirage', 'Caustic']",Snipereed117,,,"2,322",,,"1,460",,64,0,,2,,226,,,,,,9,"1,282","566,979",,,23,31,951.00,,0,,,,,,,,173
47,"2,703","59,854","17,132,967","3,134","8,012","84,999",17,"1,657",18,188,0,0,319,"4,761",,,,,,,"['Octane', 'Wraith', 'Bangalore']",Ciroctane,,,,,"17,715","11,223",,,,0,,,,,,,,,,,,,,"4,381",,"1,578.00","9,987",443,,,,,,,,
48,"3,745","72,109","12,690,472","3,134","6,567","81,931","8,639","2,067","2,984",188,201,"6,085",532,"6,887",408,"8,414",420,"6,969",,430,"['Bangalore', 'Seer', 'Pathfinder']",mrsweatytoast,,,"4,971","6,277","5,947","17,645","3,929",111,"7,326","1,055",401,,"3,974",24,,,,,,"1,666","624,543",,"1,930",14,522,"1,058.00","3,183",443,,,,,,,,
49,"1,373","59,880","17,269,451","3,131","1,278",229,,,,,42,644,207,"3,037",,,,,,,"['Wraith', 'Mirage', 'Pathfinder']",techr0,,,257,,418,,,,,,,,,,,,,83,,,,,,,,,,,,,"1,340",,1.73,,,
50,"2,529","58,001","1,251,114","3,130",96,"12,705",70,,,169,299,"1,252",,,,,,,,,"['Pathfinder', 'Bangalore', 'Bloodhound']",SkeebRS,,,,,,"8,566",,,32,"3,037",,,,,,,,,,,,,"13,805",,,6.00,"11,620",,,,,,,,,
51,"3,242","96,004","28,849,709","3,129",,"156,086",126,,,171,1,,,803,,"5,572",133,"4,290","10,021",,"['Lifeline', 'Wraith', 'Loba']",ZDG_REZZY,,,,"18,205",,,,,"3,287","9,056",,414,100,,779,583,211,184,,"1,666","415,837",,,,"6,143",,,,258,"4,278","3,017",,,"4,808",,
52,"1,399","59,489","14,557,578","3,131","9,155","57,119",8,,"3,661",,,,,,,,,,,,"['Bangalore', 'Pathfinder', 'Wraith']",lamGrunt,,,"11,363",2,"13,185","4,725",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,"1,082","75,063","17,159,106","3,128","7,044","79,351","5,085","1,790","1,005",275,318,"4,120",688,"1,852",122,"1,256",198,"4,095","1,711",277,"['Revenant', 'Ash', 'Bloodhound']",ParadoxBeamsTV,,26,121,"3,773","9,522","6,128",,33,"3,053","4,509",206,245,"5,116",123,"2,556",,170,,,"1,544","321,442",,"2,311","3,014","2,376",339.00,,484,270,"2,484",,,3.89,"7,350",982.77,
54,"2,347","39,856","8,613,409","3,125",,,,"3,193",,,,,324,"3,410",313,"3,205",226,"1,203",,100,"['Horizon', 'Valkyrie', 'Gibraltar']",TheSYLV,129,"2,605","1,030","4,735",,,,,853,,411,522,"4,647",221,"2,042",,,,,466,"189,220",8,,"4,564","2,913",,,398,,,,,,,,
55,"2,402","50,079","15,461,175","3,121",,15,,280,,36,37,525,212,"2,184",41,579,,,,,"['Horizon', 'Pathfinder', 'Lifeline']",TTVKrspel,,,86,"2,140",42,,,,,487,105,,,,,,,0,,,,,,"4,912","1,410",,,355,,,6,,,,,
56,"1,771","49,297","13,867,196","3,115",,"41,425",,18,,,,,,,65,913,4,49,,,"['Bloodhound', 'Lifeline', 'Pathfinder']",SocksTasteOkay,,,274,,,,,,,,261,,,,"2,028",,,292,,,,,,"4,365","3,981",,,237,,,"2,969",,,,,
57,"2,645","47,487","13,743,964","3,115",,"8,064",,,,,221,"2,104",311,"3,925",,,,,,,"['Lifeline', 'Wraith', 'Horizon']",nV_KurpTTV,,,,"13,475",,,,,,339,,,,,,,,519,190,,,,,114,,,,7,,,"4,112",,,,,"1,394"
58,908,"35,907","10,330,751","3,108",,,"3,566",,,149,282,"3,249",5,"4,508",88,"1,104",97,131,,"7,671","['Bloodhound', 'Lifeline', 'Bangalore']",bblacked_out,,,,"2,725",,"11,241",,704,,"1,357",491,59,,92,,,162,,,"26,065","9,790,761",,,"3,189","5,315",768.00,,3,,"1,743",,,,,,
59,"3,602","50,607","14,956,079","3,102",,,,,,17,408,"6,397",494,"7,243",,,,,,,"['Gibraltar', 'Rampart', 'Bangalore']",Calypt0,,,,,,"6,209",,,,"3,709",332,,,,,,,,,187,,,,"4,657","4,158","1,339.00","16,552",327,,,,,,,,
60,"1,105","30,755","8,454,057","3,102",,86,,,,,,,,,,,,,,,"['Bangalore', 'Octane', 'Pathfinder']",Johnny2Key,,,"1,050",,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,"1,426","60,340","16,224,652","3,119",,,43,484,298,22,,,,,170,"3,525",24,642,,,"['Lifeline', 'Loba', 'Bangalore']",call me papi376,,,,,,,,,,752,77,227,"3,323",162,"1,762",,,417,,,,,,,521,,,,230,,,,,"3,126",,
62,"1,803","27,885","1,267,460","3,095",,,313,"2,293",,757,,,34,,,,,,,,"['Lifeline', 'Pathfinder', 'Loba']",The lb iii,,,,"7,676",26,,,,,,68,,,,,,,,,,,,,,,,,,,,,,,,,
63,"3,171","65,161","451,146,206","3,093","5,959","53,178",75,"4,690","1,486",200,68,689,102,297,,,,,,,"['Lifeline', 'Horizon', 'Wattson']",xchap,,,"3,126","3,309","4,859","12,472",431,62,"1,605","3,518",,,,,,,,,,,,,"5,182","9,464",,577.00,,"1,337",,,,,3.39,,,
64,"2,570","65,633","18,269,616","3,096",,,,,,254,168,"2,944",382,"5,897",254,45,,,,,"['Pathfinder', 'Wraith', 'Gibraltar']",OG_JoeRad,,,,,,,,,,"5,069",289,,,,,,,,,,,,,"4,637","5,007",,,326,,,,,,,,
65,"1,235","47,615","14,777,296","3,085",,"49,491",,,"4,310",,,,208,,,,,,,,"['Wraith', 'Bangalore', 'Loba']",DoubLeR9sTTV,,,"19,330",,"15,263",,,,,,,,,,,,,,,,,,,,,335.00,,,,,,,,,,
66,"2,400","50,784","4,563,777","3,079",,704,,,,405,508,"5,218",502,"7,335",,,,,,,"['Wraith', 'Horizon', 'Pathfinder']",RNG_PAIN,,,,,,,,,,"6,285",,,,,,,,,,,,,,"5,694",,,,466,,,,,,,,
67,"1,425","44,261","10,352,466","3,070",,,,,"3,283",278,2,105,275,21,,,,,,,"['Gibraltar', 'Pathfinder', 'Mirage']",gjaiiardong,,,"8,600",,,,,0,2,,,,,,,,,,,,,,,,1,,,,,,,,,,,
68,"2,365","59,036","11,109,035","3,066",,"1,916",,,"1,247",394,60,,6,,,,,,0,,"['Lifeline', 'Bangalore', 'Bloodhound']",PV_KILLIN,,,785,"1,670",,,,,,"4,225",238,,,,,0,23,,,,,,,,"3,985",,,70,,0,,,,,,
69,"2,055","46,621","12,023,516","3,063",260,"47,066",,"1,101",,53,97,"3,680",148,"1,270",,,,,830,,"['Bangalore', 'Pathfinder', 'Gibraltar']",xiStayBangin,,,"1,386",,"12,443","10,275",,0,"6,081","3,033",29,,,,,14,,,,,0,,10,"2,368",368,,,232,,,,,,,,
70,"1,887","63,013","20,082,599","3,060","4,751","101,937",,,"5,022",,,,,,,,190,"4,039",,85,"['Horizon', 'Lifeline', 'Bloodhound']",Stlchamp24,,,"22,689","7,080",,,,,,,,,,,,,544,,,239,,,,35,,,,166,,"6,169",,,,,,
71,"2,135","50,768","5,703,232","3,058",,247,,,,409,2,45,120,,,,3,43,,,"['Wraith', 'Loba', 'Wattson']",cryptcr,6,695,,,,,,,,79,74,,,,,,,,,,,,,,"1,035",,,,,,,,,,,
72,"2,158","36,100","7,767,055","3,056",604,,,,,139,,,129,,,,51,551,,,"['Bangalore', 'Gibraltar', 'Lifeline']",DivineBu11et,,,,,,,,,,,,,,,,155,,,,,,,,161,,,,221,,,,,,,,
73,"1,674","49,284","13,332,570","3,056",,"75,846",982,958,,,,,,,,,0,0,,492,"['Valkyrie', 'Wraith', 'Lifeline']",troythekiller10,,,,,,,,,"1,826",,,,,172,"2,121",,586,,,"2,341","973,517",38,,,,,,,,"10,000",,,,,,
74,"1,275","41,888","8,968,824","3,052",,7,,,,9,503,,0,,,,,,,,"['Pathfinder', 'Bangalore', 'Octane']",BulletProofV2,,,,62,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
75,"1,429","65,665","10,417,081","3,049","1,448","36,614","2,159","1,929",387,133,,,1,76,136,"1,832",28,408,,79,"['Octane', 'Valkyrie', 'Conduit']",puggsi,686,"2,390",,,,"1,586",,,,,120,4,87,111,"1,517",,,,176,"1,231",,,,,"1,607",315.00,"6,521",,,,,,,,,"1,792"
76,"2,537","56,383","16,271,044","3,049",187,"1,796",,8,,218,6,,2,,,,25,683,,,"['Pathfinder', 'Wraith', 'Ash']",IAMTenToesDown,,,"1,815",,,863,,,,"5,327",,,,,,,,,,,"43,989",,,620,,7.00,245,28,,,,,,,,
77,"2,784","39,927","5,670,006","3,044","1,174",,487,,46,57,126,"2,592",99,"1,454",183,"1,910",,"1,852","1,718",210,"['Valkyrie', 'Bloodhound', 'Horizon']",xb1astoise,,,47,,,,,,,744,546,,"2,051",237,"2,090",209,,,,,,,,"4,377","5,319",,,351,89,,,,,,,
78,"4,103","60,487","16,760,189","3,040",128,"50,421",,14,"1,046",198,0,,0,,,,,,,,"['Octane', 'Gibraltar', 'Bloodhound']",TrapQueenMel,,,,,,,,,,,0,,,,,,,,,,,,,,6,4.00,,,,,,,,,,
79,"1,950","36,371","10,700,074","3,037",,,,832,3,344,225,23,442,"4,057",5,,,,,,"['Bangalore', 'Lifeline', 'Octane']",Anti SEG,,,6,,,,,,,0,133,,,,,,,,,,,,,4,871,,,258,,,,,,,497.83,
80,"2,911","53,624","14,931,610","3,030",,551,,,,122,115,"2,525",159,"2,273",26,,183,,,,"['Octane', 'Pathfinder', 'Horizon']",gsoda5180,,,,,,,,,,471,,,,,,,,,,,,,,38,,,,255,,,,,,,,
81,"3,057","63,228","11,018,923","3,027",,,,,,,,,142,,,,,,,,"['Lifeline', 'Pathfinder', 'Octane']",JMS0L0999,,,,,,,,972,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,"3,892","77,949","8,308,306","3,025","5,583","94,560","1,607",,,848,409,,287,,,736,,,,,"['Wraith', 'Horizon', 'Pathfinder']",istaysloppy,,,296,,"13,376",,19,,"9,536",,465,,,,,,,,,,,,"2,322","2,596","7,904",,"1,292",180,,,,,,,,
83,"2,573","57,697","13,729,632","3,025","3,572","49,075","1,599",764,243,112,74,"2,467",372,"5,158",128,"1,462",122,"2,183",,,"['Wraith', 'Lifeline', 'Pathfinder']",MommyKusuri,,,,"5,904",,"13,029",,,,"2,445",0,447,"5,125",,,,,,,241,"10,762",,,"1,101",,1.00,,52,101,,,,,"1,161",,
84,"3,278","85,112","24,179,480","3,023","10,999","125,634","1,667",108,"4,764",337,,296,275,55,190,"3,485",,"1,203",,771,"['Octane', 'Lifeline', 'Bloodhound']",AdinoTv-_-,302,"10,369","25,740","9,492","23,910","16,189",,,,"5,299",,,"2,085",,"3,664",,,,,"4,125","1,769,028",17,"5,504","5,979","5,766",,24,,,,,,,"5,814",,"2,067"
85,"2,073","32,556","3,746,142","3,021",,"10,895",,,,,,,,,284,163,173,,158,,"['Wraith', 'Lifeline', 'Loba']",Mizdragunz,247,"2,692",13,"3,760",,,,,,,208,253,,420,"3,650",638,420,,,770,"316,167",,,,"2,719",439.00,,9,612,,,,,,,
86,"2,446","53,487","15,389,442","3,017","1,092",593,,,,459,332,0,220,250,4,2,,,,,"['Wraith', 'Valkyrie', 'Horizon']",FOB_OmariusPrime,,,,,,7,,,,135,39,,,,,,,,,,,,,,322,,,,,,,,,,,
87,"2,372","53,698","10,026,711","3,013","1,577","24,891",431,993,,269,27,244,282,"3,893",,,,,,"1,234","['Pathfinder', 'Wraith', 'Horizon']",BlackBuddhaaa,,475,"2,091",553,18,,,,24,"2,424",,,38,,,,,,,306,"1,948,567",,"1,057",,398,,,,,,"1,775",,,,,
88,"2,442","42,320","11,711,051","3,008",,"10,256",,,,,,,0,0,96,,252,"3,451","6,259",,"['Crypto', 'Mirage', 'Newcastle']",U_GOT_EMPED,"1,033","13,431",,,,,,247,,,63,0,509,190,"2,160",559,873,303,,,,,"1,064",,,,,,0,"6,326","3,051",,,421,,
89,"1,703","43,805","9,830,565","3,007","4,003","38,315",144,,,275,,,115,"1,340",104,"1,414",,,,,"['Wraith', 'Horizon', 'Octane']",kvrk0,,"3,292","2,669",,"4,056",,,,,"3,391",,,,,,,,409,,,,26,,"1,349",,,,109,,,"5,224",,5.23,,,
