,Level,Kills,Damage,Matches Played,Kills Per Match,Winning Kills,Headshots,Finishers,Revives,Full Squad Wins,SMG Kills,Sniper Kills,Season 5 Wins,Season 5 Kills,Season 6 Wins,Season 6 Kills,Season 8 Wins,Season 8 Kills,Season 9 Wins,Season 9 Kills,Season 10 Wins,Season 10 Kills,Season 11 Wins,Season 11 Kills,Season 12 Wins,Season 12 Kills,Season 13 Wins,Season 13 Kills,Season 14 Wins,Season 14 Kills,Season 15 Wins,Season 15 Kills,Season 17 Wins,Season 17 Kills,Wins,Top 3 Legends,name,Season 19 Wins,Season 19 Kills,Kills As Kill Leader,Season 7 Wins,Season 7 Kills,Shotgun Kills,AR Kills,Season 16 Kills,Arena Kills,Arena Wins,Arena Damage,Times Top 3,Pistol Kills,LMG Kills,Season 16 Wins,Care Package Kills,Season 18 Wins,Season 18 Kills,Neutral Airdrops Looted,Arena Winstreak,Peak Rank,Damage Per Match
10,"3,233","59,889","18,138,738","20,901",2.85,"2,625.00","84,890",555,"9,063","6,092","16,180","3,158",836,"6,367",83,,970,"5,596",652,"5,370",262,"3,237",314,"2,345",,,,,,,,,,,"7,354","['Bangalore', 'Lifeline', 'Pathfinder']",FowkeTV,,,"5,444",685,"4,413","3,205","18,937",,,,,"9,649","3,388","5,253",,"9,205",,,,13,,
11,"4,522","108,360","21,275,021",,,"1,017.00","26,027",122,,"6,296",,,"1,019",,,,,,"1,005","11,083",,,,,,,,,,,,,,,"7,310","['Wattson', 'Valkyrie', 'Wraith']",Bharbiez,,,"1,353","1,067","10,162","2,969",,,,,,,"2,130","4,640",,,,,,,,
12,"5,263","95,187","20,733,775","8,820",2.66,"2,652.00","131,562",894,"5,246","8,319","42,732",597,"1,090","6,566",881,"3,660",853,"6,552","1,255","7,797",312,"3,998",,,171,"2,655",39,528,79,420,10,,6,,"7,275","['Pathfinder', 'Octane', 'Horizon']",ttv_toxic_menace,,,"5,060","1,212","5,840","3,296","20,112",,"1,913",394,"944,944",54,"4,226","5,126",,,,,,,,
13,"6,014","90,228","7,217,491","4,087",6.16,"1,573.00","115,818","3,846","17,072","6,753","21,183",777,794,"9,615",726,"7,861",993,"8,791","1,890","14,768",201,"2,214",297,"5,286",94,"1,304",119,"1,633",29,377,42,742,,,"7,236","['Lifeline', 'Horizon', 'Wraith']",theturkishgiant,,,"9,710","1,219",672,666,"23,072",,"13,870","4,081","4,327,738",,"2,338","1,472",,"3,489",,,,150,,
14,"4,396","126,879","33,624,880","32,097",,"2,134.00","182,444","1,658","22,106",871,"60,292",712,11,241,9,111,,,,,73,"1,751",,"2,918",101,"2,797",975,"13,588","1,056","14,564","1,473","15,924","1,070","12,811","7,215","['Lifeline', 'Mirage', 'Conduit']",AzayChe,660,"14,316","26,183",3,,"7,219","28,370","35,927","1,176",253,"470,994","1,944","4,566","3,983","1,487",,273,"6,477",,33,,
15,"3,135","73,060","15,528,233",8,,4.00,"63,232",,"3,738","6,417","9,363",14,474,"8,153",221,"2,046",543,"5,613",206,99,,0,,73,,,,,,,,,,,"7,211","['Bangalore', 'Caustic', 'Pathfinder']",ovoelitee,,,46,208,"4,907","2,479","9,032",,,,,56,27,"1,418",,,,,,,,
16,"3,386","83,530","2,298,846",,,,"119,765",,"26,330","4,925",,,,,,,804,"7,030",588,"7,143",321,"1,599",,,654,"4,130",547,"5,985",548,"6,006","1,026","9,377",,,"7,152","['Lifeline', 'Gibraltar', 'Pathfinder']",Dosbien22,,,,427,,,,,,,,,,,,,,,,,,
17,"3,048","127,710","29,828,295","17,056",,"1,525.00","141,521",343,"12,231","5,751","44,422",422,"1,234","13,469",619,"2,959","1,119","8,256",323,,38,489,3,"6,977",,,,,570,"10,069",,,,,"7,118","['Bangalore', 'Pathfinder', 'Octane']",spiritual so,,,"25,812",418,384,"4,012","32,911",,595,271,"1,867","2,238","8,615",961,,"4,701",,"10,069",,,,
18,"5,822","128,073","22,431,361","25,039",1.00,"1,184.00","161,212","2,408","8,971","6,114","15,875",748,12,"12,350",,,,,"2,324","16,068",2,"13,004",,,,,416,,,,1,,,,"7,111","['Valkyrie', 'Wraith', 'Gibraltar']",Pacparker,,,,136,"1,850","11,403","16,260",,833,139,"229,138","8,346","2,034","7,246",,"3,986",,,,,,
19,"2,543","74,624","25,140,627","6,635",,,"89,840","1,757","10,503",254,"12,132","1,005",418,"3,816",66,378,,,138,"1,767",303,"3,248",397,"4,370",,,492,"7,135",144,"1,971","1,577","4,775",34,361,"7,081","['Loba', 'Bangalore', 'Wraith']",DarkGoddessTV_,,,,,,,"14,385","5,326",,,,"1,564",,,963,,,,,,,
20,"3,298","62,222","12,529,878","10,519",,0.00,,,,"2,575",,25,,,293,"2,404",608,"4,871",604,"3,558",499,"3,760",591,"4,743",380,"2,716",,,,,70,439,,,"7,077","['Horizon', 'Lifeline', 'Pathfinder']",Nerf R400,,,7,561,"5,060",,,"2,758",,,,,,,588,,,,,,,
21,"4,084","93,397","650,421",771,2.14,2.00,"104,156","2,136","19,356","4,701","31,078",623,693,"1,259",189,8,,,"1,099","13,756",,,48,515,,,,,,,,,,,"7,048","['Lifeline', 'Octane', 'Pathfinder']",SackOfDatDank420,,,"16,428","1,293",175,4,"34,102",,,,,"4,854","3,490","9,804",,,,,,,,
22,"5,126","33,493","29,685,367",241,2.08,"1,239.00","140,717",398,"10,758","3,281","17,078","1,345",623,"1,185",445,"5,389",573,"6,846",272,"8,569",1,579,,"5,680",123,"2,196",,,,,,,,,"7,005","['Pathfinder', 'Loba', 'Bangalore']",Zmetagame,,110,429,994,"11,012",162,"18,412",699,,42,,,"4,946",1,39,32,,98,5,5,,
23,"2,976","135,337","34,641,869",,,,"145,916",,,,"44,570",,,"8,784",,"9,426",,,,"7,001",,,214,,329,"5,611",,,89,,,,270,50,"6,911","['Pathfinder', 'Bloodhound', 'Lifeline']",Xikor_,,"4,099",,,"4,160",,"44,712","5,000",,,,,,"9,128",0,,,29,,,,
24,"3,735","66,569","14,783,989",,,,"82,474","1,046","17,920",,"19,747",430,95,326,303,"1,972",598,"2,293",502,"5,014",134,320,623,"5,410",,,,,292,"2,492",,,470,"3,300","6,895","['Lifeline', 'Loba', 'Wattson']",LenoraTV,,"1,403",,778,"6,032",,"16,612",,,,,,,,,,,,,,,
25,"3,783","137,384","33,479,166",136,3.10,,"153,729","3,955","11,797",117,"28,439",0,5,"10,980",185,"3,839",,,597,"8,785",337,"2,685",376,603,53,788,,,,,,,194,"3,146","6,868","['Pathfinder', 'Wraith', 'Octane']",LPixelated,,,"21,484",47,,"13,632","37,585","5,134",324,68,,"4,375","4,285","9,986",365,83,,,,,,
26,"3,502","91,371","4,559,411",,,,"101,677","4,091",,0,,,,,,,,,,,,,,"3,109",,,,,,,,,342,"4,409","6,850","['Loba', 'Wraith', 'Wattson']",Fat_Goddess,,,"7,019",0,0,,,"8,081",384,215,,,,"12,746",766,"13,224",,,,,,
27,"2,377","66,579","20,297,582","10,484",,,"71,950",298,"2,663","4,582","10,698",,135,"1,444",226,"2,545",171,"1,009",655,"5,155",54,458,,9,172,"1,857",469,"3,932",634,"2,296",,,19,186,"6,847","['Bangalore', 'Pathfinder', 'Octane']",Lil Drywall,,,,279,"2,757",,"12,847","8,922","1,883",0,"425,387",213,,475,"1,234",,,,,21,,
28,"1,559","78,118","17,150,057","16,592",3.31,,"87,820",,"7,044","4,465",,33,0,0,777,,,,,,,,33,,,,,,259,,,,,,"6,804","['Gibraltar', 'Wraith', 'Pathfinder']",Bluu_Bluuu,,,"12,971",,,,"21,537","1,587",5,,,"7,086",7,34,232,"4,766",,,,20,,
29,"3,231","78,814","29,810,889",,,,"37,896",,"1,865",,,,343,,90,942,263,"2,258",0,,0,,42,543,,,,,,,,,,,"6,795","['Bloodhound', 'Wattson', 'Wraith']",Rogue_NRG,,,,603,"4,026",,,,,,,,,,,,,,,,,
30,"3,191","104,383","29,753,705","12,735",,,,1,470,,,53,705,,248,,,,,,,,59,850,,,,,,,,,,,"6,789","['Pathfinder', 'Wraith', 'Bloodhound']",Kotigami,,,,,,283,,,,,,"4,842",,,,407,,,,,,
31,"4,154","153,955","37,235,776",,,,"80,879",,,,,,,,,,,,,,,,,,,,4,,,,,,,,"6,757","['Pathfinder', 'Octane', 'Wraith']",DoryuuZ,,,,,,,,,,88,,,,,,,,,,,,
32,"3,441","89,372","21,908,348",,,3.00,"87,391",94,,207,,,,"2,041",,,386,"4,294",489,"4,603",660,"7,101",,,21,190,,,,,514,"6,500",,,"6,742","['Valkyrie', 'Pathfinder', 'Caustic']",Beenito,,,,,"3,307",,,,,,,,137,,,,,,,,,
33,"4,866","141,511","32,579,593",,,,"164,028","1,062","9,672",,,,"1,045","18,325","1,179","16,990",,,,,,,,,,,,,,,,,,,"6,727","['Wraith', 'Horizon', 'Crypto']",blushy_owo,,,,"1,010","14,455",,,,,,,,,,,,,,,,,
34,"2,185","97,696","23,491,311","7,144",,"1,256.00","128,302",248,10,"4,518","29,320",436,18,518,96,"1,121",35,669,286,"4,527",556,"6,236",558,"7,154",18,"8,451",510,"7,474","1,033","13,392",529,"7,970",925,"20,047","6,691","['Horizon', 'Valkyrie', 'Wraith']",nicksxn,,,"17,487",212,"2,136","8,295","26,715","10,037",250,69,,"2,162","4,240",204,622,"1,008",,,,,,
35,"3,380","144,340","31,821,624","20,761",5.16,,"38,048",,,,,,,,2,20,,,14,,,,,,,,,,,,328,"5,332",,,"6,659","['Horizon', 'Wraith', 'Octane']",Jtolerance,,,"39,591",21,286,,,,"1,632",419,,"2,686",,,,,,,,,,
36,"3,260","67,727","17,111,638","1,582",,"1,526.00","68,250",123,"7,063","5,560",535,80,354,240,446,"5,394",366,"3,411",323,"2,528",612,"4,287",262,"1,457",,,,,,,303,"3,520",,,"6,645","['Lifeline', 'Loba', 'Gibraltar']",Pilly we,,,"6,075","1,076","9,191",890,"7,279",689,253,69,"100,524","5,164",,,66,"2,439",,,,,,
37,956,"109,164","26,874,076",,,,"97,607",,,"2,615",,,420,"5,094",393,"3,925",250,"3,280",,,240,"3,329",,"11,111",,,,100,,,,"15,151",,,"6,638","['Ash', 'Pathfinder', 'Loba']",Stelly,,,"24,488",266,"7,756",,,,792,174,,,,,,,,,,,,
38,"3,961","80,910","16,826,255","7,150",,257.00,"21,105","1,240","1,968","2,289","1,371",311,107,"12,173",538,"6,118",,,,,,,,,,,,,,,,,,,"6,624","['Pathfinder', 'Bangalore', 'Wraith']",Nasty_BeastTV,,,"2,549",450,"1,151",618,520,,,,,"1,459","4,938","1,533",,1,,,,,,
39,"3,235","100,051","866,403",,,,"43,085","8,465",,,,,452,"2,213",420,164,761,,90,950,,,,,,,,,,,,,123,"1,349","6,554","['Horizon', 'Wattson', 'Conduit']",HeadShootzTV,"1,000","10,957",,9,112,,,,223,50,,,,,,,,,,,,
40,"3,556","92,189","27,566,629","18,732",,"1,082.00","102,402",619,"8,214","1,111","8,082","2,013",542,,420,,3,,433,247,160,193,,113,6,38,,,,,1,10,,,"6,518","['Octane', 'Mirage', 'Gibraltar']",YungChanTV,,,"6,045",170,,"3,016",,,,272,,"3,342","1,245",,,0,,,,,,
41,"3,106","14,239","270,058",,,,729,7,,,,0,150,"1,517",,,,,,,,,,,,,,,,,,,,,"6,506","['Pathfinder', 'Revenant', 'Octane']",Mrkeltv,,,65,,,45,,,,,,19,,,,0,,,,,0,
42,"4,370","135,757","35,394,371","31,504",2.23,"1,353.00","164,727",,"5,927","2,648","29,452","1,461",,58,0,441,4,76,,,511,"11,361",,,2,,,"2,681",,,,"3,208",,,"6,485","['Wattson', 'Bloodhound', 'Gibraltar']",oSyrpto,,,"21,758",21,"1,767","15,394","19,855",,,,,"7,877","6,219",17,,"6,216",,,"1,136",,,
43,"2,721","122,031","21,221,789",,,,"16,195",,,,,,,,,,,,,,12,230,,,,,,,,,,,,,"6,470","['Pathfinder', 'Horizon', 'Mirage']",Draynilla,,,,231,"4,823",,,,,,,,,,,,,,,,,
44,"2,279","156,633","33,250,362","2,608",,,"135,446","2,926","17,940","1,097","9,296",,256,"5,783",10,216,136,"1,894",112,481,353,"2,459",211,"3,021",480,"5,005",42,"1,418",410,"3,347",104,,343,"5,551","6,402","['Lifeline', 'Horizon', 'Rampart']",guttadactyl,201,"6,461","6,882",858,"11,269",12,"3,586","13,550",625,139,"141,270",793,,763,"1,034",,60,"2,243",168,,,
45,"1,869","105,519","25,940,319",,,,"33,166",,,,,,,,,7,265,"2,134",,,,,154,"1,547",,,,,,,,,,,"6,382","['Pathfinder', 'Gibraltar', 'Bangalore']",OpTic_Dropped,,,,743,"5,652",,,,,,,,,,,,,,,,,
46,"2,290","99,429","15,642,038","1,457",7.37,,,,,,,,,,,,148,"1,803",688,"7,558",,,,,,,,,,,434,100,,,"6,377","['Valkyrie', 'Horizon', 'Bangalore']",MezzyTheGod,,,"5,776",270,"3,555",,,,,,,,,,,,,,,,,
47,"3,753","161,307","34,886,699",,,,243,"1,028",,,,,304,"8,380",250,"8,885",,110,560,"13,542",385,"11,266",,"16,117","1,179","23,023","1,329","24,024",,,,,,,"6,370","['Wraith', 'Pathfinder', 'Bloodhound']",CLUMSYBOMB072,,,"14,266",,"11,160",,,,646,1,,,,,,,,,,15,,
48,"3,085","105,029","26,228,406",,,,"130,849",,,,,,762,,,"2,912",,,,,,,,,,,,,,,,,,,"6,349","['Bangalore', 'Pathfinder', 'Gibraltar']",GoodPosture--,,,,,,,"19,363",,,,,,"10,866",,,,,,,,,
49,"3,104","124,556","29,828,010","10,367",,,"133,204",900,"9,408",,"39,086","2,147",704,"14,919",,"7,722",367,"12,755",93,"2,249",100,"1,792",148,"3,451",,547,16,144,44,812,7,139,,,"6,334","['Bangalore', 'Wraith', 'Pathfinder']",oevol99o,,,"40,159",761,"15,171","14,452","27,943",,242,24,"43,736",,"14,103","3,992",,"6,331",,,,,,
50,"2,983","123,208","25,368,301","19,268",,,"125,777",24,"24,631","2,693",,25,537,"7,663",923,"11,980",592,"9,705",634,"9,644",0,,,,0,0,,,,,,,659,"7,344","6,278","['Lifeline', 'Bloodhound', 'Pathfinder']",Bloodwars2003,,,"37,694",5,26,,321,"7,194",174,37,"45,401","6,185",6,,548,,,,,,,
51,"2,987","110,795","23,994,538","20,363",,"2,472.00","88,700","1,756","12,462","4,957","26,716",31,167,"5,907",,520,96,,,,128,"2,184",0,,,,,,,,,,,,"6,257","['Lifeline', 'Pathfinder', 'Horizon']",Uv_SleepyJoe,,,"19,336",144,"2,439",,"29,028",,"1,266",248,"501,691","5,405","7,318","3,272",261,"8,148",,,,132,,
52,"3,486","74,801","19,234,896",,,,"26,776",,8,,"10,838",,746,"6,469",155,,,,,,,,,,,,,,,,,,,,"6,249","['Wraith', 'Loba', 'Pathfinder']",Abrasive,82,"1,317","8,012","1,235","10,712",,"20,875",,,,,,3,,,,,,,,,
53,"2,045","73,551","17,715,972",90,2.13,604.00,"57,496",305,,"2,672",,,572,41,,,,,,272,,,,,,,,,,,,,,,"6,249","['Pathfinder', 'Horizon', 'Mirage']",The7thHero_Fenix,,,"1,731",348,"3,644",,"3,367",,,,,,,,,,,,,,,
54,"3,045","45,937","12,555,345",,,,"41,260",423,"3,738",,,,241,14,,"1,582",147,,"1,271",,,,,,,,,,,,,,,,"6,235","['Caustic', 'Bangalore', 'Gibraltar']",CladColt FB,,,,"1,093","7,035",,,,,,,,,,,,,,,,,
55,"4,995","174,564","27,264,926","23,424",,2.00,"209,479","8,626","4,130","1,945","47,122",456,0,"2,728",78,"1,515",1,,420,"5,050",198,"2,951",588,"14,771",271,"3,461",,,896,150,,"6,290",347,"5,907","6,215","['Wraith', 'Pathfinder', 'Horizon']",ImPrxblem-,47,"1,362","44,619",0,0,"5,894","12,770","10,000","5,763","1,535","2,045,484",,"2,906",,533,"4,914",,,,,,60.00
56,"3,035","167,013","37,499,664",,,,"162,697",,"5,369",,"40,008",601,70,"1,212",301,"4,462",,"4,093",339,"5,945",75,"1,379",585,"11,111",243,"8,792",113,"11,111",766,"1,650","1,111","15,400",768,"10,378","6,208","['Ash', 'Wraith', 'Mad Maggie']",Phase4dayz,671,"18,890","30,031",428,"5,812","6,840","27,857","11,484",454,86,"135,252",,,,906,"2,776",406,"6,000",,,,
57,"1,511","144,238","14,099,341","6,722",,586.00,"148,893","1,668","1,602","1,086",,,834,"11,959",640,"11,665",357,"10,332",999,"1,225",,971,57,"2,069",63,"1,339",,,,,,,155,"3,538","6,201","['Mad Maggie', 'Valkyrie', 'Pathfinder']",6ainzz-Twitch,,,"4,418",503,"8,688",704,,,"1,281",341,"303,051","4,017","2,089",,,"2,911",,,,,,
