,Level,Kills,Damage,Matches Played,Kills Per Match,Headshots,Shotgun Kills,Season 7 Wins,Season 7 Kills,Season 8 Wins,Season 8 Kills,Season 9 Wins,Season 9 Kills,Season 10 Wins,Season 10 Kills,Season 11 Kills,Season 12 Wins,Season 13 Wins,Season 13 Kills,Season 14 Wins,Season 14 Kills,Season 15 Wins,Season 15 Kills,Season 16 Wins,Season 16 Kills,Season 17 Wins,Season 17 Kills,Season 18 Wins,Season 18 Kills,Wins,Top 3 Legends,name,Season 19 Wins,Season 19 Kills,Pistol Kills,SMG Kills,AR Kills,LMG Kills,Sniper Kills,Season 6 Wins,Season 12 Kills,Arena Kills,Arena Wins,Arena Damage,Arena Winstreak,Kills As Kill Leader,Revives,Season 11 Wins,Season 5 Wins,Winning Kills,Finishers,Season 5 Kills,Season 6 Kills,Times Top 3,Care Package Kills,Full Squad Wins,Damage Per Match
10,"1,468","102,599","17,354,180","7,665",,"7,724",,32,,,,66,"1,069",32,290,,,127,"1,133",54,602,,,,,,,,,"2,796","['Pathfinder', 'Wraith', 'Gibraltar']",FURIA_Albralelie,72,849,,269,,,,,,,,,58,,273,,20,30.00,,"1,524",287,10,118,,
11,"1,339","14,423","5,736,610",,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Bangalore', 'Seer', 'Octane']",TTVHindu,,,,,,,,,,,,,,,,,,,,,,,,,
12,"1,950","34,724","9,485,240",863,,"20,720",170,,,72,"1,374",,966,,,304,6,3,,,,,,,,,,,,,"['Horizon', 'Wraith', 'Lifeline']",Simply SkyZ,,,,228,,,,1,,,11,,,,,11,2,244.00,215,10,6,26,,,
13,"1,959","60,053","16,910,915",,,"66,888",,49,833,,,,122,,,"1,152",,,,,,157,"4,626",31,"3,897",,,,,"1,802","['Valkyrie', 'Caustic', 'Horizon']",GodGifted---,,,,,,,,,,"4,682",855,,,445,,61,13,,,,,,,502,
14,"1,799","24,310","7,667,804",,,,,,,,,,,13,107,366,44,,,,,,,,,,,,,33,"['Horizon', 'Catalyst', 'Conduit']",TTV_Vozskii,,,,,,,,,602,,,,,,,39,,,,,,,,,
15,"3,281","1,193","26,455,784",,,"154,676",,,,,0,,,525,,,849,770,,,,"1,950","16,792","1,080","11,475",,"5,154",,,,"['Valkyrie', 'Caustic', 'Wattson']",Empery,,,,,,,,,,,,,,,,,1,,,,,,,,
16,"3,164","166,198","37,363,266","21,104",0.00,"166,838","10,386",20,6,,,188,"1,891",97,"1,436",274,591,527,"12,010",,,"1,129","22,422","1,017","25,000",777,"15,000",1,22,"9,344","['Wraith', 'Octane', 'Pathfinder']",Aces kunai,,,"7,883","56,919","43,087",,445,165,110,"2,622",468,"311,878",,"51,209","11,655",15,358,309.00,"4,569","3,151","2,873","2,431","4,534","1,864",
17,"2,808","41,704","14,402,179","23,569",,"7,783",,139,"4,915",111,"1,495",,,,,,,,,,,,,,,,,,,,"['Octane', 'Loba', 'Valkyrie']",DiSciplinar14n,2,62,,,,,,,,,,,7,,127,,,,,,,"2,786",,,
18,886,"7,546","1,674,088",,,,,,,,,,,,,,,0,,6,,,,0,0,,,,,18,"['Horizon', 'Bangalore', 'Bloodhound']",Risen GR,,"1,523",1,1,,16,,,,,,"84,252",,,,,,,,,,,,,
19,907,"11,492","3,838,841","1,950",2.70,,,,,,,,,,,,,,,,,,,,,,,,,,"['Bangalore', 'Horizon', 'Pathfinder']",Yougotslappedbud,22,416,,,,,,,,,,,,,,,,,,,,,,,736.99
20,"1,628","32,124","10,408,766",942,,"36,398",,,,4,995,1,686,,,"1,368",,,,,,,,239,"3,973",,,,,"1,535","['Wraith', 'Horizon', 'Gibraltar']",darkiightt,,,,,,,,,"1,935","4,061",437,"921,580",,,"1,360",,,,,,,,,,
21,"1,332","15,237","4,964,113",,,,,,,,,,,,,,,,,,,,,,,,,,,263,"['Bloodhound', 'Pathfinder', 'Lifeline']",obaba justin,,,,,,,2,,,,,,,,,,,,15,,,,,,
22,"1,304","11,507","2,020,104",740,,"1,241",,,,,,,,47,671,31,,44,223,,,,,11,105,60,681,,,181,"['Wraith', 'Pathfinder', 'Ballistic']",xmatrixz xim,,763,,,,,,,,"2,835",286,"393,257",,,,1,,,,,,37,14,,
23,"2,232","35,064","8,909,396","10,137",,"40,049",,,,,,,,,0,0,,8,,137,"3,758",238,"5,239",194,"3,837",145,"5,387",5,"3,533","1,137","['Horizon', 'Wraith', 'Bangalore']",Hucks Ego,71,"1,234",,,,,,,0,442,,,,,,,,,,,,"1,667",,,
24,"1,880","20,567",,,,"36,546",,,,,,,,1,,11,327,,,1,"1,333",,,1,,,,,"5,494",,"['Bangalore', 'Valkyrie', 'Horizon']",E8_Shooby,,,56,"4,406",,,,,"4,659",,,,11,,444,1,,,,,,,,,
25,"2,169","62,946","17,142,995","4,647",,"64,613",,1,54,,,116,"3,632",,,,,,,,"3,678",,"1,873",,,18,407,,"8,000",664,"['Octane', 'Vantage', 'Horizon']",RecalIz,75,"5,262",,"10,059",,,,,,,,,,"1,331",69,,72,,,"1,969",,"2,207",,,
26,"2,995","47,339","5,104,899",,,"39,191",,2,139,22,,124,"3,323",,,"1,772",,,,,,,,,,,,,,"1,784","['Lifeline', 'Wraith', 'Bangalore']",venahdo-_-,,,104,,,,,60,,,,,13,,"6,775",55,,,49,,"2,245",,,,
27,"1,276","21,957","5,474,961",,,"22,343",,,,0,,6,,,4,,,,,60,"1,414",44,"2,174",,,,,,,398,"['Horizon', 'Wraith', 'Valkyrie']",Conffessions,141,"3,086",,"3,043",,,24,,,,190,"637,969",,"1,733",,1,,44.00,,,,11,,,
28,"1,222","23,829","3,609,310","2,914",,"18,642",,,,,,,,,,,,,,,,,,,,1,12,,,42,"['Wraith', 'Bangalore', 'Lifeline']",Gassyer,,,,,,,,,,,,,,"3,160",,,,,,,,,,,
29,"2,306","39,045","4,592,862",,,"49,365",,,,,340,190,435,,,,,,,,,48,882,,3,,,1,4,"2,166","['Bangalore', 'Horizon', 'Pathfinder']",Ensino,13,714,89,,,,,,,273,277,"127,907",13,,"4,855",,1,,,,"1,534",,,110,
30,"2,165","40,560","13,354,361","4,655",,"56,468",,204,,56,462,104,,,,"3,641",130,4,,59,,862,"7,245",360,"3,018",199,"1,746",,,"3,849","['Loba', 'Wraith', 'Conduit']",stormchemist,,,,"12,556","13,205",53,,235,,,,,,,,401,55,,282,,,,,"2,526",
31,"1,774","42,664","9,937,263",,,,,,,90,"1,379",,"1,107",110,"2,547",,292,,,,,,,,,111,"2,147",109,"2,844","1,930","['Revenant', 'Seer', 'Fuse']",Mr_Doubted,47,"5,223",,,,,,73,"6,238",,,,,,,,,,,,"1,571",,,,
32,937,"8,751","999,194",,,"9,533",,,,,,5,,,,,,,158,,,,"1,222",,,,,,"1,356",146,"['Horizon', 'Bangalore', 'Wraith']",va3k,,,,"2,252",,,,,,,120,"189,193",,293,,,,,,,,,,,
33,"1,479","27,679","7,329,422",,,381,,,,,,111,"1,962",63,,774,,,,,,,,,,43,723,,,256,"['Wraith', 'Bangalore', 'Horizon']",CHICKEN-KATSU212,,,545,"1,919",,,,,74,"12,634","2,895","4,208,194",100,375,,,,,,,,,,,
34,"1,336","18,682","3,437,997",,,"15,275",,,0,,,,"1,047",,,143,,,"1,094",,971,31,"1,363",,"2,860",,,,651,196,"['Horizon', 'Bangalore', 'Wraith']",Hushted,,"1,883",,,,,,,,840,,,,69,,5,,,,,,,,,
35,"1,468","28,263","3,049,236",,,,,3,,0,149,,3,,,158,,,,,,,,,,,,,,60,"['Valkyrie', 'Wraith', 'Bangalore']",Deedss,,,,,61,7,,,,,,,,,,,5,,,8,,,,,
36,"1,642","34,445","7,949,505",,,"20,780",,,,,,42,975,1,23,"1,891",,0,0,0,0,121,"1,814",196,"1,845",20,316,35,371,"2,120","['Horizon', 'Wraith', 'Bangalore']",SuhnRyZe,,,,,,,,,,,,,,,,129,,,8,,,,,,
37,"1,469","28,420","5,406,884","11,155",2.79,"2,777",14,,,,,,,,,,,,,,,,,,,265,,,,816,"['Pathfinder', 'Bangalore', 'Bloodhound']",videogamefreak,,,,,,,,,,,,,,,,,,,,,,283,,880,905.19
38,"1,909","22,487","8,605,903",,,,8,,,,,,,,,,,,,,,,,,,,45,,,192,"['Bangalore', 'Horizon', 'Pathfinder']",cozyhenry,,960,,,,,,,,,,,,,,,,,,,,,,,
